concept_id,equivalence,canonical_fit,problem_members,reason,domain,label,members
iTE:Ca0ed06dfafbafc,equivalent,supported,[],两成员均指声子传播；材料和抑制原因不同不改变该过程的概念，标签与定义吻合。,iTE,Phonon propagation,2
iTE:C112222670af416,equivalent,supported,[],全部成员均指离子热扩散的Soret效应；贡献比例、协同作用及效应被消除等关系差异不改变概念身份。,iTE,Soret effect,11
iTE:Ce1644388a4b493,equivalent,supported,[],三成员均明确指强晶格非谐性，起因和输运后果不同不构成概念差异；定义保留了强度限定。,iTE,Strong lattice anharmonicity,3
iTE:C25834b029ef183,equivalent,supported,[],两成员均明确指组成相同的CuCrSe2；有序态和超离子转变属于关系条件，并未将不同相作为成员合并。,iTE,CuCrSe2,2
iTE:C447342d3185f72,equivalent,supported,[],两成员均为隔热材料这一应用类别，并非将不同候选材料认定为同一物质；定义准确。,iTE,Thermal insulation materials,2
iTE:C3d9e7026fa6a4a,equivalent,over_specific,"[""iTE:P0384:te""]",三成员均指离子热电性质；但P0384仅给出离子液体含量、器件拓扑及电压响应，未明确离子重分布或扩散机制，定义对此限定过细。,iTE,Thermoelectric properties (ionic),3
iTE:C64f19138490c78,equivalent,supported,[],三成员均指晶格尺寸收缩；掺杂元素、材料和角色标注不同不改变概念，定义未混同晶格常数与其减小。,iTE,Lattice contraction,3
iTE:Cdecc3c56bca88c,equivalent,supported,[],三成员均指通过理论输运计算获得的热电性质；不同材料、参数和变化趋势不改变这一性质类别。,iTE,Thermoelectric properties (calculated),3
iTE:C3fb7e18a35b675,equivalent,over_specific,"[""iTE:P0937:elec""]",全部成员均指高电导率，未见明确相异的量或方向；但P0937仅陈述高电导率，未说明载流机制，将全部成员限定为电子导电超出证据。,iTE,High electrical conductivity (electronic),9
iTE:Ce0c8793677ba8d,equivalent,supported,[],两成员均明确指由计算磁矩表征的弱铁磁性；P1498的近似方法名称残缺不影响概念辨认，定义未额外推定磁性机制。,iTE,Weak ferromagnetism,2
iTE:C2301c7b7eaa00f,equivalent,supported,[],四个成员均指热电系统持续发电的功能；温度条件及实现机制不同不改变该功能概念。,iTE,Continuous electricity generation,4
iTE:C0d50d2eeea496c,equivalent,supported,[],两个成员均明确指较高的德拜温度，材料差异不改变该物理量及其高值特征。,iTE,High Debye temperature,2
iTE:C26f4080b4eb879,equivalent,supported,[],两个成员均指保持功能表现的重复使用能力，分别以热电性能和肌电信号表现体现。,iTE,Reusability,2
iTE:C8fb6cbf5829922,equivalent,supported,[],四个成员均描述原子间成键的共价特征；不同元素对是该特征的承载对象，并未被合并为同一种化学键。,iTE,Covalent character,4
iTE:Cdfb8aea901f040,equivalent,supported,[],三个成员均指体系发生相分离；诱因、材料和后果不同，过程与状态角色标注未显示不同概念。,iTE,Phase separation,3
iTE:C980d40824359a3,equivalent,supported,[],三个成员均指电子能带结构，分别涉及成键变化、结构重排和有效质量，未限定为不同能带子类。,iTE,Band structure,3
iTE:C087297ff21f02c,equivalent,supported,[],三个成员均指离子热电体系的p型响应；定义保持在响应极性层面，未强加统一的微观机制。,iTE,p-Type thermoelectric behavior,3
iTE:C1e9f3b8bcbd572,equivalent,supported,[],两个成员均明确描述简并半导体行为；第二处对非简并硫化物的描述是对照，不属于该成员指称。,iTE,Degenerate semiconductor behavior,2
iTE:C835ef330237ca3,equivalent,over_specific,"[""iTE:P0422:n10"", ""iTE:P0441:heal""]",两个成员均明确指快速自愈，但未说明是否无需外部触发或辅助，定义中的“自主”修复增加了证据未支持的限制。,iTE,Rapid self-healing,2
iTE:C6920c44b73e227,equivalent,supported,[],两个成员均描述方向间成键相近的近各向同性三维网络；具体材料和物性后果不同不改变该结构特征概念。,iTE,Nearly isotropic three-dimensional bonding network,2
TG:C3999db423bd9e1,equivalent,supported,[],两者均指自供能人体体温监测；腕部与额头的佩戴位置不改变应用概念。,TG,Self-powered body temperature monitoring,2
TG:Ca33ee8b3c0c7d9,equivalent,supported,[],两者均指生物相容性；材料对象和标注角色不同不改变该性质。,TG,Biocompatibility,2
TG:C488b365b066e7b,equivalent,supported,[],两者均指热电化学电池中的空间温度梯度，作用对象不同不构成概念差异。,TG,Temperature gradient,2
TG:C1c56d67ea43fbf,equivalent,supported,[],两处原文均明确描述凝胶的高透明性，定义未附加材料或形成机制限制。,TG,High transparency,2
TG:C450715621df7b1,equivalent,supported,[],两者均指离子扩散过程；促进与抑制是不同条件下的关系方向，并非成员概念本身相反。,TG,Ion diffusion,2
TG:C999ed297b55db0,equivalent,supported,[],两者均明确指氧化还原活性；配合物与水凝胶是该性质的不同载体。,TG,Redox activity,2
TG:C2bcee9fa88feef,equivalent,supported,[],三个成员均指电极间距这一几何参数；实验、模型及性能响应差异不改变参数身份。,TG,Electrode spacing,3
TG:C6a160a3e4c4c73,equivalent,supported,[],全部成员均明确指热电化学效应这一通用机制；具体氧化还原反应及耦合效应不同，未将热扩散、压阻等机制并入该概念。,TG,Thermogalvanic effect,13
TG:C1adc7a4fbd83dd,equivalent,supported,[],两者均指器件的储能功能，具体实现方式不同不改变通用功能概念。,TG,Energy storage,2
TG:C03d108deef061d,equivalent,supported,[],两处均明确指分隔高低温电极且阻隔该氧化还原对的离子交换膜类别；归一为该类别不要求膜的具体组成相同。,TG,Ion-exchange membrane,2
