index,mention_id,domain,raw_phrase,accepted_role,reason,definition_status,role_review_status,human_review_required,normalization_policy,judge_model
0,iTE:P0336:n2,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,quantity,比较阴阳离子热泳差异的量性表达；具体输运量未定义，不能等同扩散系数差。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
1,iTE:P0339:n3,iTE,redox reaction efficiency,performance_function,反应效率作为改善目标，而非反应过程本身。,underspecified_performance,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
2,iTE:P0342:n2,iTE,complexation,interaction,冠醚complexation指配位相互作用；不补造结合离子。,unspecified_partner,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
3,iTE:P0350:n3,iTE,diffusion difference between cations and anions,quantity,阴阳离子扩散差异是比较量，原文未明确是系数还是位移差。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
4,TG:P0197:n4,TG,reducing the volume of thermally diffused ions,mechanism_process,减少热扩散离子体积是机制变化过程；不当成定义清晰的体积数值。,underspecified_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
5,TG:P0275:n1,TG,interfacial effect of microstructure-electrolyte solution,interaction,微结构与溶液界面作用；不细化成未知静电或配位作用。,underspecified_interaction,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
6,TG:P0020:n1,TG,differences in hydration shell behavior between the oxidant and reductant,state_structure,氧化/还原物种水合壳行为差异，结构行为状态概括；不是直接定义的熵。,underspecified_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
7,TG:P0258:n3,TG,ionic kinetics,quantity,increase kinetics为动力学快慢量性概括，不能私自当特定速率常数。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
8,TG:P0078:n3,TG,radial distribution of coordinating water molecules,state_structure,配位水的径向分布为溶剂化结构分布，不等同单个半径量。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
9,TG:P0082:n3,TG,resistance barrier,quantity,界面电阻势垒作为受形变调制的量；不混成电子活化能。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
10,TG:P0246:n6,TG,eutectic properties of DES,state_structure,DES共晶性质所指混合物共晶状态，不补成具体熔点值。,underspecified_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
11,TG:P0113:n1,TG,conducting polymer thickness/multilayer,quantity,厚度/层数控制量的复合短语；保留两量，不合并到普通厚度。,compound_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
12,TG:P0001:n1,TG,TGC dressing,state_structure,TGC敷料为整体器件结构，非伤口愈合应用本身。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
13,TG:P0005:n1,TG,chaotropic effect,mechanism_process,chaotropic效应作为扰乱结构的机制效应；未写具体熵值。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
14,TG:P0012:n2,TG,active piezoresistivity,mechanism_process,应变下压阻响应参与转导机制，非特定电阻率数值。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
