node_id,node_type,label,evidence_status,year,doi,discovery_status
program:PRG_9e58569c757c,translation_program,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,,,
lever:oriented_or_confined_channels,iTE_transferable_lever,取向/限域离子通道,taxonomy,,,
tg_system:ferri_ferrocyanide,TG_recipient_system,[Fe(CN)6]3−/[Fe(CN)6]4−,corpus_supported,,,
paper:P0016,paper,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,TG_baseline,2025.0,10.1002/smll.202405911,
program:PRG_3680dde71847,translation_program,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,new_cross_mechanism_hypothesis,,,
lever:ph_or_protonation_switch,iTE_transferable_lever,pH/质子化开关,taxonomy,,,
tg_system:quinone_hydroquinone,TG_recipient_system,醌/氢醌（Q/HQ）,corpus_supported,,,
paper:P0034,paper,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,TG_baseline,2024.0,10.1039/d4ee00768a,
program:PRG_e948eab97497,translation_program,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,mechanism_extension_white_space,,,
lever:fixed_charge_selectivity,iTE_transferable_lever,固定电荷/离子选择性,taxonomy,,,
tg_system:iodide_triiodide,TG_recipient_system,I−/I3−,corpus_supported,,,
paper:P0008,paper,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,TG_baseline,2024.0,10.1038/s41378-024-00693-6,
program:PRG_e34db5baa25d,translation_program,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,,,
lever:coordination_or_ion_pairing,iTE_transferable_lever,配位/离子对,taxonomy,,,
tg_system:copper,TG_recipient_system,Cu/Cu2+ 或 Cu 配合物,corpus_supported,,,
paper:P0022,paper,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,TG_baseline,2025.0,10.1021/acsami.5c03375,
program:PRG_0d4cbb7dc34c,translation_program,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,mechanism_extension_white_space,,,
lever:anion_entanglement,iTE_transferable_lever,阴离子缠结,taxonomy,,,
tg_system:fe_ii_iii,TG_recipient_system,Fe2+/Fe3+,corpus_supported,,,
paper:P0002,paper,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,TG_baseline,2025.0,10.1016/j.joule.2025.101822,
program:PRG_88a7efad7dbd,translation_program,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,mechanism_extension_white_space,,,
lever:counterion_condensation,iTE_transferable_lever,Manning 反离子凝聚,taxonomy,,,
paper:P0018,paper,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,TG_baseline,2025.0,10.1016/j.nanoen.2024.110515,
