edge_id,prior_art_relation,edge_type,TG_paper_id,TG_year,TG_title,TG_doi,program_id,program_title_cn,target_redox_family,relation_interpretation
PA_02e943b9743d,direct,direct_TG_precedent_for,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,iodide_triiodide,corpus prior-art relation; not a success label
PA_2de11cb69eaf,direct,direct_TG_precedent_for,P0071,2023,p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers,10.1021/acsaem.3c01907,PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,iodide_triiodide,corpus prior-art relation; not a success label
PA_26aa3f1f9d7c,direct,direct_TG_precedent_for,P0058,2020,Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,10.1021/acs.nanolett.0c00800,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,unspecified_tg,corpus prior-art relation; not a success label
PA_4d889161635f,direct,direct_TG_precedent_for,P0010,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,unspecified_tg,corpus prior-art relation; not a success label
PA_1eabc9588b6d,related,related_TG_precedent_for,P0181,2020,"Modular Deformable Steam Electricity Cogeneration System with Photothermal, Water, and Electrochemical Tunable Multilayers",10.1002/adfm.202002867,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,unspecified_tg,corpus prior-art relation; not a success label
PA_add62c3644cd,related,related_TG_precedent_for,P0198,2021,Simultaneous Solar Steam and Electricity Generation from Synergistic Salinity-Temperature Gradient,10.1002/aenm.202100481,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,unspecified_tg,corpus prior-art relation; not a success label
PA_3f7b778db50b,related,related_TG_precedent_for,P0177,2023,Solar-driven watersteam/brine production and brine-driven electricity generation by photothermal fabric coupled with osmotic membrane,10.1016/j.nanoen.2023.108844,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,unspecified_tg,corpus prior-art relation; not a success label
PA_07a0ce2ee4c2,related,related_TG_precedent_for,P0136,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,10.1021/acssuschemeng.4c10855,PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,ferri_ferrocyanide,corpus prior-art relation; not a success label
PA_7b71098f67fb,related,related_TG_precedent_for,P0034,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,quinone_hydroquinone,corpus prior-art relation; not a success label
PA_6045853daadf,related,related_TG_precedent_for,P0049,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,quinone_hydroquinone,corpus prior-art relation; not a success label
PA_d736b8fbe929,source_coupled_benchmark,source_coupled_precedent_for,P0557,2023,Proton-Coupled Electron Transfer Aided Thermoelectric Energy Conversion and Storage,10.1002/anie.202307947,PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,quinone_hydroquinone,corpus prior-art relation; not a success label
PA_0e4768d3ed41,related,related_TG_precedent_for,P0014,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,PRG_0d4cbb7dc34c,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,fe_ii_iii,corpus prior-art relation; not a success label
PA_fb71fe88690e,direct,direct_TG_precedent_for,P0041,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,ferri_ferrocyanide,corpus prior-art relation; not a success label
PA_fa263850b51c,direct,direct_TG_precedent_for,P0014,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,PRG_17b64f2815f3,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,fe_ii_iii,corpus prior-art relation; not a success label
PA_4968ab1790dc,related,related_TG_precedent_for,P0034,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,PRG_3680dde71847,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,quinone_hydroquinone,corpus prior-art relation; not a success label
PA_8c41018dfded,related,related_TG_precedent_for,P0049,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,PRG_3680dde71847,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,quinone_hydroquinone,corpus prior-art relation; not a success label
PA_8c2c09b38cf8,direct,direct_TG_precedent_for,P0299,2018,Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,10.1039/c7se00470b,PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,iodide_triiodide,corpus prior-art relation; not a success label
PA_8e2f8cb00a0e,direct,direct_TG_precedent_for,P0179,2022,High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting,10.1126/sciadv.abl5318,PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,iodide_triiodide,corpus prior-art relation; not a success label
PA_fe99e16d524f,related,related_TG_precedent_for,P0283,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,10.1021/jacs.6b04923,PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,iodide_triiodide,corpus prior-art relation; not a success label
PA_59c824a5c2ab,related,related_TG_precedent_for,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,iodide_triiodide,corpus prior-art relation; not a success label
