comparison_id,historical_relation,bm25_label,focused_vector,bm25_plus_vector_rrf
N0972,narrower_than,True,True,True
N0887,equivalent_to,True,True,True
N0026,equivalent_to,True,True,True
N0008,uncertain,True,False,True
N1294,equivalent_to,True,True,True
N1026,equivalent_to,True,True,True
N0062,distinct_from,True,True,True
N1221,related_to,True,True,True
N0092,uncertain,True,False,True
N0749,uncertain,True,False,True
N0957,related_to,True,True,True
N1504,distinct_from,True,True,True
N1223,equivalent_to,True,True,True
N1631,related_to,True,True,True
N1156,uncertain,True,True,True
N1400,uncertain,True,True,True
N1565,uncertain,True,True,True
N1272,related_to,True,True,True
N1422,narrower_than,True,False,True
N1098,distinct_from,False,False,False
N1382,narrower_than,True,False,False
N0073,equivalent_to,True,False,True
N0042,equivalent_to,True,True,True
N1608,distinct_from,True,False,True
N0070,equivalent_to,True,True,True
N0089,uncertain,True,False,True
N0093,uncertain,True,False,True
N0848,broader_than,True,True,True
N0036,equivalent_to,True,True,True
N0587,uncertain,True,False,False
N0027,uncertain,True,False,True
N0570,uncertain,True,True,True
N1634,broader_than,True,False,True
N1553,broader_than,True,False,True
N1540,uncertain,True,True,True
N0077,equivalent_to,True,True,True
N0090,uncertain,True,False,True
N1385,related_to,True,False,True
N0572,uncertain,True,True,True
N1330,equivalent_to,True,True,True
N1461,distinct_from,True,False,True
N0101,equivalent_to,True,True,True
N1071,broader_than,True,True,True
N1241,broader_than,True,True,True
N1064,related_to,True,False,True
N1348,related_to,True,True,True
N0575,distinct_from,True,False,True
N0094,uncertain,True,False,True
N0009,uncertain,True,True,True
N0010,uncertain,True,True,True
N0926,narrower_than,True,False,True
N1578,related_to,True,False,True
N0081,narrower_than,True,False,True
N1555,narrower_than,True,True,True
N0827,equivalent_to,True,True,True
N0936,equivalent_to,True,True,True
N0082,narrower_than,True,False,True
N0805,narrower_than,True,True,True
N0033,equivalent_to,True,False,True
N0585,narrower_than,True,True,True
N0044,equivalent_to,True,True,True
N1305,related_to,True,False,True
N0074,equivalent_to,True,True,True
N0095,uncertain,True,False,False
N0075,uncertain,True,True,True
N1450,related_to,False,False,False
N0576,uncertain,True,True,True
N0076,uncertain,True,False,True
N0060,equivalent_to,True,False,True
N0061,equivalent_to,True,True,True
N1190,related_to,False,False,False
N0040,equivalent_to,True,True,True
N0039,equivalent_to,True,True,True
N1227,narrower_than,True,True,True
N0056,equivalent_to,True,True,True
N1588,equivalent_to,True,True,True
N1184,uncertain,True,False,True
N0065,related_to,True,False,True
N0066,related_to,True,True,True
N0048,equivalent_to,True,False,True
N0832,equivalent_to,True,True,True
N1128,distinct_from,True,True,True
N1161,distinct_from,True,False,True
N1598,narrower_than,True,False,True
N0584,uncertain,True,False,True
N1260,distinct_from,True,False,False
N0059,uncertain,True,True,True
N1056,equivalent_to,True,True,True
N0770,related_to,True,False,True
N1407,distinct_from,True,True,True
N1078,distinct_from,True,False,True
N0025,equivalent_to,True,True,True
N0024,uncertain,True,True,True
N0578,equivalent_to,True,True,True
N0011,uncertain,True,False,True
N1096,equivalent_to,True,True,True
N0769,related_to,True,False,True
N1355,distinct_from,True,False,False
N0970,distinct_from,True,False,True
N0071,equivalent_to,True,False,True
N1520,distinct_from,True,False,False
N0012,uncertain,True,True,True
N0927,narrower_than,True,True,True
N1361,narrower_than,True,False,True
N1204,equivalent_to,True,False,True
N0083,uncertain,True,False,True
N0836,narrower_than,True,True,True
N0058,equivalent_to,True,True,True
N1327,equivalent_to,True,True,True
N0006,uncertain,True,True,True
N1121,equivalent_to,True,True,True
N0005,uncertain,True,True,True
N0067,related_to,True,True,True
N0096,uncertain,True,False,False
N0757,related_to,True,False,True
N0054,uncertain,True,False,True
N1263,narrower_than,True,True,True
N1262,equivalent_to,True,False,True
N0013,uncertain,True,True,True
N0045,equivalent_to,True,True,True
N0046,equivalent_to,True,True,True
N0566,equivalent_to,True,True,True
N0565,equivalent_to,True,True,True
N1592,related_to,True,False,False
N0001,equivalent_to,True,True,True
N0891,related_to,True,False,True
N1246,distinct_from,True,False,True
N1345,narrower_than,True,True,True
N1606,related_to,True,False,True
N0038,related_to,True,True,True
N0037,equivalent_to,True,True,True
N0014,uncertain,True,False,False
N0031,uncertain,True,False,True
N1296,uncertain,True,True,True
N0581,distinct_from,True,True,True
N0571,equivalent_to,True,False,True
N0057,uncertain,True,False,True
N0015,uncertain,True,True,False
N0567,uncertain,True,True,True
N1002,uncertain,True,True,True
N1380,related_to,False,True,True
N0935,distinct_from,True,True,True
N1070,related_to,True,True,True
N0966,distinct_from,True,False,True
N1465,distinct_from,True,True,True
N0755,distinct_from,True,True,True
N0933,broader_than,True,True,True
N0084,uncertain,True,True,True
N1337,related_to,True,True,True
N1502,distinct_from,True,True,True
N0860,related_to,True,True,True
N0032,uncertain,True,True,True
N1612,broader_than,True,False,True
N1014,related_to,True,True,True
N0016,uncertain,False,False,False
N0569,related_to,False,False,False
N0582,equivalent_to,True,True,True
N1443,related_to,False,True,True
N1085,uncertain,False,True,False
N0063,uncertain,True,False,True
N0583,related_to,True,True,True
N1046,related_to,True,True,True
N0078,equivalent_to,True,True,True
N0047,equivalent_to,True,True,True
N1506,distinct_from,True,False,True
N1164,uncertain,True,False,True
N0580,uncertain,True,True,True
N1591,related_to,True,False,False
N1194,equivalent_to,True,True,True
N1061,uncertain,True,True,True
N1028,uncertain,True,True,True
N1566,related_to,True,False,True
N0068,uncertain,True,False,True
N0069,related_to,True,True,True
N0855,equivalent_to,True,False,True
N1235,equivalent_to,True,False,True
N1168,related_to,True,True,True
N0064,uncertain,True,True,True
N0053,uncertain,True,True,True
N0979,uncertain,True,False,True
N0055,uncertain,True,True,True
N1336,broader_than,True,False,True
N0742,distinct_from,False,False,False
N0088,uncertain,True,True,True
N0097,uncertain,True,False,False
N0098,uncertain,True,False,False
N0099,uncertain,True,False,False
N0738,related_to,False,False,False
N0100,uncertain,True,False,False
N0091,uncertain,True,False,False
N1079,uncertain,True,False,False
N1451,related_to,True,False,True
N0735,distinct_from,False,True,True
N0733,broader_than,True,False,False
N0941,related_to,True,True,True
N0732,broader_than,True,False,True
N0087,related_to,True,True,True
N0734,broader_than,False,True,False
N0574,narrower_than,False,True,True
N1025,related_to,True,True,True
N0740,equivalent_to,True,True,True
N0041,equivalent_to,True,True,True
N0043,equivalent_to,True,True,True
N1517,broader_than,True,True,True
N0988,equivalent_to,True,True,True
N0049,uncertain,True,False,True
N1011,equivalent_to,True,True,True
N0050,equivalent_to,True,False,True
N0080,narrower_than,True,False,True
N1195,related_to,True,True,True
N0856,uncertain,True,True,True
N0035,equivalent_to,True,True,True
N0028,uncertain,True,True,True
N0905,equivalent_to,True,False,True
N0951,narrower_than,True,False,True
N0085,uncertain,True,False,False
N0051,uncertain,True,True,True
N0052,uncertain,True,True,True
N0741,related_to,False,False,False
N0736,distinct_from,False,False,False
N1362,narrower_than,False,True,True
N0737,related_to,False,True,True
N0739,distinct_from,False,False,False
N1030,related_to,True,False,True
N0034,equivalent_to,True,True,True
N0992,distinct_from,True,True,True
N0921,related_to,True,False,True
N1255,equivalent_to,True,False,True
N0573,uncertain,True,True,True
N1510,related_to,True,True,True
N1462,uncertain,True,True,True
N1009,broader_than,True,False,True
N0086,uncertain,True,False,False
N0947,equivalent_to,True,True,True
N0577,related_to,True,True,True
N1012,narrower_than,True,True,True
N0731,equivalent_to,True,True,True
N0079,broader_than,True,False,False
N0017,uncertain,False,True,False
N0579,distinct_from,True,False,True
N0778,uncertain,True,True,True
N1368,narrower_than,False,False,False
N1010,uncertain,False,True,True
N0977,related_to,False,True,False
N0882,related_to,False,True,True
N0018,uncertain,False,False,False
N0019,uncertain,False,True,True
N1243,related_to,True,True,True
N0007,uncertain,False,True,False
N0568,related_to,False,False,False
N0023,related_to,True,True,True
N0779,equivalent_to,True,True,True
N0072,equivalent_to,True,True,True
N0021,uncertain,False,False,False
N0022,uncertain,False,False,False
N0020,uncertain,False,True,False
N1433,equivalent_to,False,True,False
N1340,related_to,True,False,True
N0003,equivalent_to,True,True,True
N0004,equivalent_to,True,True,True
N0002,equivalent_to,True,True,True
N1186,related_to,True,True,True
N1393,equivalent_to,True,True,True
N0976,uncertain,True,False,True
N1486,related_to,True,True,True
N1421,narrower_than,True,True,True
N0774,uncertain,True,True,True
N0029,uncertain,True,True,True
N1645,related_to,True,False,True
N1094,related_to,True,True,True
N0030,related_to,True,True,True
N0586,equivalent_to,True,True,True
N0607,equivalent_to,False,False,False
N0817,equivalent_to,False,False,False
N0931,equivalent_to,False,False,False
N1357,broader_than,False,False,False
N1201,broader_than,False,False,False
N0646,equivalent_to,True,False,True
N1189,related_to,False,False,False
N1352,broader_than,False,False,False
N1111,distinct_from,False,False,False
N1386,broader_than,False,False,False
N0949,related_to,True,False,True
N0172,uncertain,True,True,True
N0671,uncertain,False,False,False
N1087,related_to,False,False,False
N1167,related_to,True,False,True
N0698,related_to,True,False,True
N0173,uncertain,True,True,True
N0174,uncertain,True,False,True
N0175,uncertain,True,False,True
N0176,uncertain,True,False,True
N0177,uncertain,True,False,True
N0178,uncertain,True,False,True
N0955,distinct_from,False,False,False
N0726,uncertain,False,True,True
N0295,equivalent_to,True,True,True
