candidate_id,path_scope,path_state,graph_eligible,scientific_claim_status,shared_global_concept_id,shared_label,shared_category,source_shared_label_matches_registry,source_shared_category_matches_registry,shared_layer_labels_match,shared_layer_categories_match,ite_shared_layer_node_id,tg_shared_layer_node_id,alignment_id,alignment_state,ite_pair_id,ite_pair_edge_status,ite_other_global_concept_id,ite_other_label,ite_other_category,source_ite_other_label_matches_registry,source_ite_other_category_matches_registry,ite_other_layer_node_id,ite_pair_paper_count,ite_pair_sentence_count,source_ite_pair_paper_count_matches_pair_bank,source_ite_pair_sentence_count_matches_pair_bank,ite_strict_relation_ids,source_ite_strict_relation_ids_match_pair_bank,ite_semantic_relation_review_status,source_ite_semantic_review_status_matches_recomputed,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_edge_status,tg_other_global_concept_id,tg_other_label,tg_other_category,source_tg_other_label_matches_registry,source_tg_other_category_matches_registry,tg_other_layer_node_id,tg_pair_paper_count,tg_pair_sentence_count,source_tg_pair_paper_count_matches_pair_bank,source_tg_pair_sentence_count_matches_pair_bank,tg_strict_relation_ids,source_tg_strict_relation_ids_match_pair_bank,tg_semantic_relation_review_status,source_tg_semantic_review_status_matches_recomputed,tg_authoritative_provenance_fk,evidence_tier,base_evidence_grade,base_evidence_grade_order,source_base_evidence_grade_matches_recomputed,source_base_evidence_grade_order_matches_recomputed,evidence_grade,evidence_grade_order,source_reviewed_evidence_grade_matches_recomputed,source_reviewed_evidence_grade_order_matches_recomputed,grade_namespace,grade_basis,minimum_pair_paper_count,minimum_pair_sentence_count,source_minimum_pair_paper_count_matches_recomputed,source_minimum_pair_sentence_count_matches_recomputed,source_closure_group_id,source_cross_endpoint_pair_key,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,source_cross_endpoint_status_in_iTE,source_cross_endpoint_status_in_TG,source_cross_endpoint_status_in_iTE_matches_recomputed,source_cross_endpoint_status_in_TG_matches_recomputed,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,candidate_interpretation,shared_node_release_status,cross_endpoint_edge_state,review_selected,review_queue_order,review_selection_reason,selection_policy_id
TC_6b6af2caadc5,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,True,LN_48242c0aa84a,LN_273c9e5c97c9,AL_fe12338eefc3,exact_identity_not_scientific_relation,IP_e121590ef3d9,semantic_accepted_human_pending,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,LN_44bf675ae30c,1,1,True,True,AR_1e288c2fdddd,True,direct_sentence_relation_accepted,True,IP_e121590ef3d9,TP_671a0fd969af,semantic_accepted_human_pending,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,True,True,LN_a242c5999247,1,1,True,True,AR_9ff4ef61c8a8,True,direct_sentence_relation_accepted,True,TP_671a0fd969af,A_dual_strict_syntax_candidates,G2_dual_strict_syntax_candidates,1,True,True,R2_dual_direct_sentence_relations,1,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_96817e7a88e6,GC_3c432d56645d::GC_6624fb8cc64b,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,1,retain_all_dual_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_007b5f1b78a3,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_ffbf8a616993,same_sentence_cooccurrence_only,GC_b19ed8936d3a,mos2,literal_formula,True,True,LN_7f348942280e,1,1,True,True,,True,cooccurrence_only,True,IP_ffbf8a616993,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_c4da282f66a7,GC_71c1faf6fa71::GC_b19ed8936d3a,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,229,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_03a008286a49,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_7687bc6e4fb5,same_sentence_cooccurrence_only,GC_b3a358cd8cc7,sb1,literal_formula,True,True,LN_368b70ed6fcd,1,1,True,True,,True,cooccurrence_only,True,IP_7687bc6e4fb5,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_776a3c41b6e3,GC_71c1faf6fa71::GC_b3a358cd8cc7,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,129,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_05a1b53fefd1,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,True,LN_4af4b913d1d9,LN_f9483b4847c0,AL_79840eba8d44,exact_identity_not_scientific_relation,IP_74c7586b48eb,semantic_accepted_human_pending,GC_05203ac208f7,host guest complexation,mechanism_or_process,True,True,LN_7ab487182a50,1,1,True,True,AR_281e7aa7d45f,True,direct_sentence_relation_accepted,True,IP_74c7586b48eb,TP_5a7e804a371e,same_sentence_cooccurrence_only,GC_eac622c16e4b,diffusion transport,mechanism_or_process,True,True,LN_e0c684496d08,1,1,True,True,,True,cooccurrence_only,True,TP_5a7e804a371e,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_a620f7b065a1,GC_05203ac208f7::GC_eac622c16e4b,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,27,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_0c8395906789,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_abe8552766a6,same_sentence_cooccurrence_only,GC_96a5e1f0372e,complexation,mechanism_or_process,True,True,LN_2e81673bb6e1,1,1,True,True,,True,cooccurrence_only,True,IP_abe8552766a6,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_a245beeb1923,GC_71c1faf6fa71::GC_96a5e1f0372e,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,186,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_0e2a03b17c23,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_df5184589a7f,same_sentence_cooccurrence_only,GC_49990adc781e,energy conversion,mechanism_or_process,True,True,LN_9ecdd2aa2353,1,1,True,True,,True,cooccurrence_only,True,IP_df5184589a7f,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_85f6d1a350bb,GC_49990adc781e::GC_71c1faf6fa71,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,217,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_0eccf425499a,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,True,LN_7cda85ecc3b3,LN_0d8c4143b2d7,AL_52a83f5558f0,exact_identity_not_scientific_relation,IP_99e18ee308b7,semantic_accepted_human_pending,GC_7320e2b5d0b7,regulation,mechanism_or_process,True,True,LN_a845722623b9,1,1,True,True,AR_fed57ee4bc13,True,direct_sentence_relation_accepted,True,IP_99e18ee308b7,TP_4327b8c1c944,same_sentence_cooccurrence_only,GC_41374fb28f21,redox ion,material_or_structure,True,True,LN_235359c120ea,1,1,True,True,,True,cooccurrence_only,True,TP_4327b8c1c944,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_16c334e403d6,GC_41374fb28f21::GC_7320e2b5d0b7,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_11619df124cb,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_9e4b05189613,same_sentence_cooccurrence_only,GC_f224c55df144,single membrane,material_or_structure,True,True,LN_af53a0c6d972,1,1,True,True,,True,cooccurrence_only,True,IP_9e4b05189613,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_1afccdba058a,GC_71c1faf6fa71::GC_f224c55df144,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,168,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_14403c6106cd,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_c0b93bac5699,same_sentence_cooccurrence_only,GC_b68ff46bdf10,chcu,literal_formula,True,True,LN_a4b9953e5cb1,1,1,True,True,,True,cooccurrence_only,True,IP_c0b93bac5699,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_85bba61dd3e4,GC_71c1faf6fa71::GC_b68ff46bdf10,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,201,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_14b44de8811c,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,True,LN_8529233df78b,LN_4e04cb640a89,AL_f3efdce945b0,exact_identity_not_scientific_relation,IP_155eac289983,same_sentence_cooccurrence_only,GC_54a7aa9ef424,osmotic energy conversion,mechanism_or_process,True,True,LN_74e1e0b04469,1,1,True,True,,True,cooccurrence_only,True,IP_155eac289983,TP_3d10de20fa31,semantic_accepted_human_pending,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,True,True,LN_8eadb5699f95,1,1,True,True,AR_10561c52c88a,True,direct_sentence_relation_accepted,True,TP_3d10de20fa31,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_d419a3e24479,GC_54a7aa9ef424::GC_71c1faf6fa71,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,65,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
