relation_id,edge_id,edge_type,analysis_layer,paper_id,doi,title,sentence_id,evidence_sentence,source_global_concept_id,source_label,source_node_id,predicate_surface,predicate_normalized,target_global_concept_id,target_label,target_node_id,pair_id,pair_key,assertion_status,risk_reasons,strict_syntax_eligible,semantic_verdict,direct_sentence_entailment,claim_context,human_confirmation_status,review_basis,decision_rationale,edge_state,directed,graph_eligible,production_graph_eligible,graph_edge_status
AR_bf4c506663f9,AR_bf4c506663f9,direct_relation_candidate_audit,TG,P0002,10.1016/j.joule.2025.101822,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_8fe38c9597eb,synergistic binary solvent,LN_6f0e9aa30dd6,rearranges,rearrange,GC_7fd8c2696d32,solvation,LN_9131c4fde17c,TP_47fc09a5f502,GC_7fd8c2696d32::GC_8fe38c9597eb,observed_assertion,risk_cross_clause; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_b0a72a57d85b,AR_b0a72a57d85b,direct_relation_candidate_audit,TG,P0006,10.1038/s41467-024-51002-8,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",5,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,GC_9016de567c2f,elaborately designed ion transport,LN_3a4591bce013,boost,boost,GC_08f3d1289864,mechanical strength,LN_8cb7a4dcfe6c,TP_fcf4fd6126a3,GC_08f3d1289864::GC_9016de567c2f,purpose_or_design,risk_other_predicate_between_endpoints,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_df3939ce5f0e,AR_df3939ce5f0e,direct_relation_candidate_audit,TG,P0006,10.1038/s41467-024-51002-8,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",5,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,GC_9016de567c2f,elaborately designed ion transport,LN_3a4591bce013,improve,improve,GC_08f3d1289864,mechanical strength,LN_8cb7a4dcfe6c,TP_fcf4fd6126a3,GC_08f3d1289864::GC_9016de567c2f,observed_assertion,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_15705325e379,AR_15705325e379,direct_relation_candidate_audit,TG,P0009,10.1126/science.adg0164,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,GC_dad97d797387,redox reaction,LN_13114a75157e,generates,generate,GC_3e2f500dc35e,continuous concentration gradient,LN_f8a7c3d894fb,TP_0195e99eefa2,GC_3e2f500dc35e::GC_dad97d797387,observed_assertion,risk_other_predicate_between_endpoints,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_4a2496b41af8,AR_4a2496b41af8,direct_relation_candidate_audit,TG,P0009,10.1126/science.adg0164,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,GC_dad97d797387,redox reaction,LN_13114a75157e,realize,realize,GC_3e2f500dc35e,continuous concentration gradient,LN_f8a7c3d894fb,TP_0195e99eefa2,GC_3e2f500dc35e::GC_dad97d797387,purpose_or_design,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_44420725a5b7,AR_44420725a5b7,direct_relation_candidate_audit,TG,P0018,10.1016/j.nanoen.2024.110515,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,4,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",GC_7fd8c2696d32,solvation,LN_9131c4fde17c,increase,increase,GC_daadfd6b705e,thermoelectric power,LN_dc2fcf94b123,TP_7332fb2b3241,GC_7fd8c2696d32::GC_daadfd6b705e,hypothetical_or_modal,risk_nominal_predicate; risk_cross_clause; risk_long_endpoint_gap,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_1d0d14921d86,AR_1d0d14921d86,direct_relation_candidate_audit,TG,P0024,10.1016/j.solener.2025.114122,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,3,"Based on the developed thermo-electric coupling model, numerical calculation shows that the peak efficiency of the SLTG is 5.0% at AM1.5G (1 kW/m2) conditions, corresponding to a low thermal concentration of 3.87.",GC_da234a942ae6,thermo electric coupling,LN_11e441f62bf8,shows,show,GC_1dfd91ff597e,peak efficiency,LN_d6e874564633,TP_44881c293072,GC_1dfd91ff597e::GC_da234a942ae6,observed_assertion,risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_e198c3a2d451,AR_e198c3a2d451,direct_relation_candidate_audit,TG,P0026,10.1126/sciadv.adp4533,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,1,"Thermogalvanic cells (TGCs) draw great attention in the field of heat to electricity conversion, but TGCs were only in the form of liquid or organic gel.",GC_2d3c6fbbefea,electricity conversion,LN_6e37bd7158f9,form,form,GC_cf97450eea4b,organic gel,LN_3cf71ca53931,TP_a4a1d114338b,GC_2d3c6fbbefea::GC_cf97450eea4b,observed_assertion,risk_nominal_predicate; risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_e369ca23a463,AR_e369ca23a463,direct_relation_candidate_audit,TG,P0026,10.1126/sciadv.adp4533,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,4,"As the temperature and pH coregulating Fe3+ concentration and reversible transformation between Fe3+ and Fe(OH)3, we boost thermopower and realize thermochromism.",GC_5a30de5a1f59,fe3+,LN_612ad40d02de,boost,boost,GC_118af0040619,thermopower,LN_f53e94117152,TP_ec809b213e8c,GC_118af0040619::GC_5a30de5a1f59,observed_assertion,risk_cross_clause; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_1345a4c8f6d0,AR_1345a4c8f6d0,direct_relation_candidate_audit,TG,P0027,10.1016/j.mtener.2024.101546,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,8,"In brief, the dual effect of ion-induced crystallization and nanochannel control substantially enhances the Seebeck coefficient of the TGC, thereby offering a promising strategy for enhancing the performance of low-grade thermal energy harvesting wearable TEGs.",GC_ab50f164306f,ion induced crystallization,LN_cbeaabccfdb7,enhances,enhance,GC_6cdb23f33c74,seebeck coefficient,LN_ccd3eb53d5e7,TP_5f6ca72d013d,GC_6cdb23f33c74::GC_ab50f164306f,observed_assertion,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
