audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank
125,TC_c2376bf12720,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,False,False,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_5834d4c38b33,GC_27998e08b8e3::GC_e3dc7a9d810c,hydration + quasi solid state,GC_e3dc7a9d810c,quasi solid state,untyped_extractive_keyword,1,1,0,0,,,TP_5834d4c38b33,CL_dd3c6425e41d,GC_7320e2b5d0b7::GC_e3dc7a9d810c,regulation + quasi solid state,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,3,3,,
127,TC_4e7ce793a6df,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,False,False,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_7c01ea1e4670,GC_27998e08b8e3::GC_50c64ed68beb,hydration + freeze tolerance,GC_50c64ed68beb,freeze tolerance,untyped_extractive_keyword,1,1,0,0,,,TP_7c01ea1e4670,CL_9aed6db25f03,GC_50c64ed68beb::GC_7320e2b5d0b7,regulation + freeze tolerance,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,5,5,,
128,TC_4f6615f920b5,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,False,False,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_8374d273faa5,GC_27998e08b8e3::GC_649527c4ec05,hydration + self humidifying,GC_649527c4ec05,self humidifying,untyped_extractive_keyword,1,1,0,0,,,TP_8374d273faa5,CL_93ba6eebef6e,GC_649527c4ec05::GC_7320e2b5d0b7,regulation + self humidifying,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,6,6,,
129,TC_84dbb34a71a4,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,False,False,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_b9b4ef60a951,GC_27998e08b8e3::GC_fd60a1db5fcf,hydration + interaction,GC_fd60a1db5fcf,interaction,mechanism_or_process,1,1,0,0,,,TP_b9b4ef60a951,CL_f5b326f314ee,GC_7320e2b5d0b7::GC_fd60a1db5fcf,regulation + interaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,7,7,,
136,TC_d50a3752b741,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,False,False,1,1,5,3,IP_d0dc27a6e0a9,GC_3c0cb933cdf7::GC_df60012af144,ion pair + large size,GC_df60012af144,large size,untyped_extractive_keyword,1,1,0,0,,,IP_d0dc27a6e0a9,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_ebb91fbd3059,GC_bc536166f47d::GC_df60012af144,large size + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,4,4,,
137,TC_1a0b9a20fa31,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,False,False,1,1,5,3,IP_d8f2db3cbdbd,GC_3c0cb933cdf7::GC_f2dc513be1e2,ion pair + long range,GC_f2dc513be1e2,long range,untyped_extractive_keyword,1,1,0,0,,,IP_d8f2db3cbdbd,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_5bec2e350e12,GC_bc536166f47d::GC_f2dc513be1e2,long range + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,5,5,,
149,TC_9b0e179af3b6,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_1d2c8bfd05c2,GC_4a92e5f4fe38::GC_519340eb3e00,hydrogel + temperature responsive,GC_519340eb3e00,temperature responsive,untyped_extractive_keyword,1,1,0,0,,,TP_1d2c8bfd05c2,CL_b8666ba44efa,GC_519340eb3e00::GC_f2bba15c8a15,physiological temperature gradient + temperature responsive,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,21,21,,
150,TC_773b1426ff53,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_273192b203dc,GC_4a92e5f4fe38::GC_e9abbbf10922,hydrogel + thermo reversible,GC_e9abbbf10922,thermo reversible,untyped_extractive_keyword,1,1,0,0,,,TP_273192b203dc,CL_e46901e544aa,GC_e9abbbf10922::GC_f2bba15c8a15,physiological temperature gradient + thermo reversible,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,22,22,,
158,TC_2cce82693460,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_4cd870e9d088,GC_4a92e5f4fe38::GC_e3dc7a9d810c,hydrogel + quasi solid state,GC_e3dc7a9d810c,quasi solid state,untyped_extractive_keyword,1,2,0,0,,,TP_4cd870e9d088,CL_ee2db488ddc7,GC_e3dc7a9d810c::GC_f2bba15c8a15,physiological temperature gradient + quasi solid state,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,3,21,1,9390,10,10,,
159,TC_3e304cd7750e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_4d0996278de2,GC_4a92e5f4fe38::GC_a15216d3da74,hydrogel + hydrogel thermo electrochemical cell,GC_a15216d3da74,hydrogel thermo electrochemical cell,device_or_context,1,1,0,0,,,TP_4d0996278de2,CL_6999ec815f3e,GC_a15216d3da74::GC_f2bba15c8a15,physiological temperature gradient + hydrogel thermo electrochemical cell,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,26,26,,
