pair_id,group_index,before_decision,after_decision,judge_reason
pair:f61b5b0df6f8e22f1715,7,accept,reject,修订：enhanced power factor为增强后的状态，enhancement in the power factor为变化过程，拆开25与15/24。普通电子、离子、混合及最大值仍按原定义分开。；左右定义分别为增强后的电子功率因子状态 / 功率因子增强过程
pair:11ede1ada8dcac4f3121,19,accept,reject,修订：enhanced phonon scattering指增强后的散射状态，increase in phonon scattering指增强过程，拆开9/11。一般散射、多波长及强散射范围继续保留。；左右定义分别为增强后的声子散射状态 / 声子散射增强过程
pair:06bd337adf3e6712587f,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:23a1c8b60c775452833f,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:e068bbdb75ccf1c79b22,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:8d3c6a9066d94b1ff77d,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:fdf542d0b7e1391b0d7d,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:ef0fde66d7d6a23b2415,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:34e2df79c4631a1111bc,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:8054a5544d5e7ee2bc73,20,accept,uncertain,；Astra抽检：修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。
pair:ae7a55a16c1ef9b97619,35,reject,uncertain,；Astra抽检：修订：TG:P0118的30°C是电极极性转折的临界温度，不是两端温差。将该节点从DeltaT分区拆出待定；DeltaT仍仅含明确温差定义的1/4/5。
pair:d884cfc5a3c7aa09f6ed,35,reject,uncertain,；Astra抽检：修订：TG:P0118的30°C是电极极性转折的临界温度，不是两端温差。将该节点从DeltaT分区拆出待定；DeltaT仍仅含明确温差定义的1/4/5。
pair:52adbf28b29a3ebf6004,35,accept,uncertain,；Astra抽检：修订：TG:P0118的30°C是电极极性转折的临界温度，不是两端温差。将该节点从DeltaT分区拆出待定；DeltaT仍仅含明确温差定义的1/4/5。
pair:cc7333430405e33f2580,194,accept,uncertain,；Astra抽检：修订为待定：CaAg0.9P抑制双极输运的高掺杂与N2200聚合物的高掺杂，未给出共同掺杂量定义或高值阈值；不能因high doping同名接受。
pair:940942c2c3265ba95e9b,335,accept,uncertain,；Astra抽检：修订为待定：一侧明确晶胞体积收缩，另一侧只说lattice contraction策略；完整摘要未给出体积或各轴条件，不能断言几何范围严格等价。
