relation_id,revision_kind,before_subject,before_predicate,before_object,after_subject,after_predicate,after_object,modality,joint_factor_group,instruction,status
TG:P0079:r001,qualification_or_representation,Seebeck coefficient,enables sensitive,heat-flux transduction,high Seebeck coefficient,enables sensitive,heat-flux transduction,as_reported,,主语改为high Seebeck coefficient。,applied
TG:P0015:r001,qualification_or_representation,stretching-induced crystallization,combined design yields high,tensile strength,stretching-induced crystallization + thermoelectric-effect integrated design,combined design is reported with high tensile strength,抗拉强度,combined_design_report,joint:TG:P0015:6d6fcbc5061662ff871d,改为组合设计与高强度的属性关系，保留19MPa。,applied
TG:P0246:r001,qualification_or_representation,water containing DES,modulates,solvent shell structure of redox couple,water containing DES,intentionally used to modulate,氧化还原电对的溶剂化壳结构,design_purpose,,谓词改为intentionally used to modulate，模态design_purpose。,applied
TG:P0012:r002,qualification_or_representation,active piezoresistivity,jointly enables,transduction of dynamic gestures into detectable electrical signals,thermoelectricity + active piezoresistivity,jointly enables,transduction of dynamic gestures into detectable electrical signals,as_reported,joint:TG:P0012:0a9b6c21bd478a333c9e,添加共同因素组并保持体热和应变条件。,applied
iTE:P0378:r002,qualification_or_representation,movement of free ions,improves,power factor,effective control of free-ion movement by zwitterionic side-chain moiety positions,improves,离子功率因子,as_reported,,主语改为effective control of free-ion movement by zwitterionic side-chain moiety positions。,applied
TG:P0116:r001,qualification_or_representation,distillation of sodium hydroxide solution in temperature gradient,maintains in proposed hybrid,Concentration difference,temperature-gradient distillation + temperature-dependent NaOH solubility,maintains in proposed hybrid,Concentration difference,theoretical_proposal,joint:TG:P0116:7aa38ff1848a7cc12256,增加联合因素组。,applied
TG:P0148:r001,qualification_or_representation,thermogalvanic deposition process,dominates at lower laser power,copper deposition rate,thermogalvanic deposition process,interpreted as predominant deposition contribution at lower laser power,copper deposition rate,author_interpretation,,谓词改为interpreted as predominant deposition contribution at lower laser power。,applied
TG:P0148:r002,qualification_or_representation,copper dissolution process,reduces at high laser power,copper deposition rate,copper dissolution process,interpreted competing dissolution contribution reducing net deposition at high laser power,copper deposition rate,author_interpretation,,谓词改为interpreted competing dissolution contribution reducing net deposition at high laser power。,applied
TG:P0165:r002,qualification_or_representation,abundant electroactive sites,jointly supports,thermopower,3D skeleton + abundant electroactive sites + high conductivity,jointly supports,热扩散与热电化学混合热电势,as_reported,joint:TG:P0165:ff6901cf05bf294ecb63,绑定三因素。,applied
TG:P0173:r001,qualification_or_representation,thermogalvanic effect,jointly contributes,output voltage,thermogalvanic effect + electrochemical potential,jointly contributes,热与化学势复合总电压,as_reported,joint:TG:P0173:856fdb785b1c29c50041,绑定联合来源，保留90°C约33%热贡献及无空间温差条件。,applied
TG:P0183:r001,qualification_or_representation,intercalation of acetone molecules into the first solvation shell of the Fe2+,increases at high acetone fraction,a of Fe3+/Fe2+,intercalation of acetone molecules into the first solvation shell of the Fe2+,increases at high acetone fraction,thermogalvanic temperature coefficient alpha of Fe3+/Fe2+,computational_prediction,,加入MD预测标记；宾语为thermogalvanic temperature coefficient alpha of Fe3+/Fe2+。,applied
iTE:P0386:r002,qualification_or_representation,temperature difference,enhances through synergy with NERD,power density and efficiency,i-TE conversion + NERD,enhances through synergy with NERD,power density and efficiency,as_reported,joint:iTE:P0386:8a353853f7119a509fd7,联合因素绑定；温差作为i-TE驱动条件。,applied
iTE:P0408:r003,qualification_or_representation,covalent cross-linked polymer network,jointly boosts,ion concentration difference,covalent cross-linked polymer network + electrode-dependent effect under ion-size difference,jointly boosts,ion concentration difference,as_reported,joint:iTE:P0408:9747c05ffd7c6b46d741,绑定因素并保留热扩散与尺寸差条件。,applied
iTE:P0596:r004,qualification_or_representation,multiscale hierarchical structures,jointly reduces,lattice thermal conductivity,bond softening + multiscale hierarchical structures,jointly reduces,晶格热导率,as_reported,joint:iTE:P0596:a2911ef40d3e159435c0,绑定共同因素。,applied
iTE:P0670:r001,qualification_or_representation,photo-polymerization,jointly enables,immobilizes imidazolium cations,photo-polymerization + hydrogen-bonding networks,jointly enables,immobilizes imidazolium cations,as_reported,joint:iTE:P0670:aab277cfa938bd0f1847,联合因素绑定。,applied
iTE:P0815:r001,qualification_or_representation,ionic liquid additives,enhances final microfibers,electrical and mechanical properties,ionic liquid additives,used with aim of enhancing,力学与电学性质组合,design_purpose,,谓词改为used with aim of enhancing；标design_purpose。,applied
iTE:P0904:r001,qualification_or_representation,difference in ionic radii,causes,strain-field effect,difference in ionic radii,causes,离子半径失配应变场声子散射,computational_prediction,,补充model calculations限定。,applied
iTE:P0915:r002,qualification_or_representation,mixed ion-electron conduction,jointly enables,exclusive read-out of the three individual parameters,electronic Seebeck effect + ionic Seebeck effect + mixed ion-electron conduction in elastic aerogel,jointly enables,pressure-temperature-humidity readout with minimal crosstalk,as_reported,joint:iTE:P0915:91c63984b05deffdf4c0,绑定联合机制，并展开宾语为pressure-temperature-humidity readout with minimal crosstalk。,applied
iTE:P0931:r001,qualification_or_representation,OH- and/or H2O coordination to Fe3+,author interprets enhancement through,alpha,OH- and/or H2O coordination to Fe3+,author interprets enhancement through,electrochemical Seebeck coefficient alpha,as_reported,,宾语展开为electrochemical Seebeck coefficient alpha；保留OH−/H2O alternatives和作者解释。,applied
iTE:P0932:r001,qualification_or_representation,PSS separation from PEDOT,jointly increases,PEDOT:PSS conductivity,PSS separation + benzoid-to-quinoid PEDOT conformational change,jointly increases,PEDOT:PSS电导率,as_reported,joint:iTE:P0932:8371295e62b660ff3fee,建立共同因素组。,applied
iTE:P0952:r001,qualification_or_representation,strong lattice anharmonicity and low acoustic-phonon group velocity,jointly produces,intrinsic low thermal conductivity,strong lattice anharmonicity and low acoustic-phonon group velocity,jointly produces,intrinsic low thermal conductivity,computational_prediction,,增加计算证据模态。,applied
iTE:P1098:r001,qualification_or_representation,low-frequency localized vibrations from the Cu ionic migration and Cu vacancies,accounts for,intrinsically low lattice thermal conductivity,low-frequency localized vibrations from the Cu ionic migration and Cu vacancies,accounts for,低值状态阈值待核实:6,computational_prediction,,保留原三元组，增加DFT计算来源限定。,applied
iTE:P1252:r001,qualification_or_representation,increasing content of Mg,weakens,Majority of the bonds,increasing content of Mg,weakens,Majority of the bonds,computational_prediction,,增加第一性原理计算限定。,applied
iTE:P1255:r001,qualification_or_representation,weakness of the ionic bonds,causes,soft acoustic phonon modes,弱离子键合,causes,soft acoustic phonon modes,computational_prediction,,增加first-principles/Boltzmann证据模态。,applied
iTE:P1276:r001,qualification_or_representation,anisotropic phonon group velocity,causes anisotropy with structure anisotropy,lattice thermal conductivity,anisotropic phonon group velocity + intrinsic structure anisotropy,causes anisotropy with structure anisotropy,晶格热导率,computational_prediction,joint:iTE:P1276:a555a882f4e661f3632e,增加计算限定及联合因素组。,applied
iTE:P1366:r001,qualification_or_representation,external temperature,decreases with increasing temperature,lattice thermal conductivities,external temperature,decreases with increasing temperature,晶格热导率,computational_prediction,,加入计算来源限定。,applied
iTE:P1500:r003,qualification_or_representation,high doping level,jointly improves,electrical conductivity,high doping level + high structural order,jointly improves,电子电导率,as_reported,joint:iTE:P1500:1664d7a1d32df26f83f8,绑定共同因素。,applied
iTE:P1526:r001,qualification_or_representation,interactions between these complexes,accounts for,electronic transport properties,interactions between mixed octahedral-tetrahedral [TS4]Cu6 complexes,accounts for,电子输运性质,experiment_and_computation,,主语展开为interactions between mixed octahedral-tetrahedral [TS4]Cu6 complexes；附前一句证据。,applied
iTE:P1595:r001,qualification_or_representation,anharmonic and anisotropic vibration of the Cu atom,jointly causes,glass-like thermal property,anharmonic anisotropic Cu vibration + ionic bonds around Cu + global weak bonding,jointly causes,glass-like thermal property,as_reported,joint:iTE:P1595:009a5422f7d74aeed314,建立三因素联合组。,applied
iTE:P1605:r002,qualification_or_representation,Sin/Sout= 3:1,improves versus 1:1,temperature uniformity,Sin/Sout= 3:1,improves versus 1:1,temperature uniformity,computational_prediction,,补充numerical-model预测限定。,applied
iTE:P1653:r002,qualification_or_representation,weaker Sr-O bonds,jointly lowers,thermal conductivity,higher excess volume + weaker Sr-O bonds,jointly lowers,晶界局部热导率,as_reported,joint:iTE:P1653:cd62ac1c29cb0809bd3d,联合因素绑定并保留SrO-rich对TiO2-rich边界比较。,applied
iTE:P1680:r002,qualification_or_representation,n-type carrier density,optimization suggested joint origin,unusual Cu doping effect,additional Cu ion conduction + optimization of n-type carrier density,optimization suggested joint origin,unusual Cu doping effect,as_reported,joint:iTE:P1680:69f2f6d4bc0a4ce8b211,添加联合因素组，保持hypothesis。,applied
iTE:P1862:r001,qualification_or_representation,gradient energy band structure of PbTe-PbS/TNAs,supports jointly with external field and vector charge transfer,excellent hydrogen production activities,external electric field + vector charge transfer + gradient energy band,supports jointly with external field and vector charge transfer,excellent hydrogen production activities,as_reported,joint:iTE:P1862:f48c5ef43347c5f5cb0f,登记联合因素组，禁止单因素独立支持解释。,applied
iTE:P1970:r001,qualification_or_representation,increase in phonon scattering,causes via reduced phonon mean free path with rising temperature,decrease in lattice thermal conductivity,声子散射增强过程,causes via reduced phonon mean free path with rising temperature,晶格热导率下降过程,computational_prediction,,增加第一性原理计算限定。,applied
TG:P0286:r001,qualification_or_representation,well-developed pore structure,jointly enables at 800 degree carbonization,maximum power density,well-developed pore structure + nitrogen doping,jointly enables at 800 degree carbonization,maximum power density,as_reported,joint:TG:P0286:6f6608a0b6c19807968f,绑定共同因素并保持800°C碳化条件。,applied
TG:P0289:r002,qualification_or_representation,fast redox-mediated electron transfer,jointly enhances,current generation capacity and overall efficiency,high electrochemically accessible surface area + fast redox-mediated electron transfer,jointly enhances,current generation capacity and overall efficiency,as_reported,joint:TG:P0289:abb062c7f30cf0185364,增加共同因素组。,applied
TG:P0291:r002,qualification_or_representation,separation between the hot and cold electrodes,optimization jointly improves,cell performance,redox-couple concentration optimization + hot/cold electrode separation optimization,optimization jointly improves,热电化学电池整体性能,as_reported,joint:TG:P0291:9de680faa564be2500f0,加入联合因素组。,applied
iTE:P0795:astra_core_02,missing_or_partial_reference_supplement,,,,logarithmic energy derivative of local density of states at Fermi energy,approximately proportional to,mesoscopic Seebeck coefficient,association,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0795:astra_core_03,missing_or_partial_reference_supplement,,,,atom-to-atom interaction at interface,may control,effective temperature drop at tip-sample junction,deduced_may,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0397:astra_core_01,missing_or_partial_reference_supplement,,,,copper-coordinated carboxylated cellulose,enhances,thermal-gradient diffusion of CuCl4(2-) complexes,author_claim,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0397:astra_core_03,missing_or_partial_reference_supplement,,,,other transition metal chlorides,do not exhibit,same specific enhanced heat-transport phenomenon,negated,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1009:astra_core_01,missing_or_partial_reference_supplement,,,,C and N doping in CsZnCl3,changes,semiconductor to spin-semiconductor nature,computational_prediction,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1009:astra_core_02,missing_or_partial_reference_supplement,,,,C and N doping in CsZnCl3,increases,figure of merit from 0.79 to almost 1.0,computational_prediction,,ZT提高已提取，但关系未标出计算预测模态。,applied
iTE:P1671:astra_core_01,missing_or_partial_reference_supplement,,,,high-temperature disorder and onset of superionic conductivity,produce little further reduction in,lattice thermal conductivity,observed_limited_effect,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1671:astra_core_02,missing_or_partial_reference_supplement,,,,anharmonic bonding and diffuson dominated transport,suggested joint origin of,inherently low lattice thermal conductivity in ACrX2,suggested_joint,joint:iTE:P1671:e999e6d8792e76212993,两条边明确joint origin且hypothesis，但未绑定共同因素组，不能当独立原因。,applied
iTE:P1678:astra_core_01,missing_or_partial_reference_supplement,,,,ionic bonding character and large Born effective charges,jointly cause,colossal phonon-electric field coupling,computational_joint,joint:iTE:P1678:4570af4f56b63e23e48d,遗漏共同因素Born有效电荷。,applied
iTE:P1678:astra_core_02,missing_or_partial_reference_supplement,,,,colossal phonon-electric field coupling,drives,large LO-TO splitting,computational_prediction,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1678:astra_core_03,missing_or_partial_reference_supplement,,,,including non-analytic correction,increases calculated,lattice thermal conductivity,computational_prediction,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1678:astra_core_04,missing_or_partial_reference_supplement,,,,"large mass, low velocities, Debye temperature, stiffness, lifetimes, heat capacity and strong anharmonicity",collectively explain,low lattice thermal conductivity,computational_joint,joint:iTE:P1678:2ffa371bdb2a2ee52de0,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0362:astra_core_01,missing_or_partial_reference_supplement,,,,cation coordination with PEO ether oxygen,controls,cation-anion diffusion coefficients and Eastman entropy changes,author_claim,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0362:astra_core_03,missing_or_partial_reference_supplement,,,,PEO/MgTFSI2 versus PEO/LiTFSI,has larger magnitude,negative thermopower,observed_comparison,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1123:astra_core_01,missing_or_partial_reference_supplement,,,,electronic band structure and DOS,suggest,metallic WB and semimetal-like WAlB,computational_inference,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1123:astra_core_02,missing_or_partial_reference_supplement,,,,large infrared reflectivity,suggests suitability for,coating to remove solar heating,potential_application,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1282:astra_core_01,missing_or_partial_reference_supplement,,,,thermal activation of intrinsic localized modes,enhances and makes anisotropic/inhomogeneous,thermal expansion,author_claim,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1282:astra_core_03,missing_or_partial_reference_supplement,,,,ILM activation,has no observed impact on,electrical conductivity,negated,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1282:astra_core_04,missing_or_partial_reference_supplement,,,,complement of transport effects from ILMs,could improve,thermoelectric performance,suggested_could,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1039:astra_core_01,missing_or_partial_reference_supplement,,,,temperature above 410 K,transforms,Ag8GeSe6 orthorhombic structure toward face-centered cubic with intervening phase separation,observed,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1039:astra_core_02,missing_or_partial_reference_supplement,,,,phonon mean free path near interatomic spacing,accounts for,ultralow thermal conductivity,author_claim,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1039:astra_core_03,missing_or_partial_reference_supplement,,,,Se deficiency variation,optimizes,carrier concentration and power factor,author_claim,,只提取载流子浓度优化，未提取功率因子优化。,applied
iTE:P0824:astra_core_02,missing_or_partial_reference_supplement,,,,low-degeneracy strongly dispersive valley,produces,high electrical conductivity but small Seebeck magnitude,computational_joint_outcome,joint:iTE:P0824:2fa83e7324c298b20490,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0824:astra_core_03,missing_or_partial_reference_supplement,,,,ionic radius of Ln,linearly increases,valley energy difference DeltaE in LnZnSbO,computational_association,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0824:astra_core_04,missing_or_partial_reference_supplement,,,,moderate valley energy difference in Ce-Nd LnZnSbO,favors,thermoelectric performance,computational_prediction,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1361:astra_core_01,missing_or_partial_reference_supplement,,,,oxygen partial pressure,controls with exponents -1/4 and +1/4,n-type and p-type conductivities respectively,observed_association,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1361:astra_core_03,missing_or_partial_reference_supplement,,,,lower-valent impurities or dopants,determine in proposed defect model,oxygen vacancy concentration,proposed_model,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1361:astra_core_04,missing_or_partial_reference_supplement,,,,partial electron conductivity,correlates strongly with,anomalous c-axis expansion,association,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P0613:astra_core_01,missing_or_partial_reference_supplement,,,,drying and regeneration,allows recovery and slightly higher,ionic Seebeck coefficient,observed_comparison,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1398:astra_core_01,missing_or_partial_reference_supplement,,,,partial Ce/Nd filling together with Co substitution at Fe sites,suppresses,FeSb2 marcasite formation,joint_author_claim,joint:iTE:P1398:205949a71249741cce38,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1398:astra_core_02,missing_or_partial_reference_supplement,,,,Co charge compensation and Nd filler content,increases,Seebeck coefficient,joint_author_claim,joint:iTE:P1398:190733db6a75726c977f,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1398:astra_core_03,missing_or_partial_reference_supplement,,,,Co charge compensation and Nd filler content,decreases,electrical conductivity,joint_author_claim,joint:iTE:P1398:190733db6a75726c977f,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1398:astra_core_04,missing_or_partial_reference_supplement,,,,higher carrier concentration under partial versus complete double filling,causes,higher electrical conductivity and lower Seebeck coefficient,joint_outcome,joint:iTE:P1398:66431e1383d50a0d5ac2,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1398:astra_core_05,missing_or_partial_reference_supplement,,,,comparable Ce/Nd atomic masses and ionic radii,explain lack of significant reduction in,lattice thermal conductivity with partial double filling,null_effect_attribution,,未显著改变热导及质量半径原因保留，但因果主语改为partial filling，严格参考关系仅部分覆盖。,applied
iTE:P1398:astra_core_06,missing_or_partial_reference_supplement,,,,increasing Co content,lowers,intrinsic conduction onset temperature and thereby changes ZT,author_claim,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1004:astra_core_01,missing_or_partial_reference_supplement,,,,Cr addition in Ca3Co4-xCrxO9+delta,increases,resistivity and Seebeck coefficient,observed_joint_outcome,joint:iTE:P1004:a44469b6762e6b48d7a9,只提取Seebeck增加，缺少电阻率增加。,applied
iTE:P1004:astra_core_02,missing_or_partial_reference_supplement,,,,Cr addition in Ca3Co4-xCrxO9+delta,suppresses,thermal conductivity,observed,,未抽出该关系；引用中出现不等于已形成关系。,applied
