k,tn,fp,fn,tp,precision,recall,f1,model,score
10,124,0,29,10,1.0,0.2564102564102564,0.40816326530612246,ML,ml_score
25,120,4,18,21,0.84,0.5384615384615384,0.65625,ML,ml_score
50,102,22,11,28,0.56,0.717948717948718,0.6292134831460674,ML,ml_score
100,58,66,5,34,0.34,0.8717948717948718,0.4892086330935252,ML,ml_score
10,123,1,30,9,0.9,0.23076923076923078,0.3673469387755102,Graph,graph_adoption_score
25,119,5,19,20,0.8,0.5128205128205128,0.625,Graph,graph_adoption_score
50,103,21,10,29,0.58,0.7435897435897436,0.651685393258427,Graph,graph_adoption_score
100,61,63,2,37,0.37,0.9487179487179487,0.5323741007194245,Graph,graph_adoption_score
10,124,0,29,10,1.0,0.2564102564102564,0.40816326530612246,Hybrid,hybrid_adoption_score
25,118,6,20,19,0.76,0.48717948717948717,0.59375,Hybrid,hybrid_adoption_score
50,103,21,10,29,0.58,0.7435897435897436,0.651685393258427,Hybrid,hybrid_adoption_score
100,61,63,2,37,0.37,0.9487179487179487,0.5323741007194245,Hybrid,hybrid_adoption_score
