mention_id,initial_concept_id,assignment_kind,decision_source,reconstruction_run_id,draft_concept_id,rollback_action
iTE:P0334:n1,iTE:P0334:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:856bbd1ec67de644bada,restore_exact_initial_assignment
iTE:P0334:n2,iTE:P0334:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:72e5daaf7f5c96d5c2a7,restore_exact_initial_assignment
iTE:P0334:n3,iTE:P0334:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a5a8952bd5cf6d9878a4,restore_exact_initial_assignment
iTE:P0335:n1,iTE:P0335:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a6dcf25cb3fb327410e0,restore_exact_initial_assignment
iTE:P0335:n2,iTE:P0335:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:fafca429227d2fbee096,restore_exact_initial_assignment
iTE:P0335:n3,iTE:P0335:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a67ef5feb6acfc540341,restore_exact_initial_assignment
iTE:P0335:n4,iTE:P0335:initial_n4,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:9cc5f26cd66f7e979761,restore_exact_initial_assignment
iTE:P0336:n1,iTE:P0336:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:9add429034925aaf3140,restore_exact_initial_assignment
iTE:P0336:n2,iTE:P0336:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:22b6104cdba92b558949,restore_exact_initial_assignment
iTE:P0336:n3,iTE:P0336:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a5a8952bd5cf6d9878a4,restore_exact_initial_assignment
iTE:P0337:n1,iTE:P0337:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:9e8308a77114379613ff,restore_exact_initial_assignment
iTE:P0337:n2,iTE:P0337:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:fc9377a34350ade624f4,restore_exact_initial_assignment
iTE:P0337:n3,iTE:P0337:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:d8b8e5879d601d112efb,restore_exact_initial_assignment
iTE:P0337:n4,iTE:P0337:initial_n4,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a5a8952bd5cf6d9878a4,restore_exact_initial_assignment
iTE:P0338:n1,iTE:P0338:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:ac8e6ad46e609cb1853e,restore_exact_initial_assignment
iTE:P0338:n2,iTE:P0338:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:1d24d70f1319181e8fd2,restore_exact_initial_assignment
iTE:P0338:n3,iTE:P0338:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:68f6f59587445a10683c,restore_exact_initial_assignment
iTE:P0339:n1,iTE:P0339:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:9b1c372e88a74e50d8f3,restore_exact_initial_assignment
iTE:P0339:n2,iTE:P0339:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:531c3ff6280e33c4c275,restore_exact_initial_assignment
iTE:P0339:n3,iTE:P0339:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:706fd12fe77e40078153,restore_exact_initial_assignment
iTE:P0339:n4,iTE:P0339:initial_n4,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:05d7739eb958a84c0cb9,restore_exact_initial_assignment
iTE:P0340:n1,iTE:P0340:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:afadc59a8270aa609b3a,restore_exact_initial_assignment
iTE:P0340:n2,iTE:P0340:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:5c1d07beb393802da06d,restore_exact_initial_assignment
iTE:P0340:n3,iTE:P0340:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:42345329ca517a93eede,restore_exact_initial_assignment
iTE:P0341:n1,iTE:P0341:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:c1f45191195138f91786,restore_exact_initial_assignment
iTE:P0341:n2,iTE:P0341:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:31ada61297e67bed8ca8,restore_exact_initial_assignment
iTE:P0341:n3,iTE:P0341:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:6dfc33d9b6b808b870fa,restore_exact_initial_assignment
iTE:P0342:n1,iTE:P0342:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:149ddd27a9236bab1618,restore_exact_initial_assignment
iTE:P0342:n2,iTE:P0342:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:12a85d6163e1e3b25ca1,restore_exact_initial_assignment
iTE:P0342:n3,iTE:P0342:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:3d210a8c3b00d895382e,restore_exact_initial_assignment
iTE:P0343:n1,iTE:P0343:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:dbd3e64018fb543201d7,restore_exact_initial_assignment
iTE:P0343:n2,iTE:P0343:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:6fc75b8bb55f627027fd,restore_exact_initial_assignment
iTE:P0343:n3,iTE:P0343:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a1eeb083cef4f21057f9,restore_exact_initial_assignment
iTE:P0344:n1,iTE:P0344:initial_n1,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:2420838244fbe6b769f2,restore_exact_initial_assignment
iTE:P0344:n2,iTE:P0344:initial_n2,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:b7da5a067a3eb5937ee0,restore_exact_initial_assignment
iTE:P0344:n3,iTE:P0344:initial_n3,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:4101053ea4b3dbc8e492,restore_exact_initial_assignment
iTE:P0344:n4,iTE:P0344:initial_n4,identity_only_no_semantic_decision,deterministic_reconstruction,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a5a8952bd5cf6d9878a4,restore_exact_initial_assignment
