program_id,program_group,positive_control,priority_score,candidate_status,candidate_status_cn,program_title_cn,source_lever_code,source_lever_cn,expected_source_paper_ids,top_iTE_paper_id,top_iTE_title,target_redox_family,target_redox_system_cn,TG_baseline_paper_id,TG_baseline_title,strict_pair_status,strict_bridge_count,source_aligned_ite_pair_count,target_family_tg_pair_count,target_grounding_tg_pair_count,representative_link_id,representative_transfer_score,representative_ite_pair_label,representative_tg_pair_label,representative_ite_supporting_paper_ids,representative_ite_aligned_paper_ids,representative_tg_supporting_paper_ids,first_decisive_test_cn,go_no_go_criterion_cn,failure_modes_cn
PRG_9e58569c757c,new_scheme,False,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,oriented_or_confined_channels,取向/限域离子通道,P0355; P0347; P0338; P0608; P0564,P0355,Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,source_aligned_hit,20,21,4,4,XL_9764c935da3f,88,oriented or confined channels  +  nanochannel-confined ion transport,[Fe(CN)6]3-/4-  +  thermal-gradient heat-transfer control,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0347; P0564; P0608,P0016,先同时测 3−/4− 纵横向扩散、传质阻抗与纵横向模量，确认各向异性不是只对支持盐有效。,只有红氧扩散和疲劳寿命同时优于同模量各向同性对照，才算有效升级。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。
PRG_3680dde71847,new_scheme,False,84,new_cross_mechanism_hypothesis,Q/HQ TG 有 pH 调控先例，但源 iTE 只证明外加 pH 可切换极性，尚未证明温度依赖质子化会自行建立 ΔpH；必须先验证 dpKa/dT。,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,ph_or_protonation_switch,pH/质子化开关,P0677,P0677,A pH-Sensitive Stretchable Zwitterionic Hydrogel with Bipolar Thermoelectricity,quinone_hydroquinone,醌/氢醌（Q/HQ）,P0034,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,source_aligned_hit,20,11,2,2,XL_fb7d59e029b4,85,ph or protonation switch  +  zwitterionic hydrogel ion regulation,hydroquinone/benzoquinone  +  polymer-regulated HQ/BQ equilibrium,P0378; P0677,P0677,P0034,先测两性离子侧链的 pKa(T) 与冷热端原位 pH；没有自发 ΔpH 就停止。,若 dpKa/dT 太小或强缓冲后效应不消失，则否决该因果链。,源论文只证明外加 pH 可切换 iTE 极性，并未证明温度会自行建立 ΔpH；若 dpKa/dT 太小，本组合不成立。另有 Q/HQ 副反应与慢滞后风险。
PRG_e948eab97497,new_scheme,False,83,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,fixed_charge_selectivity,固定电荷/离子选择性,P0528; P0364; P0696; P0360; P1665,P0528,Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics,iodide_triiodide,I−/I3−,P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,source_aligned_hit,20,14,7,6,XL_862600b52242,88,fixed charge selectivity  +  ion-selectivity membrane transport,poly(vinyl alcohol) (PVA)  +  iodide/triiodide redox chemistry,P0347; P0360; P0364; P0528; P1096,P0360; P0364; P0528,P0008,先用扩散池比较固定电荷-only、分子识别-only 和组合膜的 I3−/I− 分配与跨膜通量。,组合膜必须比两个单机制对照更能抑制 I3− 穿梭，同时不显著恶化极限电流。,I3− 在膜内强吸附或诱发凝胶相变，导致滞后、低电流和电极侧贫化。
PRG_e34db5baa25d,new_scheme,False,83,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,coordination_or_ion_pairing,配位/离子对,P0336; P0696; P0413; P0397,P0336,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,copper,Cu/Cu2+ 或 Cu 配合物,P0022,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,source_aligned_hit,20,13,2,2,XL_eac3c6ef8c64,88,coordination or ion pairing  +  ion-pairing and complexation,copper electrode  +  Cu-ethylenediamine chelation entropy,P0336; P0337; P0355; P0362; P0367; P0379; P0407; P0609; P0970; P1345,P0336,P0022,先做均匀配体密度系列，测 Cu2+ 结合常数随温度、扩散和 ΔT=0 偏置。,只保留能改变 dE/dT、不过度降低 Cu2+ 扩散且无等温偏置的配体窗口。,Cu2+ 被网络过度固定、Cu 枝晶/腐蚀或配体改变反应路径；高开路电压伴随低库仑效率。
PRG_0d4cbb7dc34c,new_scheme,False,79,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,anion_entanglement,阴离子缠结,P1143,P1143,Anionic entanglement-induced giant thermopower in ionic thermoelectric material Gelatin-CF3SO3K-CH3SO3K,fe_ii_iii,Fe2+/Fe3+,P0002,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,source_aligned_hit,6,6,1,1,XL_fe9a7d4239ae,84,anion entanglement  +  ch3so3- slows anion thermodiffusion,ClO4-  +  Fe2+/Fe3+ solvation redox chemistry,P1143,P1143,P0002,先在无红氧反应的支持盐凝胶中测两种阴离子的 Soret 系数/迁移数，再加入 Fe2+/Fe3+ 检查配位光谱是否改变。,只有辅助热电势可重复且 Fe 配位基本不变，才进入 TG 功率测试。,CF3SO3−/CH3SO3− 在非水或混合溶剂中同时改变 Fe 配位/溶剂化，无法把变化只归因于迁移；也可能电压增大而电导/功率下降。
PRG_88a7efad7dbd,new_scheme,False,79,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,counterion_condensation,Manning 反离子凝聚,P0344; P0555; P0401,P0344,High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,source_aligned_hit,20,17,3,3,XL_9178bf1f0689,85,counterion condensation  +  Manning counterion condensation,solvation structure  +  ferri/ferrocyanide redox chemistry,P0344; P0401,P0344; P0401,P0018,先测 [Fe(CN)6]3− 与 [Fe(CN)6]4− 在多阳离子网络中的 K3(T)、K4(T) 和扩散，不先做完整器件。,只有 K3/K4 的温度导数显著不同、过程可逆且两物种仍可扩散，才继续。,四价态被过度束缚导致电极耗竭、滞后或不可逆沉积；电压增益来自浓差而非可逆红氧熵。
PRG_cf22ac785fee,new_scheme,False,74,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,P0349; P1003; P0408; P0365; P0346,P0349,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,cobalt_complex,Co 配合物氧化还原对,P0291,Quasi-solid-State Electrolytes for Low-Grade Thermal Energy Harvesting using a Cobalt Redox Couple,no_TG_grounding_pair,0,16,0,0,,,,,,,,先做溶剂小矩阵，测 DSC、黏度/Co 扩散与温变配位光谱，筛掉会改变 Co 配位反应的配方。,只有低温不冻结、Co 配位可逆且扩散仍可接受的配方才进入器件。,网络配体改变 Co 氧化态配位数，使热电势不可预测；低温不冻结但扩散仍过慢。
PRG_0f7a0b8392d8,new_scheme,False,74,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,fixed_charge_selectivity,固定电荷/离子选择性,P0400; P0662,P0400,Interfacial Effect Boosts the Performance of All-Polymer Ionic Thermoelectric Supercapacitors,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,P0041,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,source_aligned_hit,12,2,6,6,XL_5187125608c1,79,PEDOT  +  fixed charge selectivity,Nafion  +  ferri/ferrocyanide redox chemistry,P0400,P0400,P0041,先测 3−/4− 在界面层中的分配比随温度是否变化，并同时测交换电流/EIS。,若分配差无温度导数，则只作为电极动力学改进，不宣称放大 dE/dT。,界面层成为扩散屏障；两端涂层不对称制造伪电势；强吸附导致钝化。
PRG_08afbdcdbb17,new_scheme,False,72,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,water_assisted_proton_transport,水辅助质子输运,P0392; P0557; P0385,P0392,Embedding Aligned Graphene Oxides in Polyelectrolytes to Facilitate Thermo-Diffusion of Protons for High Ionic Thermoelectric Figure-of-Merit,quinone_hydroquinone,醌/氢醌（Q/HQ）,P0034,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,source_aligned_hit,18,9,2,2,XL_b036091639cd,84,water assisted proton transport  +  ion diffusion,hydroquinone/benzoquinone  +  polymer-regulated HQ/BQ equilibrium,P0392,P0392,P0034,先在无 Q/HQ 与强缓冲两种条件下测水含量/pH 空间剖面，分离质子梯度与本征红氧热电势。,反转温差时 pH 梯度须可逆，且缓冲后新增电压应同步消失。,水迁移造成干燥/膨胀而非可逆 H+ 梯度；质子通道提高电压却增加自放电。
PRG_17b64f2815f3,new_scheme,False,72,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,ion_electron_coupling,离子–电子耦合,P0353; P0380; P0519,P0353,Conveyor mode enabling continuous ionic thermoelectric conversion,fe_ii_iii,Fe2+/Fe3+,P0014,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,source_aligned_hit,3,1,3,3,XL_79992693d5fe,88,ion electron coupling  +  ionic thermodiffusion (Soret effect),PEDOT:PSS  +  Fe2+/Fe3+ solvation redox chemistry,P0353; P0380; P0510; P0615; P0708; P0720,P0353; P0380,P0014,先做两块彼此绝缘的局部 mixed-conducting 电极，和等电化学面积的电子绝缘孔隙电极比较 EIS，同时测漏电与自放电。,界面阻抗须在等电化学面积对照下仍下降，同时无电子贯通和额外自放电；否则只能归因于面积效应。,两侧电子相接触造成内部短路/自放电，或导电相催化副反应；所谓协同也可能仅来自电极面积增加。
