alignment_id,edge_id,edge_type,global_concept_id,normalized_label,ite_layer_node_id,tg_layer_node_id,source_node_id,target_node_id,alignment_method,exact_label_match,category_match,ite_lexical_category,tg_lexical_category,both_pair_endpoints,path_eligible,all_nontrivial_path_count,endpoint_pass_focus_path_count,focus_eligible,release_status,directed,scientific_relation,causal_claim_allowed,graph_edge_status
AL_667431749a12,AL_667431749a12,exact_node_alignment,GC_01e53584da76,temperature coefficient,LN_931286c550ac,LN_26489d078ce0,LN_931286c550ac,LN_26489d078ce0,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_976a11e900e5,AL_976a11e900e5,exact_node_alignment,GC_02772d498f8b,heat transfer,LN_fd0162447909,LN_4d3c75c88880,LN_fd0162447909,LN_4d3c75c88880,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,70,45,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_986eeddbca3b,AL_986eeddbca3b,exact_node_alignment,GC_028a986f2d99,organic solvent,LN_de457af04dc6,LN_217b7c1501dd,LN_de457af04dc6,LN_217b7c1501dd,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,12,9,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_e32aaad7ffe3,AL_e32aaad7ffe3,exact_node_alignment,GC_02c7fa838a39,small temperature gradient,LN_f9f8c1604f4d,LN_dfe60175308d,LN_f9f8c1604f4d,LN_dfe60175308d,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_10c7888d4b80,AL_10c7888d4b80,exact_node_alignment,GC_030e2d8d54dd,double network,LN_5e2a9f123aca,LN_2cd2c5c698ba,LN_5e2a9f123aca,LN_2cd2c5c698ba,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,28,14,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_f73cd9e8a38a,AL_f73cd9e8a38a,exact_node_alignment,GC_05ff932ccf02,temperature dependent,LN_8fcf58a2b3f5,LN_c2f76a9bda67,LN_8fcf58a2b3f5,LN_c2f76a9bda67,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,44,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_c3bd8ef60335,AL_c3bd8ef60335,exact_node_alignment,GC_06ab309e3607,electrochemical impedance spectroscopy,LN_acc4e1178b04,LN_91428352f3fa,LN_acc4e1178b04,LN_91428352f3fa,exact_global_concept_id,True,True,evidence_method,evidence_method,True,True,3,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_b262ef0cd1c2,AL_b262ef0cd1c2,exact_node_alignment,GC_06f57a9bca46,polymer electrolyte,LN_52e999d73f1c,LN_71d017975ab1,LN_52e999d73f1c,LN_71d017975ab1,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,12,4,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_a27101d57823,AL_a27101d57823,exact_node_alignment,GC_070354244e6f,positive seebeck coefficient,LN_fbde7e17907a,LN_de5f371d724d,LN_fbde7e17907a,LN_de5f371d724d,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_b9ee7c5276ab,AL_b9ee7c5276ab,exact_node_alignment,GC_0782a94e48c7,giant thermopower,LN_4977b22a44e9,LN_5a961a8dee6d,LN_4977b22a44e9,LN_5a961a8dee6d,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
