文章名,期刊名,DOI,年份,摘要,材料,机制,source,source_family,source_record_id,source_file,source_row,paper_id,clean_assignment,record_action,representative_record_id
A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.161288,2025,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy. However, the development of n-type i-TE materials still fall behind. In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple. It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species. On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device. Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K. In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability. A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices. This study illustrates the impact of Fe2+/3+ concentration on the thermopower and output performance of the i-TEG, providing an optimization route for the preparation of high-performance n-type ionic thermoelectric devices.",n-type ionic thermoelectric hydrogel with Fe2+/Fe3+ redox couple; Gel-Fe24,Fe2+/Fe3+ concentration modulates thermodiffusion and thermogalvanic effects; Fe2+/Fe3+ complexation with Cl- affects thermopower and electron transfer resistance,iTE1,iTE,iTE1_0004,source_tables/iTE1_first1000_material_mechanism.csv,6,P0003,TG,removed_from_iTE_retained_in_TG,TG_0002
Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,NANO ENERGY,10.1016/j.nanoen.2025.111156,2025,"As the human body's most vital environmental interface, the skin integrates diverse sensory receptors enabling simultaneous perception of multiple stimuli through multisensory processing. However, the realization of multifunctional sensing system on robots or prosthetics remains a huge challenge. Here we report a multifunctional tactile sensor fabricated from ionic thermoelectric gelatin that achieves simultaneous pressure and temperature detection. The thermoelectric effect of this ionic thermoelectric gelatin is mainly achieved through the synergy of the thermodiffusion effects and the thermogalvanic effect of ions. In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces. By comparing the thermoelectric effect driven by temperature difference and the thermoelectric effect driven by pressure-temperature difference, there is a difference in the voltage response time. This allows for the decoupling of signals at the backend with only a simple algorithm. Using this sensor, we achieved a 95.31 % accuracy rate in identifying different materials. The multifunctional tactile sensor can promote the development of robots and better assist the disabled in restoring their sensory abilities.",ionic thermoelectric gelatin tactile sensor,"thermoelectric response arises from synergy between ion thermodiffusion and thermogalvanic effects; applied pressure changes thermopower, enabling force-temperature decoupling",iTE1,iTE,iTE1_0012,source_tables/iTE1_first1000_material_mechanism.csv,14,P0143,TG,removed_from_iTE_retained_in_TG,TG_0142
Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202511293,2025,"Gel thermocell can directly convert heat into electricity by ions as energy carriers, capable of low-grade heat harvesting. However, ionic thermoelectric performance, including ionic thermopower, output power density, and energy density, needs to be significantly improved to meet practical applications. To date, it still lacks an effective strategy to focus on gels to achieve the overall high performance. Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance. The CHEG thermocell using the synergy of thermogalvanic and thermodiffusion effects showed a total ionic thermopower of 41 mV K-1 with 2.3 mV K-1 for the former, and delivered a maximum output power density of 14.3 mW m-2 K-2 and an energy density of 4.5 J m-2 K-2. In addition, an ultrahigh maximum output power density of 4.13 mW m-2 K-2 was obtained in the CHEG device that was assembled by connecting four thermocells in series, which could realize electrocatalytic degradation of rhodamine B. This work demonstrates a feasible way to design high-performance ionic thermoelectric gels and provides a new application in water pollution treatments.",adhesive self-healing cationic high-entropy gel G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+,"multication-anion interactions in a high-entropy gel improve redox reaction entropy change, exchange current density, and ionic conductivity; thermogalvanic and thermodiffusion effects jointly contribute",iTE1,iTE,iTE1_0013,source_tables/iTE1_first1000_material_mechanism.csv,15,P0146,TG,removed_from_iTE_retained_in_TG,TG_0145
Ionic thermoelectric materials: Innovations and challenges,MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2024.101375,2024,"As innovative energy materials, ionic thermoelectric materials (i-TEs) possess a distinctive combination of a high Seebeck coefficient and low thermal conductivity. This unique feature positions them as ideal candidates for efficiently harvesting low-grade heat. This review categorizes i-TEs into thermally diffusive type and thermogalvanic type, with a focus on the former due to its higher Seebeck coefficient. Notably, quasi-solid state materials within this category are explored in the most detailed way for their safety, flexibility, and versatile polymer network design. Strategies to enhance i -TE performance, such as improving the Seebeck coefficient, electrical conductivity, and reducing thermal conductivity, are discussed. Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance. The future prospects underscore the critical necessity for challenge of establishing a systematic theoretical framework for i-TEs and emphasize the potential of electrode-electrolyte interactions in improving device performance to tackle the challenge of low energy density in diverse applications. In essence, i-TEs play a pivotal role in the effective harvesting of waste heat, making significant contributions to global sustainability and facilitating progress in green energy practices.",ionic thermoelectric materials; review of thermally diffusive and thermogalvanic i-TEs,"performance strategies include increasing Seebeck coefficient and electrical conductivity, reducing thermal conductivity, hybridizing electron-type and ion-type materials, and tuning electrode-electrolyte interactions",iTE1,iTE,iTE1_0022,source_tables/iTE1_first1000_material_mechanism.csv,24,P0141,TG,removed_from_iTE_retained_in_TG,TG_0140
Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.152734,2024,"Gelatin-based ionic hydrogels are flexible, bio-compatible, and abundant materials, showing immense potential as quasi -solid -state electrolytes in energy conversion and storage applications. Recent studies highlighted the critical synergy between hydrogel electrolytes and electrodes on the thermopower and energy density in emerging ionic thermoelectric (i -TE) devices. In this work, the significant impact from electrodes to the thermoelectric response of gelatin hydrogels is explored and explained at the molecular level. A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion. The thermopowers of Gelatin-CsCl change from p- (0.1-0.5 mV K - 1 ) to n -type (up to -2.89 +/- 0.34 mV K - 1 ) and remain thermally stable at a large temperature difference of -36.8 K. The power factor and average power density in the ionic thermoelectric supercapacitors (ITESCs) made from Gelatin -0.02 M CsCl and CBP electrodes reach 2.13 +/- 0.50 mu W m - 1 K -2 and 145.37 mu W m - 2 at a small temperature difference of -7.7 K. Furthermore, the highest normalized instantaneous power density achieved during the quasi-continuous charge-discharge cycles is 39.42 mu W m - 2 K -2 , among the best ITESCs. This work provides fundamental insights into the previously overlooked synergy between gelatin hydrogels and electrodes for adjustable and thermally stable i -TE conversion and energy storage devices.",gelatin-CsCl hydrogel with carbon-based paper electrodes,"carbon-based paper electrodes infiltrate electrolyte and restrict cations, facilitating anion thermodiffusion and shifting gelatin-CsCl thermopower toward n-type behavior",iTE1,iTE,iTE1_0024,source_tables/iTE1_first1000_material_mechanism.csv,26,P0268,TG,removed_from_iTE_retained_in_TG,TG_0267
A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,SMALL,10.1002/smll.202407529,2025,"This research reports a continuous output ionic thermoelectric (i-TE) system based on MXene/PVA (polyvinyl alcohol) hydrogel, by utilizing thermo-diffusion of Cu2+ and Cl- ions and the redox reaction involving Cu/Cu2+ at the electrode interfaces. The thermopower of the i-TE system can be independently tuned to a value of -3.13 mVK-1 by adjusting the ion diffusivity via MXene (Ti3C2Tx). The i-TE system demonstrates a rapid response time of less than 100 s, outperforming any other polyelectrolyte-based system. Crucially, the i-TE system achieves continuous current output when equipped with copper electrodes, facilitated by the redox reaction involving Cu/Cu2+, and maintains stable long-term outputs across a range of resistances from 1 k Omega to 1 M Omega. A three-serial-connected i-TE module demonstrates an output voltage of 26 mV with 6 degrees C temperature difference, confirming the feasibility of creating an array of i-TE devices for substantial energy output. Beyond energy harvesting, the MXene/PVA hydrogel serves as multifunctional strain/temperature sensors, capable of detecting mechanical strains via the piezoresistive effect and locating finger contact points via the ionic thermoelectric effect.",MXene/PVA hydrogel ionic thermoelectric system with Cu2+/Cl- ions and copper electrodes,MXene (Ti3C2Tx) tunes ion diffusivity for negative thermopower; Cu/Cu2+ redox reaction at copper electrodes enables continuous current output,iTE1,iTE,iTE1_0027,source_tables/iTE1_first1000_material_mechanism.csv,29,P0267,TG,removed_from_iTE_retained_in_TG,TG_0266
Thermal potential induced redox reaction enabled ionic thermoelectric generator,NANO ENERGY,10.1016/j.nanoen.2025.111648,2026,"We report an ionic thermoelectric generator (iTEG) capable of delivering continuous power and large thermal voltages under a temperature gradient. Unlike conventional thermogalvanic cells, the current in our system arises from a reversible redox reaction driven by ionic thermodiffusion-induced thermal potentials. By systematically studying electrolytes with varying thermoelectric properties, we identified that self-assembled polyethylene glycol (PEG) clusters, stabilized by alkoxide end groups, are key to enable the output current. The iTEG achieved a maximum power density of 4.2 mW m-2 with an output voltage of 100 mV under a 20 K temperature difference. These findings establish a new design principle for ionic thermoelectric devices and provide insights into charge transfer process and redox reactions at electrode interfaces, with implications for energy technologies such as ion batteries and related electrochemical systems.",ionic thermoelectric generator with self-assembled polyethylene glycol (PEG) clusters stabilized by alkoxide end groups,ionic thermodiffusion-induced thermal potentials drive reversible redox reactions; PEG clusters enable output current and charge transfer at electrode interfaces,iTE1,iTE,iTE1_0038,source_tables/iTE1_first1000_material_mechanism.csv,40,P0175,TG,removed_from_iTE_retained_in_TG,TG_0174
High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,MATERIALS TODAY ENERGY,10.1016/j.mtener.2023.101342,2023,"The recovery of low-level thermal energy, the conversion of solar thermal energy and the reuse of human thermal energy determine that thermoelectric materials are extremely attractive in terms of energy conversion and reuse. In recent years, as candidate materials for green energy conversion, ionic ther-moelectric materials have gradually become research hotspots due to their excellent thermoelectric conversion performance, cost-effective energy efficiency and eco-friendliness. Although ionic thermo-electric materials and devices have developed rapidly in recent years, there are still gaps in the detailed summary of material performance optimization measures and device application scenarios. Therefore, this review compares and summarizes the performance of ionic thermoelectric materials and related influencing factors. After that, the application of ionic thermoelectric materials and the assembly of their devices are highlighted. Finally, the prospects for future development trends are put forward as well as the suggestions of related research efforts are presented.& COPY; 2023 Elsevier Ltd. All rights reserved.",ionic thermoelectric materials and devices; review,summarizes factors governing ionic thermoelectric performance and device assembly; no single material mechanism is extracted,iTE1,iTE,iTE1_0053,source_tables/iTE1_first1000_material_mechanism.csv,55,P0274,TG,removed_from_iTE_retained_in_TG,TG_0273
Ionic thermoelectric materials for near ambient temperature energy harvesting,APPLIED PHYSICS LETTERS,10.1063/5.0032119,2021,"Ionic thermoelectric (i-TE) materials, using ions as the energy carrier, can generate a voltage under a temperature difference, bearing similarities to the Seebeck effect of electrons and holes in solid-state materials. Recent experiments have demonstrated large thermopower of quasi-solid-state i-TE materials, which are attractive for harvesting ambient heat as large enough voltage can be generated under a small temperature difference to match the voltage input needs of sensors for internet-of-things applications. In this perspective article, we discuss similarities and differences of i-TE materials from electronic-based thermoelectric materials and also different i-TE thermoelectric effects including the thermodiffusion (Soret) effect and the thermogalvanic effect, in which the latter includes redox reaction entropy and the Soret effect. Strategies to improve performances of materials and devices are elaborated, together with needs for future research in understanding microscopic origins of different effects.",quasi-solid-state ionic thermoelectric materials; perspective/review,compares thermodiffusion/Soret and thermogalvanic effects and summarizes performance-improvement strategies for near-ambient i-TE materials,iTE1,iTE,iTE1_0069,source_tables/iTE1_first1000_material_mechanism.csv,71,P0201,TG,removed_from_iTE_retained_in_TG,TG_0200
Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,ADVANCED SCIENCE,10.1002/advs.202509400,2025,"The development of ionic liquid gels (IL gels) with both high thermoelectric performance and mechanical flexibility is essential for advancing low-grade heat energy harvesting in next-generation flexible electronics and self-powered systems. Herein, a poly(methacrylic acid) (PMAA)-based IL gel is reported, fabricated via a solvent replacement strategy. By tailoring the synergistic coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups in the polymer network, the gel functions as a thermogalvanic electrolyte, and its voltage generation is driven by temperature-dependent redox reactions of Fe2+/Fe3+. The resulting gel demonstrates excellent thermoelectric stability over a broad temperature range, achieving a high ionic conductivity (sigma) of 13.45 Sm-1 and the Seebeck coefficient (Si) of -4.67 mVK-1. In situ Raman spectroscopy and low-field solid-state nuclear magnetic resonance (NMR) analysis reveal the directional migration behavior of Fe2+/Fe3+ ions under a thermal gradient and their dynamic coupling with polymer chain motion. Furthermore, a self-powered Morse-code communication system is developed using a machine learning (ML)-assisted framework. A logistic regression model achieved 100% accuracy on an independent test set, indicating a strict monotonic mapping between voltage signals and encoded characters. This work provides new insights into the molecular design and thermoelectric regulation mechanisms of flexible thermoelectric gel, paving the way for their practical application in wearable self-powered communication devices.",PMAA-based ionic-liquid gel with Fe2+/Fe3+ redox couples,coordination between Fe2+/Fe3+ and carboxyl groups forms thermogalvanic electrolyte; temperature-dependent Fe2+/Fe3+ redox reactions drive voltage,iTE1,iTE,iTE1_0077,source_tables/iTE1_first1000_material_mechanism.csv,79,P0142,TG,removed_from_iTE_retained_in_TG,TG_0141
