relation_id,paper_id,domain,subject_mention_id,object_mention_id,raw_predicate,assertion_type,direction,claim_id,quote,limitations,joint_factor_group,condition_annotation_status,semantic_review_status,graph_status,reconstruction_run_id,draft_subject_concept_id,draft_object_concept_id,original_self_loop,introduced_self_loop,deferred_endpoint,endpoint_changed,endpoint_semantically_consolidated,projection_status,relation_evidence_locator,scientific_relation_validated,run_id,judge_evidence_modality,judge_evidence_independence
iTE:P0334:r001,P0334,iTE,iTE:P0334:n1,iTE:P0334:n3,negatively associated with,association,subject_to_object_as_exported,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:856bbd1ec67de644bada,draft:v2:iTE:a5a8952bd5cf6d9878a4,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0334:r001,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0334:r002,P0334,iTE,iTE:P0334:n2,iTE:P0334:n3,negatively associated with,association,subject_to_object_as_exported,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:72e5daaf7f5c96d5c2a7,draft:v2:iTE:a5a8952bd5cf6d9878a4,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0334:r002,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0335:r001,P0335,iTE,iTE:P0335:n1,iTE:P0335:n2,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a6dcf25cb3fb327410e0,draft:v2:iTE:fafca429227d2fbee096,False,False,False,True,False,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0335:r001,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0335:r002,P0335,iTE,iTE:P0335:n1,iTE:P0335:n3,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a6dcf25cb3fb327410e0,draft:v2:iTE:a67ef5feb6acfc540341,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0335:r002,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0335:r003,P0335,iTE,iTE:P0335:n1,iTE:P0335:n4,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:a6dcf25cb3fb327410e0,draft:v2:iTE:9cc5f26cd66f7e979761,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0335:r003,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0337:r001,P0337,iTE,iTE:P0337:n1,iTE:P0337:n2,confines,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:9e8308a77114379613ff,draft:v2:iTE:fc9377a34350ade624f4,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0337:r001,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0337:r002,P0337,iTE,iTE:P0337:n2,iTE:P0337:n3,enhances,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:fc9377a34350ade624f4,draft:v2:iTE:d8b8e5879d601d112efb,False,False,False,True,False,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0337:r002,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0337:r003,P0337,iTE,iTE:P0337:n3,iTE:P0337:n4,boosts,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:d8b8e5879d601d112efb,draft:v2:iTE:a5a8952bd5cf6d9878a4,False,False,False,True,True,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0337:r003,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0338:r001,P0338,iTE,iTE:P0338:n1,iTE:P0338:n3,joint strategy supports,author_claim,subject_to_object_as_exported,iTE:P0338:claim_block,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两策略联合报告，二元边不代表已经验证各自独立贡献。没有给出完整离子迁移机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:ac8e6ad46e609cb1853e,draft:v2:iTE:68f6f59587445a10683c,False,False,False,True,False,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0338:r001,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
iTE:P0338:r002,P0338,iTE,iTE:P0338:n2,iTE:P0338:n3,joint strategy supports,author_claim,subject_to_object_as_exported,iTE:P0338:claim_block,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两策略联合报告，二元边不代表已经验证各自独立贡献。没有给出完整离子迁移机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18,draft:v2:iTE:1d24d70f1319181e8fd2,draft:v2:iTE:68f6f59587445a10683c,False,False,False,True,False,draft_projection_only,inputs/raw/relation_evidence.csv::relation_id=iTE:P0338:r002,False,normalization_draft:8b8928b254fa3bab0fef,not_reclassified,not_assessed
