raw_mention_id,class_id,paper_id,source_file,source_locator,quote,context,source_quote_start,source_quote_end
iTE:P0334:n3,iTE:P1958:n2,P0334,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0334:n3,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",0,227
iTE:P0336:n3,iTE:P1958:n2,P0336,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0336:n3,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.","This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",0,180
iTE:P0337:n4,iTE:P1958:n2,P0337,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0337:n4,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",0,381
iTE:P0344:n4,iTE:P1958:n2,P0344,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0344:n4,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.","The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",0,384
iTE:P0345:n3,iTE:P1958:n2,P0345,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0345:n3,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.","The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",0,170
iTE:P0350:n5,iTE:P1958:n2,P0350,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0350:n5,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.","To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",0,380
iTE:P0352:n3,iTE:P1958:n2,P0352,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0352:n3,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.","The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",0,176
iTE:P0360:n4,iTE:P1958:n2,P0360,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0360:n4,"As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.","As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.",0,290
iTE:P0362:n4,iTE:P1958:n2,P0362,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0362:n4,"The MD simulations reveal that divalent cations (Mg2+ and Zn2+) outperform monovalent cations (Li+ and Na+) in enhancing thermopower, exhibiting larger entropy changes and diffusivity differences at an X/EO ratio of 0.15.","The MD simulations reveal that divalent cations (Mg2+ and Zn2+) outperform monovalent cations (Li+ and Na+) in enhancing thermopower, exhibiting larger entropy changes and diffusivity differences at an X/EO ratio of 0.15.",0,221
iTE:P0364:n4,iTE:P1958:n2,P0364,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0364:n4,"The anionic polymer in the cation-selective hydrogel is attractive to sodium ions, while the cationic polymer in the anion-selective hydrogel is attractive to chloride ions. This regulates the thermal mobility of ions in the hydrogel without polymer modification or the addition of some additives, thus enhancing or changing the Seebeck coefficient (S).","The anionic polymer in the cation-selective hydrogel is attractive to sodium ions, while the cationic polymer in the anion-selective hydrogel is attractive to chloride ions. This regulates the thermal mobility of ions in the hydrogel without polymer modification or the addition of some additives, thus enhancing or changing the Seebeck coefficient (S).",0,353
iTE:P0369:n3,iTE:P1958:n2,P0369,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0369:n3,"The results show not only the porosity and pore connectivity, but also the higher specific surface area of cement matrix is an important parameter for improving the ionic Seebeck coefficient of cementitious materials. The finer pore distribution in the cement matrix will cause a larger thermoelectric voltage.","The results show not only the porosity and pore connectivity, but also the higher specific surface area of cement matrix is an important parameter for improving the ionic Seebeck coefficient of cementitious materials. The finer pore distribution in the cement matrix will cause a larger thermoelectric voltage.",0,310
iTE:P0379:n3,iTE:P1958:n2,P0379,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0379:n3,"The interactions between the ions and the hydrogel matrix promote the selective transport of conducting ionic ions, producing a high Seebeck coefficient of 11.53 mV K-1.","The interactions between the ions and the hydrogel matrix promote the selective transport of conducting ionic ions, producing a high Seebeck coefficient of 11.53 mV K-1.",0,169
iTE:P0385:n3,iTE:P1958:n2,P0385,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0385:n3,The high Seebeck coefficient (S = 14.5 +/- 0.5 mV K-1) of the V2O5 membrane (VO-M) is attributed to temperature gradient-induced unidirectional transport of protons through the percolated network of 2D nanofluidic channels.,The high Seebeck coefficient (S = 14.5 +/- 0.5 mV K-1) of the V2O5 membrane (VO-M) is attributed to temperature gradient-induced unidirectional transport of protons through the percolated network of 2D nanofluidic channels.,0,223
iTE:P0392:n4,iTE:P1958:n2,P0392,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0392:n4,"It is found that the thermo-diffusion of water boosts proton transport, playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side.","It is found that the thermo-diffusion of water boosts proton transport, playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side.",0,206
iTE:P0394:n2,iTE:P1958:n2,P0394,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0394:n2,"We derive the ionic Seebeck coefficient, Std, and the dimensionless ionic figure of merit, Z(td)T, from the view of field evolutions of temperature, voltage, and ionic concentration. Different from traditional knowledge, only ionic Eastman entropies determine Std, while ionic diffusion coefficients can only affect the speed of the voltage to reach the steady state.","We derive the ionic Seebeck coefficient, Std, and the dimensionless ionic figure of merit, Z(td)T, from the view of field evolutions of temperature, voltage, and ionic concentration. Different from traditional knowledge, only ionic Eastman entropies determine Std, while ionic diffusion coefficients can only affect the speed of the voltage to reach the steady state.",0,367
iTE:P0399:n2,iTE:P1958:n2,P0399,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0399:n2,"Thermoelectric materials are attracting attention for their ability to convert heat into electricity, traditionally assessed through a figure of merit (ZT) depending on the electrical conductivity, Seebeck coefficient, and thermal conductivity. Developing efficient ionic thermoelectric materials presents challenges as they cannot integrate directly into standard generators. However, they can utilize the ionic thermoelectric effect to charge supercapacitors. This study investigates lignin, an abundant plant-based waste, as a basis for ionic thermoelectric systems, combining sustainability and thermoelectric efficiently. Lignin-based hydrogels with varying compositions were examined for their thermoelectric properties, revealing gigantic ionic Seebeck coefficients of up to 30.4 mV K-1 and good conductivity, reaching 5.87 S m-1.","Seebeck coefficient, and thermal conductivity. Developing efficient ionic thermoelectric materials presents challenges as they cannot integrate directly into standard generators. However, they can utilize the ionic thermoelectric effect to charge supercapacitors. This study investigates lignin, an abundant plant-based waste, as a basis for ionic thermoelectric systems, combining sustainability and thermoelectric efficiently. Lignin-based hydrogels with varying compositions were examined for their thermoelectric properties, revealing gigantic ionic Seebeck coefficients of up to 30.4 mV K-1 and good conductivity, reaching 5.87 S m-1.",198,837
iTE:P0401:n4,iTE:P1958:n2,P0401,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0401:n4,"Recently, studies of ionic-thermoelectric hydrogels exhibit high thermopower (or Seebeck coefficient), but their raw materials are typically laced with strong alkalis or heavy metals, which makes them highly toxic and limits their potential applications. In order to enhance the thermopower in this study, we employed PEDOT:PSS as an n-type dopant in PAAm hydrogels to induce counterion condensation. This process immobilizes cations, thereby amplifying the ion-thermal migration rate disparity in the Soret effect and enhancing the thermopower.","Recently, studies of ionic-thermoelectric hydrogels exhibit high thermopower (or Seebeck coefficient), but their raw materials are typically laced with strong alkalis or heavy metals, which makes them highly toxic and limits their potential applications. In order to enhance the thermopower in this study, we employed PEDOT:PSS as an n-type dopant in PAAm hydrogels to induce counterion condensation. This process immobilizes cations, thereby amplifying the ion-thermal migration rate disparity in the Soret effect and enhancing the thermopower.",0,545
iTE:P0406:n3,iTE:P1958:n2,P0406,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0406:n3,"Ionic thermoelectric materials can generate extraordinarily high thermal voltage under small temperature differences due to their orders of magnitude larger Seebeck coefficient than that of electronic materials. Together with their low-cost, environmentally friendly compositions and solution processability, electrolytes have brought renewed prosperity in thermoelectric fields. Despite the rapid growing number of good-performance materials, yet to be implemented in devices, the main challenge is the understanding of the mechanism of the large Seebeck coefficient in practical electrolytes. Here, we show that the ion/polymer interaction in PEG based electrolytes does not only affect the mobility of the ions, but also has a great impact on the Seebeck coefficient.","Ionic thermoelectric materials can generate extraordinarily high thermal voltage under small temperature differences due to their orders of magnitude larger Seebeck coefficient than that of electronic materials. Together with their low-cost, environmentally friendly compositions and solution processability, electrolytes have brought renewed prosperity in thermoelectric fields. Despite the rapid growing number of good-performance materials, yet to be implemented in devices, the main challenge is the understanding of the mechanism of the large Seebeck coefficient in practical electrolytes. Here, we show that",0,613
iTE:P0408:n5,iTE:P1958:n2,P0408,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0408:n5,"Based on thermal diffusion, owing to the ion size difference, the covalent cross-linked polymer network and the electrode-dependent effect promote rapid transport of the cations and boost ion concentration difference, resulting in a huge ionic Seebeck coefficient of 19.02 mV K- 1.","Based on thermal diffusion, owing to the ion size difference, the covalent cross-linked polymer network and the electrode-dependent effect promote rapid transport of the cations and boost ion concentration difference, resulting in a huge ionic Seebeck coefficient of 19.02 mV K- 1.",0,281
