claim_id,paper_id,domain,quote,quote_start_char,quote_end_char,quote_location_status,evidence_scope,limitations,txt_record_index,txt_header_line,raw_record_sha256,semantic_review_status,reconstruction_run_id
iTE:P0334:claim_block,P0334,iTE,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",665,892,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",1,43,dc78f94dfcff1d0b0f06168576098d9458e6f53266a68f5a12e1cced6bc62e50,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0335:claim_block,P0335,iTE,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",587,791,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",2,56,ef6ab2a86f22a5351ceecee8dff52313a0aededae4e13d4a918cab9eba6fa94c,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0336:claim_block,P0336,iTE,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",983,1163,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 双重相互作用需回看上文配位／疏水作用；不能仅凭此句细化对象或补出传递熵。",3,71,59a0e24200ae180b05f93c46dc6b511674a5e8d484cad1253a30130cbd6ff478,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0337:claim_block,P0337,iTE,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",358,739,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",4,84,4379d7128e0891dc6a74fda08180363c47b6f31281962a409a428f2385273430,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0338:claim_block,P0338,iTE,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",265,532,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两策略联合报告，二元边不代表已经验证各自独立贡献。没有给出完整离子迁移机制。",5,99,59fd52ef137d14d62ca2df986fc7994f99e52a9354728cf2f96d453882258bc1,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0339:claim_block,P0339,iTE,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",451,637,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. ion entropy difference 不能自动归成 reaction entropy 或 Eastman entropy。",6,112,ba3eec3250be9c2e36642c5f35ecd508a20246c0b63e2e5a2e7deb1fa64e3d8a,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0340:claim_block,P0340,iTE,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",747,919,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 这是光热环节，不据此补离子／氧化还原微观机制。",7,127,67762e4c6f4b862beac90ef0b8fa82f127a63039320264dd9169d24b9a76d09f,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0341:claim_block,P0341,iTE,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",1184,1427,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键在这句支撑机械／自愈性能，不连到 Seebeck。",8,140,e5081dd7ecfd5414fc460e0d2abbf79bf4c69b03b8b2c2a849c9982aacff2758,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0342:claim_block,P0342,iTE,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",436,678,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要未在此指定冠醚络合对象；不按题名补成某个阳离子被固定。",9,153,d224aef64fcf389d6cb6672fb736ef149408e270be10d9f45bc9f872b2745254,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0343:claim_block,P0343,iTE,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",211,416,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 OH-、冷端和温度梯度；有条件的报道不作为普遍规律。",10,166,366c2263fe717c8cef4ff707673f1cf7bd7ae52caf59dd5a6dc2d7cebc9a16a7,not_reviewed,txt_reconstruction_v1_19f1c2edac18
