candidate_id,path_scope,path_state,graph_eligible,scientific_claim_status,shared_global_concept_id,shared_label,shared_category,source_shared_label_matches_registry,source_shared_category_matches_registry,shared_layer_labels_match,shared_layer_categories_match,ite_shared_layer_node_id,tg_shared_layer_node_id,alignment_id,alignment_state,ite_pair_id,ite_pair_edge_status,ite_other_global_concept_id,ite_other_label,ite_other_category,source_ite_other_label_matches_registry,source_ite_other_category_matches_registry,ite_other_layer_node_id,ite_pair_paper_count,ite_pair_sentence_count,source_ite_pair_paper_count_matches_pair_bank,source_ite_pair_sentence_count_matches_pair_bank,ite_strict_relation_ids,source_ite_strict_relation_ids_match_pair_bank,ite_semantic_relation_review_status,source_ite_semantic_review_status_matches_recomputed,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_edge_status,tg_other_global_concept_id,tg_other_label,tg_other_category,source_tg_other_label_matches_registry,source_tg_other_category_matches_registry,tg_other_layer_node_id,tg_pair_paper_count,tg_pair_sentence_count,source_tg_pair_paper_count_matches_pair_bank,source_tg_pair_sentence_count_matches_pair_bank,tg_strict_relation_ids,source_tg_strict_relation_ids_match_pair_bank,tg_semantic_relation_review_status,source_tg_semantic_review_status_matches_recomputed,tg_authoritative_provenance_fk,evidence_tier,base_evidence_grade,base_evidence_grade_order,source_base_evidence_grade_matches_recomputed,source_base_evidence_grade_order_matches_recomputed,evidence_grade,evidence_grade_order,source_reviewed_evidence_grade_matches_recomputed,source_reviewed_evidence_grade_order_matches_recomputed,grade_namespace,grade_basis,minimum_pair_paper_count,minimum_pair_sentence_count,source_minimum_pair_paper_count_matches_recomputed,source_minimum_pair_sentence_count_matches_recomputed,source_closure_group_id,source_cross_endpoint_pair_key,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,source_cross_endpoint_status_in_iTE,source_cross_endpoint_status_in_TG,source_cross_endpoint_status_in_iTE_matches_recomputed,source_cross_endpoint_status_in_TG_matches_recomputed,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,candidate_interpretation,shared_node_release_status,cross_endpoint_edge_state,review_selected,review_queue_order,review_selection_reason,selection_policy_id
TC_6b6af2caadc5,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,True,LN_48242c0aa84a,LN_273c9e5c97c9,AL_fe12338eefc3,exact_identity_not_scientific_relation,IP_e121590ef3d9,semantic_accepted_human_pending,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,LN_44bf675ae30c,1,1,True,True,AR_1e288c2fdddd,True,direct_sentence_relation_accepted,True,IP_e121590ef3d9,TP_671a0fd969af,semantic_accepted_human_pending,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,True,True,LN_a242c5999247,1,1,True,True,AR_9ff4ef61c8a8,True,direct_sentence_relation_accepted,True,TP_671a0fd969af,A_dual_strict_syntax_candidates,G2_dual_strict_syntax_candidates,1,True,True,R2_dual_direct_sentence_relations,1,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_96817e7a88e6,GC_3c432d56645d::GC_6624fb8cc64b,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,1,retain_all_dual_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_0eccf425499a,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,True,LN_7cda85ecc3b3,LN_0d8c4143b2d7,AL_52a83f5558f0,exact_identity_not_scientific_relation,IP_99e18ee308b7,semantic_accepted_human_pending,GC_7320e2b5d0b7,regulation,mechanism_or_process,True,True,LN_a845722623b9,1,1,True,True,AR_fed57ee4bc13,True,direct_sentence_relation_accepted,True,IP_99e18ee308b7,TP_4327b8c1c944,same_sentence_cooccurrence_only,GC_41374fb28f21,redox ion,material_or_structure,True,True,LN_235359c120ea,1,1,True,True,,True,cooccurrence_only,True,TP_4327b8c1c944,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_16c334e403d6,GC_41374fb28f21::GC_7320e2b5d0b7,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_8ae06663a1e8,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,True,LN_bf4e9da77575,LN_439da2bda163,AL_8c7553b41d6f,exact_identity_not_scientific_relation,IP_6a7a108d8704,same_sentence_cooccurrence_only,GC_2d2e2de4f537,coulombic interaction,mechanism_or_process,True,True,LN_2b2b7cce6be3,1,1,True,True,,True,cooccurrence_only,True,IP_6a7a108d8704,TP_46ec6d90fab8,semantic_accepted_human_pending,GC_bc536166f47d,ionic conductivity,outcome_or_property,True,True,LN_59643f29af8f,1,1,True,True,AR_e1bc1081eee2,True,direct_sentence_relation_accepted,True,TP_46ec6d90fab8,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_725137547b0b,GC_2d2e2de4f537::GC_bc536166f47d,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,3,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_f62b7feaf99e,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,True,True,LN_44bf675ae30c,LN_9a30ad89af86,AL_d89165662d4d,exact_identity_not_scientific_relation,IP_e121590ef3d9,semantic_accepted_human_pending,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,LN_48242c0aa84a,1,1,True,True,AR_1e288c2fdddd,True,direct_sentence_relation_accepted,True,IP_e121590ef3d9,TP_6febc60dcd6c,same_sentence_cooccurrence_only,GC_c5e29ae688a6,investigate power,outcome_or_property,True,True,LN_b7cf29bf095b,1,1,True,True,,True,cooccurrence_only,True,TP_6febc60dcd6c,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_edf352a568c2,GC_c5e29ae688a6::GC_cf402379d512,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,4,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_2ab1afc9d252,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,True,LN_6b8cc44fec86,LN_ce78e7c63303,AL_c9e8a8b9c210,exact_identity_not_scientific_relation,IP_c4feef01a10e,semantic_rejected_cooccurrence_retained,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,True,True,LN_bdb8566d0901,1,1,True,True,AR_cc07e8ae6672,True,machine_relation_rejected_retain_cooccurrence_only,True,IP_c4feef01a10e,TP_ad71e2c1bc9c,same_sentence_cooccurrence_only,GC_f7553cd07f36,hydrogel electrolyte,material_or_structure,True,True,LN_2c5e4280419c,3,6,True,True,,True,cooccurrence_only,True,TP_ad71e2c1bc9c,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R0_cooccurrence_only_or_rejected,3,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_1d8e13aed0e0,GC_f2bba15c8a15::GC_f7553cd07f36,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,5,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_f6d89618735d,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,True,LN_4b92fed2a0dd,LN_32b3af464493,AL_17ba6ab63928,exact_identity_not_scientific_relation,IP_8836d6fae355,semantic_accepted_human_pending,GC_96687fd1b877,anion adsorption,mechanism_or_process,True,True,LN_e6d41c823d5d,1,1,True,True,AR_d20ee0d670a0,True,direct_sentence_relation_accepted,True,IP_8836d6fae355,TP_30855e8e1d19,same_sentence_cooccurrence_only,GC_ebea89cc3918,kcl induced complexation,mechanism_or_process,True,True,LN_19e3ab5c1c0d,1,1,True,True,,True,cooccurrence_only,True,TP_30855e8e1d19,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_4d2beaf70962,GC_96687fd1b877::GC_ebea89cc3918,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,6,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_d0a0a1002ef9,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,True,LN_4af4b913d1d9,LN_f9483b4847c0,AL_79840eba8d44,exact_identity_not_scientific_relation,IP_74c7586b48eb,semantic_accepted_human_pending,GC_05203ac208f7,host guest complexation,mechanism_or_process,True,True,LN_7ab487182a50,1,1,True,True,AR_281e7aa7d45f,True,direct_sentence_relation_accepted,True,IP_74c7586b48eb,TP_13732954fa1b,same_sentence_cooccurrence_only,GC_8335aa66a8d7,single solvent,material_or_structure,True,True,LN_535682ce224f,1,1,True,True,,True,cooccurrence_only,True,TP_13732954fa1b,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_45480ab47ed5,GC_05203ac208f7::GC_8335aa66a8d7,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,7,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_e42d3f23d772,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_a8e6012e4ab8,transport,mechanism_or_process,True,True,True,True,LN_1a86a9a998d2,LN_c2c8148bd99a,AL_df05a6069d27,exact_identity_not_scientific_relation,IP_ebba339631c0,semantic_rejected_cooccurrence_retained,GC_7c230545ba0f,zn2+-cellulose,literal_formula,True,True,LN_94e203b55b94,1,1,True,True,AR_08204431f286,True,machine_relation_rejected_retain_cooccurrence_only,True,IP_ebba339631c0,TP_03e13f456596,same_sentence_cooccurrence_only,GC_5a4b62ab7660,transport coefficient,outcome_or_property,True,True,LN_894ee327588d,1,1,True,True,,True,cooccurrence_only,True,TP_03e13f456596,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R0_cooccurrence_only_or_rejected,3,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_00dc3c3d0a4b,GC_5a4b62ab7660::GC_7c230545ba0f,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,8,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_efae2fdc2182,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,True,LN_48242c0aa84a,LN_273c9e5c97c9,AL_fe12338eefc3,exact_identity_not_scientific_relation,IP_e121590ef3d9,semantic_accepted_human_pending,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,LN_44bf675ae30c,1,1,True,True,AR_1e288c2fdddd,True,direct_sentence_relation_accepted,True,IP_e121590ef3d9,TP_66726162657b,same_sentence_cooccurrence_only,GC_41374fb28f21,redox ion,material_or_structure,True,True,LN_235359c120ea,2,2,True,True,,True,cooccurrence_only,True,TP_66726162657b,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R1_single_direct_sentence_relation,2,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_c8a95dcf5002,GC_3c432d56645d::GC_41374fb28f21,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,9,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
TC_a9d4215cfe50,focus_endpoint_pass,retrieval_only,False,retrieval_candidate_only,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,True,LN_942c8fffcbe6,LN_0f6d9cc28a72,AL_224ce7bcbf3c,exact_identity_not_scientific_relation,IP_ce8e1246423f,same_sentence_cooccurrence_only,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,True,True,LN_62e98998afef,4,4,True,True,,True,cooccurrence_only,True,IP_ce8e1246423f,TP_7512f79881c6,semantic_rejected_cooccurrence_retained,GC_a51be089433c,maxsorb electrode,material_or_structure,True,True,LN_4cf61ff0abe3,1,1,True,True,AR_72c9bb1fbf6d,True,machine_relation_rejected_retain_cooccurrence_only,True,TP_7512f79881c6,B_single_strict_syntax_candidate,G1_single_strict_syntax_candidate,2,True,True,R0_cooccurrence_only_or_rejected,3,True,True,R_independent_AI_sentence_semantic_review,two_independent_AI_sentence_reviews_human_confirmation_pending,1,1,True,True,CL_b9eecf2c2ac0,GC_6cdb23f33c74::GC_a51be089433c,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,True,True,pending,untested,not_tested,not_assessed,False,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,eligible,not_created,True,10,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node
