pair_id,left_mention_id,right_mention_id,left_label,right_label,judge_decision,judge_reason,review_mode,dsh_reason,left_evidence,right_evidence,source_locator,merge_applied
pair:9be6acdc969ff342988a,TG:P0003:n3,TG:P0285:n3,ISC value increase,S-e,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,原文未给出 ISC 的展开或定义，无法确认它是塞贝克系数（S-e）还是其他性能量，名称歧义导致无法可靠判定。,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","High-power TECs require an electrolyte solution that exhibits both high Seebeck coefficient (S-e) and high ionic conductivity; thus far, this has been a challenge. Recently, we demonstrated that proper selection of the counter anion of Fe(III)/(II) salts can resolve the aforementioned issue, that n-type (positive S-e) TECs employing the Fe(III)/(II) perchlorate redox couple display unprecedented high areal power densities compared to TECs employing Fe(III)/(II) chloride or Fe(III)/(II) sulfate couple. Herein, we unravel that the excellent performance of the Fe(III)/(II) perchlorate is ascribed to the non-coordinating nature of its perchlorate anion, which suppresses the formation of the ion pairs that reduce the S-e and ionic conductivity.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:9be6acdc969ff342988a,False
pair:b5cb28747c15db61090b,TG:P0006:n3,TG:P0269:n3,ion-transport highway,hinder crack propagation,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为离子传输通道结构，右侧为抑制裂纹扩展的力学过程，两侧原文未提供相互关联或同义的依据。,the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength,"hinder crack propagation, thus breaking the contradiction between high toughness and good elasticity",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:b5cb28747c15db61090b,False
pair:05f55767116b96c242aa,TG:P0006:n4,TG:P0027:n2,eta(r),ioninduced crystallization,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,eta(r) 在原文中无定义，无法确定其与离子诱导结晶这一过程之间是何种语义联系，证据不足。,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,"Moreover, guanidium chloride (GdmCl) salts are directly introduced into the TGCs to enhance the Seebeck coefficient via ioninduced crystallization in the p-type FeCN 6 3 - /FeCN 6 4 - redox system.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:05f55767116b96c242aa,False
pair:8067ef0b4cf4556f2f5a,TG:P0006:n4,TG:P0045:n4,eta(r),thermoelectric performance,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,原文只出现 eta(r) 这一符号，未说明其定义或与热电性能的对应关系，无法判定它是性能指标的具体形式还是其他量。,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,"The thermoelectric performance of the proposed hydrogel is highly dependent on the ion concentration, which is attributed to the confined ion transportation in micro/nano channels caused by the salting out effect.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:8067ef0b4cf4556f2f5a,False
pair:f0a0f8c5e0336fa3ea27,TG:P0006:n4,TG:P0269:n3,eta(r),hinder crack propagation,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧 eta(r) 是能量转换效率性能量，右侧是抑制裂纹扩展的机制过程，原文未建立二者关联，无法判定关系。,boost eta(r) and improve mechanical strength,"hinder crack propagation, thus breaking the contradiction between high toughness and good elasticity",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:f0a0f8c5e0336fa3ea27,False
pair:3223c9211d1bf3edd83c,TG:P0006:n5,TG:P0141:n2,mechanical strength,performance,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,右侧仅称 performance，未限定为热电性能还是泛指性能，无法可靠判断与 mechanical strength 的上下位或同义关系。,mechanical strength,performance,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:3223c9211d1bf3edd83c,False
pair:eac8a8bd6d391d2f6017,TG:P0011:n2,TG:P0035:n1,movement of redox pairs,MC,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,右侧仅以缩写 MC 指代某材料实体，原文未给出其展开或与“氧化还原对迁移”的任何显式语义关联，无法可靠判定关系。,"This approach facilitates the movement of redox pairs, therefore increasing the power density output.","The MC facilitates continuous redox species concentration gradients near the electrodes through in situ redox reactions, significantly boosting thermoelectric voltage.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:eac8a8bd6d391d2f6017,False
pair:e03ab8feac0c93089b62,TG:P0017:n1,TG:P0157:n1,hydrogen bonding between solvent molecules,hydrogel,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,右侧原文只描述水凝胶的功能，未提及溶剂分子或氢键，缺少判定二者语义关系的证据。,"Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days",The hydrogel enables real-time thermochromic visualization and active thermoelectric sensing of body temperature,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:e03ab8feac0c93089b62,False
pair:f16a87f2aacd7deb8993,TG:P0025:n5,TG:P0084:n4,stabilizer for water,transport pathways for anions,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分别来自不同论文，一为水稳定剂角色、一为层状双氢氧化物新增的阴离子传输通道，原文未给出二者同义或直接机制关联的证据。,FA acts as a stabilizer for water,creating additional transport pathways for anions,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:f16a87f2aacd7deb8993,False
pair:8ed5c177694fabf597fc,TG:P0026:n1,TG:P0290:n1,temperature and pH,iron oxidation in the ferrocene structure,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分别属不同体系的调控条件与二茂铁中铁的氧化过程，原文均未提及对方，缺乏可判定关系的证据。,"As the temperature and pH coregulating Fe3+ concentration and reversible transformation between Fe3+ and Fe(OH)3, we boost thermopower and realize thermochromism.",Vibration magnetometric analysis revealed the fact of iron oxidation in the ferrocene structure with the formation of ferromagnetic iron compounds.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:8ed5c177694fabf597fc,False
