entry_id,paper_id,year,title,doi,role,text,x,y
TG_0000_material,TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,material,Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing,15.688057,4.8926134
TG_0000_mechanism,TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,mechanism,"wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",12.275656,1.6907297
TG_0001_material,TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,material,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system",15.476582,4.705834
TG_0001_mechanism,TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling,15.462556,1.6364512
TG_0002_material,TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,material,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator,15.691553,4.686266
TG_0002_mechanism,TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,13.668164,2.620083
TG_0003_material,TG_0003,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,material,Li+(H2O)n thermogalvanic hydrogel,14.947855,5.553885
TG_0003_mechanism,TG_0003,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,mechanism,Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,11.201574,1.8462473
TG_0004_material,TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,material,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure,14.803954,2.363687
TG_0004_mechanism,TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,mechanism,chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,14.734145,2.072248
TG_0005_material,TG_0005,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,material,flexible thermogalvanic armor with ion-transport highway,14.310533,2.917781
