paper_id,year,source_membership,canonical_concept,evidence_field,evidence_text,decision,rationale,mapping_status
P0016,2025,TG,ferri/ferrocyanide redox chemistry,abstract," material identification. In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the ",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,added_core
P0020,2025,iTE|TG,ferri/ferrocyanide family,abstract,"redox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change ",background_comparison,The studied couple is Ni(bpy)3; Fe(CN)6 is only the canonical benchmark.,not_added
P0020,2025,iTE|TG,ferri/ferrocyanide redox chemistry,abstract,"edox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change in electrical performance. Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower. This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",background_comparison,The studied couple is Ni(bpy)3; Fe(CN)6 is only the canonical benchmark.,not_added
P0023,2025,iTE|TG,ferri/ferrocyanide redox chemistry,abstract,"tudy rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH). Subsequently, the water re",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0031,2025,TG,ferri/ferrocyanide redox chemistry,abstract,"pplications. In this study, we present a graphene oxide (GO)-enhanced thermogalvanic hydrogel with [Fe(CN)6]4-/3-redox couple and guanidine hydrochloride (GdmCl). GO serves as a nucleation template by adsorbing guanidinium ions, thereby inducing the crystall",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0043,2023,TG,ferri/ferrocyanide redox chemistry,abstract,"c patients. Herein, we introduced a thermogalvanic interpenetrating network hydrogel (TGIPNH) with [Fe(CN)6]3-/[Fe(CN)6]4- as a redox pair and KCl as a ion provider for thermodiffusion, which not only has good flexibility but also prominent thermoelectric property with the",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,added_core
P0048,2023,TG,ferri/ferrocyanide redox chemistry,abstract,si-solid thermogalvanic cell is reported based on natural polymer bacterial cellulose confined with Fe(CN)63- /4-redox couple and hygroscopic salts. The as-fabricated bacterial cellulose -based thermogalvanic cell (BC-TGC) possesses excellent mechanical prop,core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0056,2023,TG,ferri/ferrocyanide redox chemistry,abstract,"application. Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber. Because of the tempera",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0061,2022,TG,ferri/ferrocyanide redox chemistry,abstract,"ations. Herein, a dual-network poly(vinyl alcohol)/gelatin (PVA/GEL) gel thermogalvanic device with Fe(CN)6 3-/4- as a redox pair is developed, with an outstanding low-temperature durability and antidrying capacity. These features result from the use of a binary H",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0083,2026,TG,ferri/ferrocyanide redox chemistry,abstract,"ith a double-network poly(vinyl alcohol) (PVA)/gelatin hydrogel containing the ferro-/ferricyanide (Fe(CN)6 3-/4-) redox couple. Compared to the pristine CC, all of the modified electrodes exhibit markedly enhanced current densities due to enlarged electroacti",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0084,2026,TG,ferri/ferrocyanide redox chemistry,abstract,"ydrogel exhibits an elongation at break exceeding 1700%. Meanwhile, ZnAl-LDH selectively binds with Fe(CN)64-, increasing the entropy difference of the [Fe(CN)6]3-/4-redox couple in water-methanol mixtures and creating additional transport pathways for anions. As a result, the ZnAl-LDH based TGC hydrogel demon",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
