lever_code,lever_label_cn,any_tg,cobalt_complex,copper,fe_ii_iii,ferri_ferrocyanide,iodide_triiodide,quinone_hydroquinone
anion_entanglement,阴离子缠结,0,0,0,1,0,0,0
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,0,1,0,0,0,0,0
coordination_or_ion_pairing,配位/离子对,0,0,1,0,0,0,0
counterion_condensation,Manning 反离子凝聚,0,0,0,0,1,0,0
electrode_interface,电极界面,0,0,0,0,0,0,0
fixed_charge_selectivity,固定电荷/离子选择性,0,0,0,0,1,1,0
host_guest_complexation,主–客体络合,0,0,0,0,1,1,0
hydration_and_solvation,水合与溶剂化,0,0,0,0,0,0,0
hydrophobic_partitioning,疏水微区分配,0,0,0,0,0,1,0
ion_electron_coupling,离子–电子耦合,0,0,0,1,0,0,0
moisture_or_evaporation_gradient,湿度/蒸发梯度,1,0,0,0,0,0,0
multi_ion_entropy,多离子/高熵调控,0,0,0,0,0,0,0
ordered_ion_printing,有序离子打印,0,0,0,0,1,0,0
oriented_or_confined_channels,取向/限域离子通道,0,0,0,0,1,0,0
osmotic_or_concentration_gradient,渗透/浓度梯度,0,0,0,0,1,0,0
ph_or_protonation_switch,pH/质子化开关,0,0,0,0,0,0,1
phase_or_species_transition,相变/物种转变,0,0,0,0,0,1,0
photothermal_or_heat_management,光热/热管理,0,0,0,0,0,0,0
polarity_switching,热电极性切换,0,0,0,0,0,1,0
pyroelectric_hybrid,热释电混合,1,0,0,0,0,0,0
self_healing_or_tough_gel,自修复/强韧凝胶,0,0,0,0,0,0,0
thermodiffusion_or_soret,热扩散/Soret,0,0,0,0,0,0,0
thermoosmotic_slip,热渗透与滑移增强,0,0,0,0,1,0,0
water_assisted_proton_transport,水辅助质子输运,0,0,0,0,0,0,1
