relation_id,paper_id,domain,subject_mention_id,object_mention_id,raw_predicate,assertion_type,direction,claim_id,quote,limitations,joint_factor_group,condition_annotation_status,semantic_review_status,graph_status,reconstruction_run_id
iTE:P0334:r001,P0334,iTE,iTE:P0334:n1,iTE:P0334:n3,negatively associated with,association,subject_to_object_as_exported,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0334:r002,P0334,iTE,iTE:P0334:n2,iTE:P0334:n3,negatively associated with,association,subject_to_object_as_exported,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0335:r001,P0335,iTE,iTE:P0335:n1,iTE:P0335:n2,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0335:r002,P0335,iTE,iTE:P0335:n1,iTE:P0335:n3,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0335:r003,P0335,iTE,iTE:P0335:n1,iTE:P0335:n4,improves,author_claim,subject_to_object_as_exported,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0336:r001,P0336,iTE,iTE:P0336:n1,iTE:P0336:n2,enhances,author_claim,subject_to_object_as_exported,iTE:P0336:claim_block,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 双重相互作用需回看上文配位／疏水作用；不能仅凭此句细化对象或补出传递熵。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0336:r002,P0336,iTE,iTE:P0336:n2,iTE:P0336:n3,enables,author_claim,subject_to_object_as_exported,iTE:P0336:claim_block,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 双重相互作用需回看上文配位／疏水作用；不能仅凭此句细化对象或补出传递熵。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0337:r001,P0337,iTE,iTE:P0337:n1,iTE:P0337:n2,confines,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0337:r002,P0337,iTE,iTE:P0337:n2,iTE:P0337:n3,enhances,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0337:r003,P0337,iTE,iTE:P0337:n3,iTE:P0337:n4,boosts,author_claim,subject_to_object_as_exported,iTE:P0337:claim_block,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
