qualifier_id,relation_id,paper_id,kind,mention_ids,exact_evidence,evidence_start_in_quote,interpretation,status
qualifier_v2_001,iTE:P0354:r001,P0354,joint_factors,iTE:P0354:n1;iTE:P0354:n2;iTE:P0354:n3;iTE:P0354:n4,"the low crystalline structure and the improvement in ions dissociation, migration, and diffusion difference",56,四个因素共同归因，不计算各自独立贡献。,model_proposed_pending_human
qualifier_v2_001,iTE:P0354:r002,P0354,joint_factors,iTE:P0354:n1;iTE:P0354:n2;iTE:P0354:n3;iTE:P0354:n4,"the low crystalline structure and the improvement in ions dissociation, migration, and diffusion difference",56,四个因素共同归因，不计算各自独立贡献。,model_proposed_pending_human
qualifier_v2_001,iTE:P0354:r003,P0354,joint_factors,iTE:P0354:n1;iTE:P0354:n2;iTE:P0354:n3;iTE:P0354:n4,"the low crystalline structure and the improvement in ions dissociation, migration, and diffusion difference",56,四个因素共同归因，不计算各自独立贡献。,model_proposed_pending_human
qualifier_v2_001,iTE:P0354:r004,P0354,joint_factors,iTE:P0354:n1;iTE:P0354:n2;iTE:P0354:n3;iTE:P0354:n4,"the low crystalline structure and the improvement in ions dissociation, migration, and diffusion difference",56,四个因素共同归因，不计算各自独立贡献。,model_proposed_pending_human
qualifier_v2_002,iTE:P0356:r001,P0356,comparator,iTE:P0356:n1,representing a 697% improvement over the Cu-based counterpart,132,相对含铜对照体系的比较，不归因于单一 CMT 组分。,model_proposed_pending_human
qualifier_v2_003,iTE:P0357:r001,P0357,condition_change,iTE:P0357:n1,sodium chloride content increased from 0.67 wt% to 1.00 wt%,113,在指定含量变化范围内观察到极性转换。,model_proposed_pending_human
qualifier_v2_004,iTE:P0358:r001,P0358,joint_architecture,iTE:P0358:n1;iTE:P0358:n2;iTE:P0358:n3,integrated passive radiative cooling and synergized moisture-induced potential with thermoelectric voltage in vertical units,88,器件联合架构，三个因素不各自独立归因。,model_proposed_pending_human
qualifier_v2_004,iTE:P0358:r002,P0358,joint_architecture,iTE:P0358:n1;iTE:P0358:n2;iTE:P0358:n3,integrated passive radiative cooling and synergized moisture-induced potential with thermoelectric voltage in vertical units,88,器件联合架构，三个因素不各自独立归因。,model_proposed_pending_human
qualifier_v2_004,iTE:P0358:r003,P0358,joint_architecture,iTE:P0358:n1;iTE:P0358:n2;iTE:P0358:n3,integrated passive radiative cooling and synergized moisture-induced potential with thermoelectric voltage in vertical units,88,器件联合架构，三个因素不各自独立归因。,model_proposed_pending_human
qualifier_v2_005,iTE:P0360:r001,P0360,condition,iTE:P0360:n1,pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2,7,pH 与热流范围不能删除。,model_proposed_pending_human
qualifier_v2_005,iTE:P0360:r002,P0360,condition,iTE:P0360:n1,pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2,7,pH 与热流范围不能删除。,model_proposed_pending_human
qualifier_v2_005,iTE:P0360:r003,P0360,condition,iTE:P0360:n1,pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2,7,pH 与热流范围不能删除。,model_proposed_pending_human
qualifier_v2_006,iTE:P0360:r003,P0360,reported_invariance,iTE:P0360:n4,a stable ionic thermoelectric coefficient about 0.47 mV/K,180,这里报告稳定响应而非不存在热电效应。,model_proposed_pending_human
qualifier_v2_007,iTE:P0364:r001,P0364,system_scope,iTE:P0364:n1,anionic polymer in the cation-selective hydrogel,4,阳离子选择性体系。,model_proposed_pending_human
qualifier_v2_008,iTE:P0364:r002,P0364,system_scope,iTE:P0364:n2,cationic polymer in the anion-selective hydrogel,93,阴离子选择性体系，区别于上一条。,model_proposed_pending_human
qualifier_v2_009,iTE:P0367:r001,P0367,joint_factors,iTE:P0367:n1,coordination and electrostatic interactions between cations and functional groups,11,原节点本身包含两种联合相互作用。,model_proposed_pending_human
qualifier_v2_009,iTE:P0367:r002,P0367,joint_factors,iTE:P0367:n1,coordination and electrostatic interactions between cations and functional groups,11,原节点本身包含两种联合相互作用。,model_proposed_pending_human
qualifier_v2_010,iTE:P0372:r002,P0372,modality,iTE:P0372:n3,water loss may play a very important role,233,may 表示可能贡献。,model_proposed_pending_human
qualifier_v2_011,iTE:P0373:r001,P0373,proposal_condition,iTE:P0373:n1,was proposed to achieve cyclic power generation under a constant heat course only by switching the external electrodes,54,提出的运行策略，保留恒定热源条件。,model_proposed_pending_human
qualifier_v2_011,iTE:P0373:r002,P0373,proposal_condition,iTE:P0373:n1,was proposed to achieve cyclic power generation under a constant heat course only by switching the external electrodes,54,提出的运行策略，保留恒定热源条件。,model_proposed_pending_human
qualifier_v2_012,iTE:P0375:r001,P0375,joint_factors,iTE:P0375:n1;iTE:P0375:n2;iTE:P0375:n3,"controlling the ion carrier concentration, ion diffusion coefficient, and Eastman entropy",56,三个参数的联合控制，不分别归因全部性能。,model_proposed_pending_human
qualifier_v2_012,iTE:P0375:r002,P0375,joint_factors,iTE:P0375:n1;iTE:P0375:n2;iTE:P0375:n3,"controlling the ion carrier concentration, ion diffusion coefficient, and Eastman entropy",56,三个参数的联合控制，不分别归因全部性能。,model_proposed_pending_human
