program_left,program_left_title_cn,program_right,program_right_title_cn,relation_type,relation_evidence,interpretation
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,PRG_a4dbfa46d1fd,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,PRG_99097fe0f5e3,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,shared_TG_recipient_system,any_tg,explicit shared node; no composite similarity score
PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,PRG_3680dde71847,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,shared_TG_recipient_system,quinone_hydroquinone,explicit shared node; no composite similarity score
PRG_0d4cbb7dc34c,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,PRG_17b64f2815f3,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,shared_TG_recipient_system,fe_ii_iii,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_55d2dd45b552,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_88a7efad7dbd,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,PRG_be2befc69363,正对照：冠醚增强 K+ 热扩散，可与 ferri/ferrocyanide TG 电压叠加,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,PRG_a4dbfa46d1fd,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,shared_TG_recipient_system,iodide_triiodide,explicit shared node; no composite similarity score
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,PRG_55d2dd45b552,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,PRG_88a7efad7dbd,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,PRG_be2befc69363,正对照：冠醚增强 K+ 热扩散，可与 ferri/ferrocyanide TG 电压叠加,shared_TG_recipient_system,ferri_ferrocyanide,explicit shared node; no composite similarity score
