mention_id,paper_id,domain,raw_phrase,proposed_semantic_role,quote,evidence_scope,decision_source,annotation_status,human_decision,human_role,human_reason,review_flags,review_note
iTE:P0336:n2,P0336,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,quantity,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,完整摘要仅报告阴阳离子热泳差异增大，仍未定义比较的输运量；保留量类建议和定义缺口。
iTE:P0339:n3,P0339,iTE,redox reaction efficiency,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,全文分别报告反应效率与器件Seebeck和功率，但未定义redox reaction efficiency的分母；不能替代为器件转换效率。
iTE:P0342:n2,P0342,iTE,complexation,interaction,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,object_unresolved,完整摘要可确认冠醚用于络合，未指明络合对象；角色仍为相互作用，对象缺失继续保留。
iTE:P0350:n3,P0350,iTE,diffusion difference between cations and anions,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,阅读全文后仍无法区分扩散速率差、系数差或其他差异量，原短语不作细化。
TG:P0197:n4,P0197,TG,reducing the volume of thermally diffused ions,quantity,"The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,全文仍仅称减少热扩散离子的volume，未说明体积或数量定义；不能补成水合半径。
TG:P0275:n1,P0275,TG,interfacial effect of microstructure-electrolyte solution,interaction,The interfacial effect of microstructure-electrolyte solution can boost ionic reactions and transport processes at the microscale.,full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,完整摘要同时涉及界面电荷、溶剂化及传质，未把interfacial effect唯一归于一种作用；保留泛称和疑义。
TG:P0020:n1,P0020,TG,differences in hydration shell behavior between the oxidant and reductant,state_structure,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,role_boundary_review,全文把水合壳behavior差异联系构型熵，但没有排除其动力学部分；结构角色仍仅为暂定。
TG:P0258:n3,P0258,TG,ionic kinetics,mechanism_process,"During the mixing process of separate FeCl3 and FeCl2 electrolytes flow alone, it can significantly degrade the complexes of Fe(H2O)5Cl(2)(+), and thus increase ionic kinetics and redox solvation entropy induced by the interaction of Fe3+ and water molecules.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,完整摘要同时讨论反应动力学和离子输运，ionic kinetics的具体所指仍不唯一；不替换为速率常数。
TG:P0078:n3,P0078,TG,radial distribution of coordinating water molecules,quantity,"Complementary molecular dynamics simula-tions further demonstrate that hydrogel chains disturb the first solvation shell, broaden the radial distribution of coordinating water molecules, and increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,role_boundary_review,全文未明示径向分布是函数、宽度统计还是空间排列，量与结构边界仍需保留。
TG:P0082:n3,P0082,TG,resistance barrier,quantity,"Enhanced sensing is achieved through thermoelectric-mechanical coupling governed by interfacial resistance gating, wherein deformation reduces the resistance barrier and enhances the intrinsic thermoelectric current.",full_abstract_and_quote,role_review_v3.json,model_proposed_pending_human,,,,definition_unresolved,全文明确电阻门控语境，但未定义barrier是电阻还是势垒高度；不从器件电流反推其量纲。
