mention_id,paper_id,domain,raw_phrase,proposed_semantic_role,quote,evidence_scope,decision_source,annotation_status,human_decision,human_role,human_reason,review_flags,review_note
iTE:P0336:n2,P0336,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,quantity,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,摘要仍未定义热泳差异对应的具体量，保留量类建议但不改写为扩散系数差。
iTE:P0339:n3,P0339,iTE,redox reaction efficiency,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,redox reaction efficiency 未定义分母或计算方法，不能等同整体热电效率。
iTE:P0342:n2,P0342,iTE,complexation,interaction,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,object_unresolved,全文摘要仍未指明冠醚络合的具体离子，保留相互作用角色及对象缺失。
iTE:P0350:n3,P0350,iTE,diffusion difference between cations and anions,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,摘要没有把扩散差异定义成某种扩散系数差，维持原词和量类建议。
TG:P0197:n4,P0197,TG,reducing the volume of thermally diffused ions,quantity,"The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,全文仍未解释 volume 指离子何种体积或数量，不能补成溶剂化半径。
TG:P0275:n1,P0275,TG,interfacial effect of microstructure-electrolyte solution,interaction,The interfacial effect of microstructure-electrolyte solution can boost ionic reactions and transport processes at the microscale.,original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,interfacial effect 未说明具体相互作用或过程，保留作用类建议及定义缺口。
TG:P0020:n1,P0020,TG,differences in hydration shell behavior between the oxidant and reductant,state_structure,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,role_boundary_review,全文仍仅写水合壳行为差异，无法完全排除动力学含义，保留结构建议。
TG:P0258:n3,P0258,TG,ionic kinetics,mechanism_process,"During the mixing process of separate FeCl3 and FeCl2 electrolytes flow alone, it can significantly degrade the complexes of Fe(H2O)5Cl(2)(+), and thus increase ionic kinetics and redox solvation entropy induced by the interaction of Fe3+ and water molecules.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,ionic kinetics 指离子动力学，未指定速率量；由量类改为过程，具体含义仍需核实。
TG:P0078:n3,P0078,TG,radial distribution of coordinating water molecules,quantity,"Complementary molecular dynamics simula-tions further demonstrate that hydrogel chains disturb the first solvation shell, broaden the radial distribution of coordinating water molecules, and increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,role_boundary_review,径向分布可能指统计分布函数或空间排布，摘要没有明确函数定义，保留量类建议。
TG:P0082:n3,P0082,TG,resistance barrier,quantity,"Enhanced sensing is achieved through thermoelectric-mechanical coupling governed by interfacial resistance gating, wherein deformation reduces the resistance barrier and enhances the intrinsic thermoelectric current.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,电阻门控语境支持量类，但 resistance barrier 未明确是电阻值还是能量势垒。
TG:P0246:n6,P0246,TG,eutectic properties of DES,quantity,"The water containing DES is intentionally utilized to modulate the solvent shell structure of redox couple and expand the operation temperature range of i-TE eutectogel cell. Moreover, appropriate amount of water can increase the solubility of [Fe(CN)6]3-/4- , while maintaining the eutectic properties of DES.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,eutectic properties 未指明熔点等具体性质，也可能指保持共晶状态。
TG:P0113:n1,P0113,TG,conducting polymer thickness/multilayer,,The power generated by the PEDOT-Tos based TGCs increases with the conducting polymer thickness/multilayer and reaches values similar to the flat platinum electrode based TGCs.,full_abstract_and_quote,role_review_v2.json,unresolved_role_pending_review,,,,compound_mixed_roles,全文仍用 thickness/multilayer 合并厚度量与多层结构，无法可靠选单一角色。
TG:P0001:n1,P0001,TG,TGC dressing,,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.",full_abstract_and_quote,role_review_v2.json,unresolved_role_pending_review,,,,ontology_gap,摘要明确其为水凝胶构成的 TGC 功能敷料，节点指整个器件，不能直接替换成其材料组分。
TG:P0005:n1,P0005,TG,chaotropic effect,mechanism_process,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,只称 chaotropic effect，缺少具体机理说明；不将其与其他破坏氢键过程自动等同。
TG:P0012:n2,P0012,TG,active piezoresistivity,mechanism_process,"Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,role_boundary_review,摘要将 piezoresistivity 用于压阻调制机制；其字面也可指性质，保留过程建议与歧义。
TG:P0025:n7,P0025,TG,thermoelectric power,performance_function,"The results indicate that low FA concentrations promote the desolvation of redox ions, thereby accelerating the reaction kinetics and increasing the short-circuit current density. In addition, FA acts as a stabilizer for water, thereby lowering the activation energy of the redox reaction and resulting in a remarkable 60% improvement in overall thermoelectric power.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,仍未以单位明确 thermoelectric power 是输出功率还是热电势，保留性能角色但不做同义合并。
TG:P0036:n2,P0036,TG,extracting self-existent intrinsic temperature features,,"Using a concave-arranged TGH array, the characteristics of users can be distinguished adequately even under an open environment by extracting self-existent intrinsic temperature features from five typical sites of fingers.",original_quote_rechecked,role_review_v2.json,unresolved_role_pending_review,,,,ontology_gap,提取温度特征属于分析操作，现有十类未覆盖分析方法。
TG:P0037:n1,P0037,TG,thermogalvanic cells (TGCs),,"To improve energy efficiency, cost savings, environmental sustainability, and industrial practices, an effective approach is proposed to employ thermogalvanic cells (TGCs) for electric power generation by harvesting low-grade exhaust heat produced in AFCs.",original_quote_rechecked,role_review_v2.json,unresolved_role_pending_review,,,,ontology_gap,thermogalvanic cells 明确是完整电池器件。
TG:P0064:n1,P0064,TG,gel patch,,"Meanwhile, the gel patch possesses high responsivity on strain that can recognize the pulse beat at the wrist.",full_abstract_and_quote,role_review_v2.json,unresolved_role_pending_review,,,,ontology_gap_review,gel patch 是凝胶与电极封装成的完整传感装置，现有角色未覆盖器件。
iTE:P0354:n4,P0354,iTE,diffusion difference,quantity,"The enhanced i-TE performances are mainly attributed to the low crystalline structure and the improvement in ions dissociation, migration, and diffusion difference.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,,definition_unresolved,diffusion difference 未说明比较量或定义，不能直接改写为扩散系数差。
