program_id,program_rule_code,program_title_cn,candidate_status,positive_control,source_paper_id,source_year,source_title,source_doi,source_insight_id,source_claim,source_evidence_tier,source_evidence_level,source_hypothesis_lane,source_scope_route,rule_match_support_class,scope_caveat,evidence_edge_status,rule_match_verified,evidence_path_weight,source_lever_code,source_lever_cn,target_redox_family,target_redox_system_cn,source_paper_node,source_insight_node,source_lever_node,program_node,target_system_node,graph_path,path_semantics
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P0348,2025,Amine-functionalized lignin hydrogels for high-performance N-type ionic thermoelectric materials,10.1039/d4gc06542e,INSIGHT_26D6C5F1F3,cross-linking and amine functionalization transform lignin hydrogel from p-type to n-type; KCl infiltration provides high ionic conductivity and negative thermopower,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,STATIC_TYPE_CHANGE_NOT_REVERSIBLE_SWITCH: Static composition-driven p/n conversion.,accepted_with_scope_caveat,True,0.6,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P0348,insight:INSIGHT_26D6C5F1F3,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P0348 --reports--> insight:INSIGHT_26D6C5F1F3 --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P0357,2025,High-thermopower ionic thermoelectric hydrogels for low-grade heat harvesting and intelligent fire protection,10.1039/d5ta04718h,INSIGHT_15BC6EEC21,NaCl content tunes thermoelectric type from n-type to p-type,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,STATIC_TYPE_CHANGE_NOT_REVERSIBLE_SWITCH: Static salt-content p/n tuning.,accepted_with_scope_caveat,True,0.6,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P0357,insight:INSIGHT_15BC6EEC21,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P0357 --reports--> insight:INSIGHT_15BC6EEC21 --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P0373,2023,Reversible bipolar thermopower of ionic thermoelectric polymer composite for cyclic energy generation,10.1038/s41467-023-36018-w,INSIGHT_12F77ADB6E,switching electrodes alternates dominant cation/anion thermodiffusion for cyclic power generation,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,,accepted_claim_direct,True,1.0,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P0373,insight:INSIGHT_12F77ADB6E,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P0373 --reports--> insight:INSIGHT_12F77ADB6E --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P0373,2023,Reversible bipolar thermopower of ionic thermoelectric polymer composite for cyclic energy generation,10.1038/s41467-023-36018-w,INSIGHT_676950CAE4,manipulating ion-electrode interactions gives reversible bipolar thermopower,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,,accepted_claim_direct,True,1.0,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P0373,insight:INSIGHT_676950CAE4,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P0373 --reports--> insight:INSIGHT_676950CAE4 --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P1109,2021,Anionic conduction mediated giant n-type Seebeck coefficient in doped Poly(3-hexylthiophene) free-standing films,10.1016/j.mtphys.2020.100307,INSIGHT_FBEF0A59E7,Cl- thermodiffusion changes conduction from p-type electronic to n-type ionic and produces giant negative Seebeck coefficient,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,role_sentence_support,STATIC_TYPE_CHANGE_NOT_REVERSIBLE_SWITCH: Carrier-type crossover without reversible switching.,accepted_with_scope_caveat,True,0.39,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P1109,insight:INSIGHT_FBEF0A59E7,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P1109 --reports--> insight:INSIGHT_FBEF0A59E7 --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,P1553,2020,Chloride transport in conductive polymer films for an n-type thermoelectric platform,10.1039/c9ee02399b,INSIGHT_538E4A6C2A,"Cu2+ binds PSS and forms Cl- channels, converting PEDOT:PSS from p-type to n-type ionic thermoelectric behavior",A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,STATIC_TYPE_CHANGE_NOT_REVERSIBLE_SWITCH: Static material conversion to n-type.,accepted_with_scope_caveat,True,0.6,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,paper:P1553,insight:INSIGHT_538E4A6C2A,lever:polarity_switching,program:PRG_00699a1a9edc,tg_system:iodide_triiodide,paper:P1553 --reports--> insight:INSIGHT_538E4A6C2A --supports_hypothesis--> program:PRG_00699a1a9edc --targets--> tg_system:iodide_triiodide,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,True,P0371,2024,Solar Heating Modulated by Evaporative Cooling Provides Intermittent Temperature Gradients for Ionic Thermoelectric Supercapacitors,10.1002/adfm.202407948,INSIGHT_E9E57401E2,"solar heating plus water infiltration/evaporative cooling creates intermittent temperature gradients, enabling repeated ITESC charge-discharge operation",B_direct_needs_evidence_repair,E1_partial_exact_evidence,H3_inspiration,core_iTE,claim_direct_support,,accepted_claim_direct,True,0.75,moisture_or_evaporation_gradient,湿度/蒸发梯度,any_tg,通用 TG 红氧体系,paper:P0371,insight:INSIGHT_E9E57401E2,lever:moisture_or_evaporation_gradient,program:PRG_086c824d735e,tg_system:any_tg,paper:P0371 --reports--> insight:INSIGHT_E9E57401E2 --supports_hypothesis--> program:PRG_086c824d735e --targets--> tg_system:any_tg,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,True,P0608,2021,Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework,10.1039/d0ee02730h,INSIGHT_BF5259CD93,charged nanochannels drive ionic thermoelectric and streaming potentials,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,role_sentence_support,,accepted_role_sentence_support,True,0.65,moisture_or_evaporation_gradient,湿度/蒸发梯度,any_tg,通用 TG 红氧体系,paper:P0608,insight:INSIGHT_BF5259CD93,lever:moisture_or_evaporation_gradient,program:PRG_086c824d735e,tg_system:any_tg,paper:P0608 --reports--> insight:INSIGHT_BF5259CD93 --supports_hypothesis--> program:PRG_086c824d735e --targets--> tg_system:any_tg,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,True,P0608,2021,Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework,10.1039/d0ee02730h,INSIGHT_F930511F0A,light absorption and low thermal conductivity create thermal gradient and evaporation,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,claim_direct_support,,accepted_claim_direct,True,1.0,moisture_or_evaporation_gradient,湿度/蒸发梯度,any_tg,通用 TG 红氧体系,paper:P0608,insight:INSIGHT_F930511F0A,lever:moisture_or_evaporation_gradient,program:PRG_086c824d735e,tg_system:any_tg,paper:P0608 --reports--> insight:INSIGHT_F930511F0A --supports_hypothesis--> program:PRG_086c824d735e --targets--> tg_system:any_tg,source report verified; rule match verified; transfer hypothesis experimentally pending
PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,True,P0682,2022,Enhancing hydrovoltaic power generation through heat conduction effects,10.1038/s41467-022-28689-8,INSIGHT_6E8FD72178,gelatin improves heat conduction and thermoelectric conversion while hydrovoltaic evaporation maintains temperature difference,C_adjacent_enabling_evidence,E3_mechanism_and_outcome_exact,H1_evidence_ready,adjacent_enabling,claim_direct_support,,accepted_claim_direct,True,0.55,moisture_or_evaporation_gradient,湿度/蒸发梯度,any_tg,通用 TG 红氧体系,paper:P0682,insight:INSIGHT_6E8FD72178,lever:moisture_or_evaporation_gradient,program:PRG_086c824d735e,tg_system:any_tg,paper:P0682 --reports--> insight:INSIGHT_6E8FD72178 --supports_hypothesis--> program:PRG_086c824d735e --targets--> tg_system:any_tg,source report verified; rule match verified; transfer hypothesis experimentally pending
