pair_id,class_id,group_index,domain,left_mention_id,right_mention_id,left_label,right_label,judge_decision,judge_relation,judge_reason,left_evidence,right_evidence,left_evidence_locator,right_evidence_locator,judge_group_record,dsh_relation,dsh_reason,judge_model,judge_reasoning_effort,merge_applied
pair:b35030cede8989341f0a,iTE:P1958:n2,0,iTE,iTE:P0334:n3,iTE:P0344:n4,Seebeck coefficients,Seebeck coefficient,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0334:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0344:n4,group_judgments.jsonl::group_index=0,equivalent_to,两侧均指离子热电体系中以 mV K-1 度量的同一物理量 Seebeck 系数（仅单复数差异），语义范围相同。,gpt-6-astra,high,False
pair:f177c45f4263a1bb431c,iTE:P1958:n2,0,iTE,iTE:P0334:n3,iTE:P0364:n4,Seebeck coefficients,Seebeck coefficient (S),accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,the octanol-water partition coefficient of ions negatively affect Seebeck coefficients,thus enhancing or changing the Seebeck coefficient (S),/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0334:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0364:n4,group_judgments.jsonl::group_index=0,equivalent_to,两侧均指同一物理量 Seebeck 系数（单复数与符号 S 标注不影响语义），无范围或方向限定差异。,gpt-6-astra,high,False
pair:123c69eeb2157541c70e,iTE:P1958:n2,0,iTE,iTE:P0334:n3,iTE:P1457:n2,Seebeck coefficients,Seebeck coefficient,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",The Seebeck coefficient obtained from the ionic heats of transport varies significantly with temperature and concentration.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0334:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P1457:n2,group_judgments.jsonl::group_index=0,equivalent_to,两侧的 Seebeck coefficient(s) 指同一物理量，仅有单复数差异，没有限定为不同对象或机制。,gpt-6-astra,high,False
pair:a807a1eca3cadaf56dc6,iTE:P1958:n2,0,iTE,iTE:P0336:n3,iTE:P0337:n4,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,enabling the giant ionic thermopower,boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0336:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0337:n4,group_judgments.jsonl::group_index=0,equivalent_to,两侧标签与原文用词均为“ionic thermopower”，指同一性能量，语义范围一致。,gpt-6-astra,high,False
pair:7fef9d99a435cbb726e0,iTE:P1958:n2,0,iTE,iTE:P0336:n3,iTE:P0392:n4,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,enabling the giant ionic thermopower,playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0336:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0392:n4,group_judgments.jsonl::group_index=0,equivalent_to,两侧名称与语境均指同一由温度梯度下离子定向迁移产生的离子热电势量，属明确同义表达。,gpt-6-astra,high,False
pair:0716681e58f77f1fafad,iTE:P1958:n2,0,iTE,iTE:P0336:n3,iTE:P0503:n2,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,enabling the giant ionic thermopower,wherein the ionic thermopower exhibits a 58% enhancement,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0336:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0503:n2,group_judgments.jsonl::group_index=0,equivalent_to,两侧均为 ionic thermopower，均作为离子热电材料的性能指标，未出现方向或限定条件上的定义性差异。,gpt-6-astra,high,False
pair:58b715c4da6ab198e94f,iTE:P1958:n2,0,iTE,iTE:P0336:n3,iTE:P0616:n2,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,enabling the giant ionic thermopower,the ionic thermopower can be enhanced by the introduction of multiple ions,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0336:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0616:n2,group_judgments.jsonl::group_index=0,equivalent_to,两侧原文均用同一术语 ionic thermopower 指离子热电材料的离子热电势这一性能量，语义范围一致。,gpt-6-astra,high,False
pair:1db09f534a011514325d,iTE:P1958:n2,0,iTE,iTE:P0336:n3,iTE:P1488:n2,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,enabling the giant ionic thermopower,thermostatically in the ionic thermopower via the thermodynamic factor,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0336:n3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P1488:n2,group_judgments.jsonl::group_index=0,equivalent_to,两侧所指均为离子载流子贡献的热电势（离子 Seebeck 系数）这一性能量，无方向、符号或限定条件冲突，可视为同一概念。,gpt-6-astra,high,False
pair:49a82d034d3a4c227c56,iTE:P1958:n2,0,iTE,iTE:P0337:n4,iTE:P0392:n4,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.,playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0337:n4,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0392:n4,group_judgments.jsonl::group_index=0,equivalent_to,两侧名称与语境均指同一性能量 ionic thermopower（离子热电势），材料体系不同不影响该概念本身的同一性。,gpt-6-astra,high,False
pair:8095fe0bbe726a3d1c01,iTE:P1958:n2,0,iTE,iTE:P0337:n4,iTE:P0503:n2,ionic thermopower,ionic thermopower,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels,the ionic thermopower exhibits a 58% enhancement,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0337:n4,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl::mention_id=iTE:P0503:n2,group_judgments.jsonl::group_index=0,equivalent_to,两侧使用同一术语 ionic thermopower，均指 iTE 水凝胶的离子热电势这一性能量，语义范围一致。,gpt-6-astra,high,False
