review_order,relation_incidence_id,analysis_layer,shared_global_concept_id,shared_label,pair_id,pair_key,relation_id,paper_id,title,doi,source_surface,source_normalized_label,predicate_surface,predicate_normalized,target_surface,target_normalized_label,evidence_sentence,original_abstract,source_is_shared_node,target_is_shared_node,candidate_path_count,candidate_ids,candidate_evidence_tiers,machine_strict_syntax_eligible,human_semantic_review,cross_paper_compatibility_status
1,RI_056fceb4683f,TG,GC_3c0cb933cdf7,ion pair,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,AR_e1bc1081eee2,P0285,Unravelling ionic speciation and hydration structure of Fe(III/II) redox couples for thermoelectrochemical cells,10.1016/j.electacta.2020.135651,ion pairs,ion pair,reduce,reduce,ionic conductivity,ionic conductivity,"Herein, we unravel that the excellent performance of the Fe(III)/(II) perchlorate is ascribed to the non-coordinating nature of its perchlorate anion, which suppresses the formation of the ion pairs that reduce the S-e and ionic conductivity.","Thermoelectrochemical cells (TECs) are promising devices for harvesting heat waste, but their widespread use has been hindered by their low thermopower densities. High-power TECs require an electrolyte solution that exhibits both high Seebeck coefficient (S-e) and high ionic conductivity; thus far, this has been a challenge. Recently, we demonstrated that proper selection of the counter anion of Fe(III)/(II) salts can resolve the aforementioned issue, that n-type (positive S-e) TECs employing the Fe(III)/(II) perchlorate redox couple display unprecedented high areal power densities compared to TECs employing Fe(III)/(II) chloride or Fe(III)/(II) sulfate couple. Herein, we unravel that the excellent performance of the Fe(III)/(II) perchlorate is ascribed to the non-coordinating nature of its perchlorate anion, which suppresses the formation of the ion pairs that reduce the S-e and ionic conductivity. UV-Vis and dielectric relaxation analysis revealed that the redox reaction of the hexa aquo complexes (Fe(H2O)(6)(3+/2+)), formed Fe(III)/(II) perchlorate, is accompanied by a hydration-number change larger than those of anion-coordinated species, which are dominant in chloride or sulfate media. In addition, p-type TECs can be combined in-series with p-type (negative S-e) TECs to provide output powers high enough for practical application. (C) 2020 Elsevier Ltd. All rights reserved.",True,False,3,TC_680b93bd09d0; TC_8ae06663a1e8; TC_8f23bd333802,B_single_strict_syntax_candidate,True,pending,untested
2,RI_623a2f9ac708,TG,GC_cf402379d512,concentration gradient,TP_671a0fd969af,GC_6624fb8cc64b::GC_cf402379d512,AR_9ff4ef61c8a8,P0283,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,10.1021/jacs.6b04923,temperature-dependent host-guest interaction,temperature dependent host guest interaction,provides,provide,concentration gradient,concentration gradient,"This temperature-dependent host-guest interaction provides a concentration gradient of redox ion pairs between two electrodes, leading to the eminent performance of the thermo-electrochemical cells.","Thermo-electrochemical cells have potential to generate thermoelectric voltage 1 order higher than that given by semiconductor materials. To overcome the current issues in thermoelectric energy conversion, it is of paramount importance to grow and fulfill the full potential of thermo-electrochemical cells. Here we report a rational supramolecular methodology that yielded the highest Seebeck coefficient of ca. 2.0 mV K-1 around ambient temperatures. This is based on the encapsulation of triiodide ions in alpha-cyclodextrin, whose equilibrium is shifted to the complexation at lower temperatures, whereas it is inverted at elevated temperatures. This temperature-dependent host-guest interaction provides a concentration gradient of redox ion pairs between two electrodes, leading to the eminent performance of the thermo-electrochemical cells. The figure of merit for this system, zT reached a high value of 5 x 10(-3). The introduction of host-guest chemistry to thermoelectric cells thus provides a new perspective in thermoelectric energy conversion.",False,True,4,TC_533b87cf6592; TC_6b6af2caadc5; TC_81a6b928bc0a; TC_a0efc39343d1,A_dual_strict_syntax_candidates; B_single_strict_syntax_candidate,True,pending,untested
3,RI_abf3fb97751a,TG,GC_d18c91f9affa,temperature difference,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,AR_72c9bb1fbf6d,P0328,Effect of non-graphitized carbon electrodes on the electrochemical characteristics of a thermocell with a Br2/Br- redox couple,10.1016/s0378-7753(97)02676-1,Maxsorb electrodes,maxsorb electrode,generate,generate,temperature difference,temperature difference,"The Maxsorb electrodes generate 5.68 mV/degrees/C of thermoelectric power at a temperature difference greater than 40 degrees C, which is 2.5 times the power reported previously.","Electrodes made from a non-graphitized carbon (Maxsorb) sheet with a large specific surface area greatly improved the electrochemical characteristics of thermocells with a bromine/bromide-ion redox couple and a KBr aqueous electrolyte saturated with Br2. The Maxsorb electrodes provide a higher open-circuit voltage than graphite (Perma Foil) eletrodes and the maximum discharge current density is 2.4 mA/cm(2) until the voltage reaches 0 V. The Maxsorb electrodes generate 5.68 mV/degrees/C of thermoelectric power at a temperature difference greater than 40 degrees C, which is 2.5 times the power reported previously. The Maxsorb electrodes also improve the cathodic polarization in the presence of a gas-liquid-solid interface in Br-2-free electrolyte, while the graphite electrodes do not. Nevertherless, this improvement is insufficient in observe when the KBr electrolyte is saturated with Br-2. An experiment cell with Maxsorb electrodes maintains a stable voltage up to 2.0 mA/cm(2) for over 450 h, even though the cell configuration has still to be optimized. (C) 1998 Elsevier Science S.A.",False,True,63,TC_043b41174b8a; TC_08f99c656687; TC_091fd96a2380; TC_0a7d49d54c94; TC_0a8660c057e2; TC_1113c24e495d; TC_175522238c34; TC_182d74adeb06; TC_18ac0b090345; TC_196f16887fd1; TC_286f0a02539e; TC_2a0bb1343a72; TC_2a745093a414; TC_31f91a080a33; TC_32f12303de34; TC_3ab2931f6bf3; TC_3c547edc87f8; TC_40dde738824a; TC_47a899c267f4; TC_4ed6acf80a6b; TC_4f13c33df93d; TC_4f76b6866f11; TC_5018ba46e44b; TC_50cc91c33bef; TC_678b3ff528c7; TC_6b4bdba10cb0; TC_6b4df9cefd11; TC_6dc9968a6a33; TC_6eaa08e6d4c6; TC_7213fcb3f7ba; TC_747de26e9893; TC_817b3dbf17d1; TC_84279e2a96b7; TC_88a062a4e31e; TC_97782cc01a3a; TC_98eb2ed9a9ce; TC_996b4bdc58f8; TC_99d757c447e6; TC_9af286253be9; TC_a03bf84b94f9; TC_a635e2ab4a11; TC_a6dd067ce528; TC_a82d331b0a73; TC_a9d4215cfe50; TC_ab520333a72d; TC_ac0b74f6abae; TC_ad8f709db36e; TC_afa5e933f143; TC_b8504550f61b; TC_ba22e269f4ac; TC_be8d042e9636; TC_c03ce8a3578f; TC_c176f0ecb90e; TC_c9257b4bbc30; TC_cbb8083aae27; TC_cdb9bfee56a5; TC_cf8a1271e2ee; TC_d124009056b3; TC_da653c6e5f1d; TC_e621ae699ad1; TC_f1f2e0f35a6f; TC_f30a9297e5cc; TC_f332c9a1c73c,B_single_strict_syntax_candidate,True,pending,untested
4,RI_1488965a920d,TG,GC_f22b98b878db,entropy difference,TP_0df90ce39775,GC_c66d2ca12074::GC_f22b98b878db,AR_67420f8ca50e,P1614,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,10.1002/smll.73890,amphiphilic networks,amphiphilic network,enhance,enhance,entropy difference,entropy difference,"Furthermore, the & horbar;SO3 - and phenyl moieties of amphiphilic networks enhance the entropy difference of the [Fe(CN)6 4-/Fe(CN)6 3-] redox couple via electrostatic and ion-pi interactions, boosting thermopower.","Ionic hydrogel-based quasi-solid (IH-QS) thermocells are promising for low-grade heat harvesting, but suffer from humidity-induced instability (i.e., severe dehydration at low humidity and excessive swelling at high humidity), degrading their mechanical and thermoelectric performances. Herein, we develop humidity-stable IH-QS thermocells via the incorporation of amphiphilic networks and hygroscopic electrolytes. This design ensures operational stability across a wide relative humidity (RH) by synergistically combining hydrophilic & horbar;SO3 - groups and hygroscopic electrolytes for high water retention at low humidity and hydrophobic phenyl moieties that form physical crosslinks to suppress swelling at high humidity. Furthermore, the & horbar;SO3 - and phenyl moieties of amphiphilic networks enhance the entropy difference of the [Fe(CN)6 4-/Fe(CN)6 3-] redox couple via electrostatic and ion-pi interactions, boosting thermopower. The resulting IH-QS thermocell achieves high thermopower and normalized power density across 30%-99% RH (e.g., 2.17 mV K-1 and 0.19 mW m-2 K-2 at 30% RH; 1.63 mV K-1 and 0.55 mW m-2 K-2 at 99% RH), overcoming a critical barrier to their practical deployment.",False,True,3,TC_1af4f00b74b0; TC_73954f2adef3; TC_b0e10afeba5d,B_single_strict_syntax_candidate,True,pending,untested
5,RI_083df9097d63,TG,GC_f50bbe3cdc5d,temperature gradient,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,AR_10561c52c88a,P0065,"High Seebeck coefficient thermogalvanic cells via the solvent-sensitive charge additivity of cobalt 1,8-diaminosarcophagine",10.1039/d2cc05413b,temperature gradient,temperature gradient,drives,drive,favourable electrochemical redox reaction,favourable electrochemical redox reaction,"A temperature gradient across the device drives an entropically favourable electrochemical redox reaction, resulting in continuous current production.","Thermogalvanic devices can chemically convert low grade (<200 degrees C) waste thermal energy into electrical energy. A temperature gradient across the device drives an entropically favourable electrochemical redox reaction, resulting in continuous current production. The voltage correlates with the entropy change during the redox reaction, which favours high valence metal complexes with high charge densities. Here we investigate cobalt (ii/iii) sarcophagine ([Co(SAR)](2+/3+)) for application in thermogalvanic cells, as a function of solvent; the two uncoordinated amine groups 1,8-diaminosarcophagine are typically protonated to form tetracationic/pentacationic [Co(SARH(2))](4+/5+). In water, [Co(SARH(2))](4+/5+) gave a thermogalvanic Seebeck coefficient (S-e) of +0.43 mV K-1, which is entropically consistent with just the Co2+/3+ core valence, whereas DMSO and ionic liquid solvents gave S-e values of +1.84 and +2.04 mV K-1, respectively, in line with the 'Co4+/5+' overall complex. This work proves how the ionic charge on pendant moieties can undergo charge-additivity with the metal core to significantly boost entropically-driven processes, but only in suitably low dielectric and bulky solvents.",True,False,67,TC_007b5f1b78a3; TC_03a008286a49; TC_0c8395906789; TC_0e2a03b17c23; TC_11619df124cb; TC_14403c6106cd; TC_14b44de8811c; TC_18d002839c61; TC_19d0db4abf5b; TC_1d71f632dba8; TC_1f373b773278; TC_1f582cc84039; TC_219663b4e1c6; TC_21b51b5d408a; TC_22fe7482fd25; TC_237aaca72a32; TC_2735d8b7ef83; TC_2800a9c2019f; TC_298e035a8cab; TC_2e9a9f6b1690; TC_37a914b8dde6; TC_3c5c6100afcc; TC_407cb82e7d52; TC_499555e9b3d5; TC_4f9a5d2b0ac0; TC_5d2f8f361c91; TC_606f69259a5c; TC_61c1a239ef0b; TC_63ad0812fda1; TC_667bdb8fa4da; TC_6704fadb53fa; TC_6a526ca41ab4; TC_6e1e58e8d72e; TC_6fa2db4e973c; TC_75e18594962b; TC_7d128c3a7e96; TC_85e15f1c8ed7; TC_8a689a6627a5; TC_8bf2040781bc; TC_8ea3b717e2c3; TC_911aa37fb6af; TC_9431174009bf; TC_9aa204613978; TC_9b5fba6bdc3c; TC_9d1bc7ef117a; TC_9efac4717774; TC_9f40bdc76c06; TC_a5f15bb33028; TC_a6de226ef54b; TC_aa008f16ecf3; TC_adde4b736d9e; TC_b30a189b6c1f; TC_b6f6b1cb5a2b; TC_b70522a1e907; TC_b8174171cd25; TC_b88b705cd488; TC_bb99ad3e4a96; TC_bd2815a6bcc8; TC_c6e494904365; TC_ca1882604642; TC_cb46d2cb8786; TC_cd8c430fdb54; TC_da24175205a5; TC_dfb9f70e533a; TC_e5ddae313288; TC_fb892c1e3521; TC_ffab977d0913,B_single_strict_syntax_candidate,True,pending,untested
6,RI_5a2b1a6c5b5f,iTE,GC_27998e08b8e3,hydration,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,AR_fed57ee4bc13,P0497,Enhancing the Thermoelectric Performance of Sustainable Cellulose-Based Ionogels Through Water Content Regulation,10.1002/smll.202412336,regulation,regulation,induces,induce,hydration,hydration,"Experimental characterizations and molecular dynamic simulation studies elucidate that the regulation of water content induces the hydration of 1-butyl-3-methylimidazolium cation and the swelling of CIG, which greatly promotes the ions diffusion and expands the difference in mobility between anions and cations.","Ionogels are widely studied as promising ionic thermoelectric (i-TE) materials to harvest low-grade waste heat into electrical energy due to their huge thermopower and good ionic conductivity, providing a feasible way to sustainable development. Herein, a p-type i-TE cellulose ionogel (CIG) based on Soret effect is prepared by dissolving cellulose in an ionic liquid (IL) and subsequent water-absorbing induced gelation. Its morphological structure and IL distribution are intuitively investigated through cryo-focused ion beam-scanning electron microscope. Experimental characterizations and molecular dynamic simulation studies elucidate that the regulation of water content induces the hydration of 1-butyl-3-methylimidazolium cation and the swelling of CIG, which greatly promotes the ions diffusion and expands the difference in mobility between anions and cations. The proposed CIG exhibits superior thermoelectric properties: an ionic conductivity of 51.2 mS cm-1, an ionic Seebeck coefficient of 20.7 mV K-1, and an ionic figure of merit zTi of 2.36 at 30 degrees C, respectively. A CIG-based i-TE device is designed and assembled to demonstrate its great potential for wearable body heat-to-electricity conversion. The cellulose skeleton in CIG is completely biodegradable in nature and the used IL is recyclable and reusable, providing a green and sustainable strategy for energy harvesting.",False,True,6,TC_0eccf425499a; TC_1f47350504f0; TC_63292af93846; TC_710d9b6fe99f; TC_9bed6abcd898; TC_fc4b06b28eb2,B_single_strict_syntax_candidate,True,pending,untested
7,RI_97f608f4c0de,iTE,GC_3c432d56645d,thermal gradient,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,AR_1e288c2fdddd,P1457,A computational approach to calculate the heat of transport of aqueous solutions,10.1038/srep44833,Thermal gradients,thermal gradient,induce,induce,concentration gradients,concentration gradient,"Thermal gradients induce concentration gradients in alkali halide solutions, and the salt migrates towards hot or cold regions depending on the average temperature of the solution.","Thermal gradients induce concentration gradients in alkali halide solutions, and the salt migrates towards hot or cold regions depending on the average temperature of the solution. This effect has been interpreted using the heat of transport, which provides a route to rationalize thermophoretic phenomena. Early theories provide estimates of the heat of transport at infinite dilution. These values are used to interpret thermodiffusion (Soret) and thermoelectric (Seebeck) effects. However, accessing heats of transport of individual ions at finite concentration remains an outstanding question both theoretically and experimentally. Here we discuss a computational approach to calculate heats of transport of aqueous solutions at finite concentrations, and apply our method to study lithium chloride solutions at concentrations >0.5 M. The heats of transport are significantly different for Li+ and Cl- ions, unlike what is expected at infinite dilution. We find theoretical evidence for the existence of minima in the Soret coefficient of LiCl, where the magnitude of the heat of transport is maximized. The Seebeck coefficient obtained from the ionic heats of transport varies significantly with temperature and concentration. We identify thermodynamic conditions leading to a maximization of the thermoelectric response of aqueous solutions.",True,False,1,TC_f62b7feaf99e,B_single_strict_syntax_candidate,True,pending,untested
8,RI_c45ec5234ccb,iTE,GC_4a92e5f4fe38,hydrogel,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,AR_cc07e8ae6672,P1154,Bioelectric Reawakening by a Self-Powered Thermoelectric Hydrogel Accelerates Diabetic Ulcer Repair,10.1002/adma.73728,hydrogel,hydrogel,generates,generate,physiological temperature gradients,physiological temperature gradient,"The hydrogel generates wound-relevant microcurrents under physiological temperature gradients, while luteolin and Zn2 + are incorporated as complementary bioactive modules to suppress bacterial burden and excessive inflammation, thereby establishing a pro-regenerative niche.","Diabetic foot ulcer (DFU) remains difficult to heal due to disrupted endogenous bioelectricity together with persistent infection, inflammation, and oxidative stress. Reinstating wound bioelectricity therefore represents an attractive therapeutic strategy, and thermoelectric materials are particularly suited to this purpose by harvesting the natural skin-air temperature gradient without external power input. Here, a self-powered ionic thermoelectric dual-network hydrogel is developed to simultaneously reconstruct wound bioelectric cues and remodel the hostile DFU microenvironment. The hydrogel generates wound-relevant microcurrents under physiological temperature gradients, while luteolin and Zn2 + are incorporated as complementary bioactive modules to suppress bacterial burden and excessive inflammation, thereby establishing a pro-regenerative niche. Meanwhile, the catechol-containing dual-network architecture imparts strong wet adhesion and robust mechanical stability for conformal wound coverage. Mechanistically, this study provides, to our knowledge, the first evidence that thermoelectric stimulation reprograms fibroblast repair behavior through bioelectric transduction into a Ca2 +/calmodulin-dependent phosphoinositide 3-kinase/protein kinase B (PI3K/Akt) and extracellular signal-regulated kinase (Erk) signaling network. The hydrogel exhibits broad-spectrum antibacterial activity, immunomodulatory effects, and pro-angiogenic capacity in vitro, and accelerates wound healing by 66.84% in diabetic rats. This work establishes a self-powered strategy that integrates bioelectric restoration with microenvironment remodeling for DFU repair.",True,False,57,TC_005408a33051; TC_006ddc3d7da2; TC_0184dc961f05; TC_01d9e280ea8a; TC_04d5e8db5bd4; TC_0e7cd864c0ae; TC_118bd2260c9a; TC_137d86c693f6; TC_17b022344b05; TC_17d0d603a945; TC_1b0257ef9e66; TC_1cf9e0da0a79; TC_26c9451923ab; TC_29ea0dcc264e; TC_2ab1afc9d252; TC_2b05b9f2fbbf; TC_2cdae40cf540; TC_2cfafc3c1c8c; TC_327ec7811e8f; TC_39072e0dcdc1; TC_3d8efe6f8d5f; TC_4108539da90c; TC_450a14a5215d; TC_47e762074f27; TC_54c049aee51d; TC_57a6a0e29435; TC_5cdd6036d7e4; TC_5e26517e094b; TC_6deb58fe09b0; TC_867a19d36363; TC_8afe75a8ee6d; TC_8eea3d3b57a8; TC_901439b9cf1a; TC_948ab023843f; TC_9528bb093c18; TC_9a23f874849c; TC_9a71345e3e7b; TC_9e1baa244864; TC_a917633ae984; TC_aaad64c9b64e; TC_b1f28a547870; TC_b574a6ae38bd; TC_b6d43f31917f; TC_c5ffaebad905; TC_c6f337c22253; TC_c9cad11b2b36; TC_cd8ef5754306; TC_cf10f34804e8; TC_cf6164b6c55b; TC_d5410fb8c2b2; TC_d558e3dfe753; TC_d9c670e4ffce; TC_e226354c602e; TC_f00d1c8a15f2; TC_f2c42c1e4c5f; TC_fba0dc29941c; TC_fcd644e05fb0,B_single_strict_syntax_candidate,True,pending,untested
9,RI_97abe868ca02,iTE,GC_720e69b53d5a,concentration difference,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,AR_d20ee0d670a0,P0525,Synergistic coordination engineering and electrodes ion-attractive boost negative thermoelectric performance in hydrogel fibers for advanced wearable electronics,10.1016/j.cej.2025.170879,anion adsorption,anion adsorption,enhances,enhance,concentration difference,concentration difference,"In thermoelectric hydrogel fibers, the thermal migration of Li+ is suppressed by coordination interactions, while strong anion adsorption on conductive carbon paper electrodes synergistically enhances the concentration difference between anions and cations, leading to a remarkably negative Si of -55 mV K- 1.","Ionic thermoelectric (i-TE) materials efficiently convert low-grade heat into electricity, making them ideal for wearable power supplies. However, high-performance n-type i-TE materials based on advanced synergistic ion regulation mechanisms lags behind p-type counterparts in development. Besides, fiber-based i-TE materials are more suitable than membrane-based for wearable power supplies. Thus, an n-type thermoelectric PAM/PEO/LiCl hydrogel fiber with a huge ionic Seebeck coefficient (Si) is continuously obtained by self-lubricating spinning strategy. In thermoelectric hydrogel fibers, the thermal migration of Li+ is suppressed by coordination interactions, while strong anion adsorption on conductive carbon paper electrodes synergistically enhances the concentration difference between anions and cations, leading to a remarkably negative Si of -55 mV K- 1. Thanks to the satisfactory i-TE performance, the thermoelectric hydrogel fiber efficiently converts low-grade heat into valuable thermovoltage to power microelectronics. Additionally, based on the one-dimensional structure and weavability, an i-TE textile is constructed to harvest body heat for self-powered motion sensing, successfully. Overall, the thermoelectric hydrogel fiber demonstrates great promise for wearable electronics for low-grade heat harvesting, wearable power supplies and self-powered sensors.",False,True,3,TC_37161d1b5d0e; TC_558878b2dd61; TC_f6d89618735d,B_single_strict_syntax_candidate,True,pending,untested
10,RI_7c6407014b70,iTE,GC_9f138d3cd94d,diffusion,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,AR_281e7aa7d45f,P0337,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,host-guest complexation,host guest complexation,confines,confine,diffusion,diffusion,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis.","Ionic thermoelectric materials have emerged as a promising avenue for harvesting low-grade waste heat, with significant potential for applications in wearable electronics. This study introduces a novel design for ionic thermoelectric capacitors (ITECs) by incorporating host-guest complexation between alpha-cyclodextrin (alpha-CD) and triiodide ions (I3-). The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels. Accordingly, the optimized sample achieves an impressive positive ionic thermopower of 14.24 mV K-1 and a high ionic power factor of 477.2 mu W K-2 m-1. Furthermore, the stretchable ITEC demonstrates a substantial power density of 5.9 mW m-2. When integrated into a 3-leg device, a stable thermovoltage of 176 mV is generated under a temperature gradient of 4.4 K, thus highlighting the potential of this system for efficient thermal energy harvesting.",False,True,6,TC_05a1b53fefd1; TC_c03ded8ce617; TC_c8284f4476de; TC_d0a0a1002ef9; TC_e8ea0c0e2796; TC_f80e37bbf660,B_single_strict_syntax_candidate,True,pending,untested
