mention_id,paper_id,domain,raw_phrase,proposed_semantic_role,quote,evidence_scope,decision_source,annotation_status,human_decision,human_role,human_reason,review_flags,review_note
iTE:P0335:n1,P0335,iTE,multi-ion coupling,interaction,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,underspecified,作者描述多离子耦合作用，未细分相互作用种类，保留阴离子主导语境。
iTE:P0336:n2,P0336,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,quantity,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,ambiguous_quantity;quantity_definition_review,指阴阳离子热泳行为差异，未定义为某一具体扩散系数差，需保留对象和粒度。 热泳差异没有定义为特定物理系数差，保留 quantity 建议及对象限定。
iTE:P0339:n2,P0339,iTE,ion entropy difference,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,definition_unresolved,熵差是物理量，原句未定义为反应熵或 Eastman 熵。
iTE:P0339:n3,P0339,iTE,redox reaction efficiency,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,definition_unresolved,氧化还原反应效率，不能替代整体热电转换效率。
iTE:P0342:n2,P0342,iTE,complexation,interaction,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,object_unresolved,络合作用对象未在证据句指定，不补成固定某一阳离子。
iTE:P0347:n2,P0347,iTE,surface negative charges,state_structure,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,quantity_alternative,原文表面负电荷描述通道状态，未量化为表面电荷密度。
iTE:P0349:n2,P0349,iTE,hydrogen bond network between water molecules,state_structure,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,interaction_alternative,被破坏的对象是水分子氢键网络，结构标签保留水的对象限定。
iTE:P0350:n3,P0350,iTE,diffusion difference between cations and anions,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,ambiguous_quantity;quantity_definition_review,扩散差异未明确为热扩散系数差，不能自动更名。 阴阳离子扩散差异没有明确量化定义，不能改写成热扩散系数差。
iTE:P0351:n2,P0351,iTE,high thermoelectric performance,performance_function,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,underspecified,未指定单一性能指标，不能填成 Seebeck 或功率。
TG:P0146:n1,P0146,TG,interaction between multications and anions,interaction,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,,underspecified,多阳离子与阴离子间作用，未细化具体作用种类。
