removed_paper_id,removed_relation_ids,baseline_R2_path_count,after_removal_R2_path_count,baseline_R1_path_count,after_removal_R1_path_count,baseline_R0_path_count,after_removal_R0_path_count,remaining_R2_candidate_ids,sensitivity_scope,identity_used_for_baseline_grade_or_rank
P0065,AR_10561c52c88a,1,1,103,36,12617,12684,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0283,AR_9ff4ef61c8a8,1,0,103,101,12617,12620,,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0285,AR_e1bc1081eee2,1,1,103,100,12617,12620,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0328,AR_72c9bb1fbf6d,1,1,103,103,12617,12617,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0337,AR_281e7aa7d45f,1,1,103,97,12617,12623,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0497,AR_fed57ee4bc13,1,1,103,97,12617,12623,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P0525,AR_d20ee0d670a0,1,1,103,100,12617,12620,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P1154,AR_cc07e8ae6672,1,1,103,103,12617,12617,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P1345,AR_08204431f286,1,1,103,103,12617,12617,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P1457,AR_1e288c2fdddd,1,0,103,89,12617,12632,,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
P1614,AR_67420f8ca50e,1,1,103,103,12617,12617,TC_6b6af2caadc5,remove_this_papers_accepted_relation_evidence_only_pairs_remain_as_cooccurrence,False
