mention_id,paper_id,domain,local_node_id,raw_phrase,legacy_role,semantic_role,claim_id,quote,phrase_location_status,phrase_start_char,phrase_end_char,phrase_span_candidates,semantic_review_status,reconstruction_run_id,audit_id,draft_concept_id,draft_definition,source_role,abstract_locator
iTE:P0343:n3,P0343,iTE,n3,n-type thermoelectric behavior,performance,,iTE:P0343:claim_block,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",exact_unique_in_quote,385,415,"[[385, 415]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:a1eeb083cef4f21057f9,离子负热电响应,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0343
iTE:P0367:n3,P0367,iTE,n3,n-type behavior,performance,,iTE:P0367:claim_block,"Due to the coordination and electrostatic interactions between cations and functional groups, the hydrogel displays an n-type behavior with enhanced anion diffusion efficiency.",exact_unique_in_quote,843,858,"[[843, 858]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:a1eeb083cef4f21057f9,离子负热电响应,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0367
iTE:P0439:n5,P0439,iTE,n5,n-type thermoelectric response,performance,,iTE:P0439:claim_block,"Specifically, Cu2+ ions are preferentially confined within hemicellulose and lignin domains, whereas aligned amorphous cellulose nanochannels facilitate Cl- ion thermodiffusion toward the cold side, thereby enabling an n-type thermoelectric response.",exact_unique_in_quote,700,730,"[[700, 730]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:a1eeb083cef4f21057f9,离子负热电响应,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0439
iTE:P0481:n3,P0481,iTE,n3,n-type TE response,performance,,iTE:P0481:claim_block,"Complementary characterization of the TE voltage response and absorption spectroscopy suggests that negative interfacial polarization is induced under asymmetric heating. This results from the ion exchange between PEDOT:PSS and Rmim:Cl upon creating the interfaces and the high affinity of Rmim:PSS compared with PEDOT:Cl, which results in the n-type TE response.",exact_unique_in_quote,1025,1043,"[[1025, 1043]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:a1eeb083cef4f21057f9,离子负热电响应,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0481
iTE:P0512:n3,P0512,iTE,n3,n-type characteristics,performance,,iTE:P0512:claim_block,"Benefiting from multiple hydrogen bonds and electrostatic interactions between ions and LCE molecular chains, as well as phase separation effects, this film exhibits n-type characteristics while achieves a maximum tensile strain of 1570% and tensile strength of 2.85 MPa, and demonstrates self-healing within 3 h at room temperature.",exact_unique_in_quote,759,781,"[[759, 781]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:a1eeb083cef4f21057f9,离子负热电响应,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0512
iTE:P0711:n2,P0711,iTE,n2,n-type conduction,mechanism,,iTE:P0711:claim_block,The conductivity measurements show ionic conduction at high Po-2 and n-type conduction in reducing atmospheres.,exact_unique_in_quote,320,337,"[[320, 337]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0711
iTE:P0896:n4,P0896,iTE,n4,n-type semiconducting characteristics,performance,,iTE:P0896:claim_block,"The carbon nanotube reinforced cement composite after drying shows n-type thermoelectric characteristic, however, the addition of pristine and annealed SrTiO3 nanoparticles can lead to p-type and n-type semiconducting characteristics respectively, which indicates that the carrier type of cement composites is primarily determined by the ceramic filler.",exact_unique_in_quote,691,728,"[[691, 728]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0896
iTE:P1215:n2,P1215,iTE,n2,n-type transport,performance,,iTE:P1215:claim_block,"These days, researchers are digging deep into the Zintl family of chemicals to uncover its many useful physical characteristics. Using a first-principles approach, this study investigates novel Zintl family XZn2Si2 (X = Ca, Sr, Ba) compounds for their different properties. The structural and electrical properties are represented by PBE-GGA and TB-mBJ potentials, respectively. The equilibrium structural parameters, which change with ionic radii, are obtained by optimization. The computations of the elastic constants confirmed the mechanical stability of the compounds. Elastic moduli, melting temperature, hardness, Debye temperature and acoustic properties are widely described. The compounds' elastic anisotropy also discussed and extensively. The three compounds' metallic origin was disclosed by their band structures. Chemicals exhibiting a high degree of valence band p-d hybridization. The compounds exhibit a combination of ionic and covalent bonding. In order to study the interaction between light and matter, the optical reflectivity, optical conductivity, and absorption coefficient are computed. In contrast to other compounds, CaZn2Si2 exhibits n-type transport. Among the compounds, CaZn2Si2 has the best figure of merit and may find use in thermoelectric devices.",exact_unique_in_quote,1164,1180,"[[1164, 1180]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1215
iTE:P1530:n2,P1530,iTE,n2,n-type conductivity,physical_consequence,,iTE:P1530:claim_block,the experimentally observed n-type conductivity is attributed to the presence of interstitial Mg in Sn-doped Mg2Si.,exact_unique_in_quote,419,438,"[[419, 438]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1530
iTE:P1558:n2,P1558,iTE,n2,n-type conductivity,physical_consequence,,iTE:P1558:claim_block,Thermoelectric power (TEP) properties showed that tin disulfide exhibits n-type conductivity.,exact_unique_in_quote,1217,1236,"[[1217, 1236]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1558
iTE:P1578:n2,P1578,iTE,n2,n-type conduction,physical_consequence,,iTE:P1578:claim_block,"Conversely, La4Sb3 displays n-type conduction because of a larger electronic transfer from the rare-earth metal towards antimony.",exact_unique_in_quote,458,475,"[[458, 475]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g022,draft:v2:iTE:e9d75d4ac69f91363a0f,电子n型导电,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1578
iTE:P0724:n3,P0724,iTE,n3,p-type,performance,,iTE:P0724:claim_block,"Using spectroscopic and thermoelectric characterization, we demonstrate that anionic and non-ionic surfactants contribute to the formation of p-type and n-type carbon nanotubes, respectively.",exact_unique_in_quote,459,465,"[[459, 465]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,material_entity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0724
iTE:P0896:n3,P0896,iTE,n3,p-type,performance,,iTE:P0896:claim_block,"The carbon nanotube reinforced cement composite after drying shows n-type thermoelectric characteristic, however, the addition of pristine and annealed SrTiO3 nanoparticles can lead to p-type and n-type semiconducting characteristics respectively, which indicates that the carrier type of cement composites is primarily determined by the ceramic filler.",exact_unique_in_quote,680,686,"[[680, 686]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0896
iTE:P0914:n3,P0914,iTE,n3,p-type characteristics,performance,,iTE:P0914:claim_block,Results show that Sn preferentially substitute Sb to induce the p-type characteristics in Sb2Te3.,exact_unique_in_quote,227,249,"[[227, 249]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0914
