concept_id,domain,display_label,display_label_source,member_count,source_mention_ids,raw_labels,paper_ids,source_roles,canonical_role,role_status,judge_partition_id,normalization_basis,concept_status,acceptance_status,required_human_review,run_id
draft:v2:TG:4bebd235a1707deb5055,TG,离子浓度,judge_partition_definition,2,"[""TG:P0045:n3"", ""TG:P0071:n3""]","[""ion concentration"", ""variable concentrations of ions""]","[""P0045"", ""P0071""]","[""condition"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g152:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:545455d468a9761c9d69,TG,空间温度梯度,judge_partition_definition,3,"[""TG:P0081:n1"", ""TG:P0136:n3"", ""TG:P0295:n1""]","[""temperature gradient""]","[""P0081"", ""P0136"", ""P0295""]","[""condition"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g035:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:c433f77f0c8333785fb5,TG,热通量,judge_partition_definition,2,"[""TG:P0092:n2"", ""TG:P0114:n2""]","[""heat flux""]","[""P0092"", ""P0114""]","[""condition"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g149:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:c9cdbe78c0b7feecce5b,TG,锂嵌入程度,judge_partition_definition,2,"[""TG:P0089:n2"", ""TG:P0125:n3""]","[""extent of lithium intercalation (x)"", ""lithiationstate""]","[""P0089"", ""P0125""]","[""quantity"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g155:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:0729a1ae8e7501d52c20,iTE,离子选择性,judge_partition_definition,2,"[""iTE:P0528:n2"", ""iTE:P0585:n2""]","[""ion selectivity""]","[""P0528"", ""P0585""]","[""performance_function"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g260:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:3ef6cba8aa2f4e274610,iTE,阳离子交换,judge_partition_definition,2,"[""iTE:P1484:n1"", ""iTE:P1500:n1""]","[""cation exchange""]","[""P1484"", ""P1500""]","[""design_strategy"", ""mechanism_process""]",,mixed_source_roles_astra_reviewed,astra:g208:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:482f201590358c1c4307,iTE,电子n到p转换,judge_partition_definition,4,"[""iTE:P0949:n2"", ""iTE:P1020:n2"", ""iTE:P1647:n2"", ""iTE:P1781:n2""]","[""n- to p-type"", ""n-p inversion"", ""n-type (m = -1/4) to p-type (m = +1/4) transition"", ""type of conductivity is changed from n to p""]","[""P0949"", ""P1020"", ""P1647"", ""P1781""]","[""mechanism_process"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g038:p001,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:58437a6fc9e5f507da78,iTE,n型掺杂,judge_partition_definition,4,"[""iTE:P0668:n1"", ""iTE:P0807:n4"", ""iTE:P1510:n1"", ""iTE:P1516:n1""]","[""n-doping"", ""n-type doping""]","[""P0668"", ""P0807"", ""P1510"", ""P1516""]","[""design_strategy"", ""mechanism_process""]",,mixed_source_roles_astra_reviewed,astra:g074:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:5c28300050bbc4cfdab3,iTE,金属到半导体输运转变,judge_partition_definition,2,"[""iTE:P1470:n3"", ""iTE:P1831:n2""]","[""metal-semiconductor transition"", ""metallic to semiconducting behavior""]","[""P1470"", ""P1831""]","[""mechanism_process"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g280:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:6941b2399860bd8a8757,iTE,离子交换,judge_partition_definition,3,"[""iTE:P0454:n1"", ""iTE:P0940:n1"", ""iTE:P1224:n1""]","[""ion exchange"", ""ionic exchange""]","[""P0454"", ""P0940"", ""P1224""]","[""design_strategy"", ""mechanism_process""]",,mixed_source_roles_astra_reviewed,astra:g068:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:80aa78742ce4cc05321d,iTE,p型电子导电特征,judge_partition_definition,7,"[""iTE:P0724:n3"", ""iTE:P0896:n3"", ""iTE:P0914:n3"", ""iTE:P1200:n2"", ""iTE:P1279:n2"", ""iTE:P1444:n2"", ""iTE:P1795:n2""]","[""p -type semiconducting nature"", ""p-type"", ""p-type character"", ""p-type characteristics"", ""p-type conduction""]","[""P0724"", ""P0896"", ""P0914"", ""P1200"", ""P1279"", ""P1444"", ""P1795""]","[""material_entity"", ""mechanism_process"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g028:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:91bfbf036e7b8ab66483,iTE,晶格参数,judge_partition_definition,6,"[""iTE:P1142:n2"", ""iTE:P1304:n2"", ""iTE:P1620:n2"", ""iTE:P1634:n2"", ""iTE:P1644:n2"", ""iTE:P1867:n2""]","[""Lattice constant values"", ""crystal lattice parameters"", ""lattice constants"", ""lattice parameter"", ""lattice parameters""]","[""P1142"", ""P1304"", ""P1620"", ""P1634"", ""P1644"", ""P1867""]","[""descriptor"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g042:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:e20748ee271085ff7483,iTE,Seebeck符号反转,judge_partition_definition,3,"[""iTE:P0487:n2"", ""iTE:P1696:n2"", ""iTE:P1746:n2""]","[""change of Seebeck sign"", ""sign change"", ""switch in polarity of the Seebeck coefficient""]","[""P0487"", ""P1696"", ""P1746""]","[""performance_function"", ""quantity""]",,mixed_source_roles_astra_reviewed,astra:g081:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:e9d75d4ac69f91363a0f,iTE,电子n型导电,judge_partition_definition,6,"[""iTE:P0711:n2"", ""iTE:P0896:n4"", ""iTE:P1215:n2"", ""iTE:P1530:n2"", ""iTE:P1558:n2"", ""iTE:P1578:n2""]","[""n-type conduction"", ""n-type conductivity"", ""n-type semiconducting characteristics"", ""n-type transport""]","[""P0711"", ""P0896"", ""P1215"", ""P1530"", ""P1558"", ""P1578""]","[""mechanism_process"", ""quantity"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g022:p001,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:ee17b3d6d8b2895f9faa,iTE,降低氧分压,judge_partition_definition,2,"[""iTE:P0927:n1"", ""iTE:P1036:n1""]","[""decreasing oxygen partial pressure"", ""reducing the oxygen partial pressure""]","[""P0927"", ""P1036""]","[""condition"", ""design_strategy""]",,mixed_source_roles_astra_reviewed,astra:g220:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:iTE:f6ad810159782c004c06,iTE,PEDOT苯式到醌式构象转变,judge_partition_definition,3,"[""iTE:P0932:n2"", ""iTE:P1613:n4"", ""iTE:P1959:n2""]","[""PEDOT conformation from benzoid to quinoid"", ""benzenoid-to-quinoid conformational transformation"", ""conformational change of the PEDOT chains""]","[""P0932"", ""P1613"", ""P1959""]","[""mechanism_process"", ""state_structure""]",,mixed_source_roles_astra_reviewed,astra:g106:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
