source,target,method,source_label,target_label,judgment,reason
TG:P0056:conversion,TG:P0180:n4,bm25,Record-high thermoelectric conversion performance,High thermal-electrical conversion performance,related,均为转换表现，但最高纪录与一般高性能、器件机制和性能界定不同，不能直接视为完整同义表达。
TG:P0056:conversion,TG:P0180:n4,rrf,Record-high thermoelectric conversion performance,High thermal-electrical conversion performance,related,均为转换表现，但最高纪录与一般高性能、器件机制和性能界定不同，不能直接视为完整同义表达。
TG:P0056:conversion,TG:P0056:cell,vector,Record-high thermoelectric conversion performance,Aqueous ferri/ferrocyanide TGC,related,器件与器件的性能不同。
TG:P0063:cell,TG:P0067:g,bm25,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,Gel electrolyte thermogalvanic generator with Fe3+/Fe2+,related,同为Fe红氧对凝胶器件，但具体溶剂体系限定不同，只能视为同类器件候选。
TG:P0063:cell,TG:P0063:val,vector,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,Seebeck coefficient 2.49 mV K-1,related,器件与其Seebeck数值不同。
TG:P0063:cell,TG:P0003:balance,rrf,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,Balancing thermodiffusion and thermogalvanic effects in Fe2+/3+ hydrogel,related,器件与调控设计策略不同。
TG:P0084:spatial,TG:P0084:magnitude,bm25,Precise pressure spatial-distribution detection,Precise pressure-magnitude detection,related,空间分布与压力幅值是不同检测维度。
TG:P0084:spatial,TG:P0084:magnitude,vector,Precise pressure spatial-distribution detection,Precise pressure-magnitude detection,related,空间分布与压力幅值是不同检测维度。
TG:P0084:spatial,TG:P0084:magnitude,rrf,Precise pressure spatial-distribution detection,Precise pressure-magnitude detection,related,空间分布与压力幅值是不同检测维度。
TG:P0090:d,TG:P0131:n2,bm25,Highly soluble amide derivative,Highly alloyed stainless steel,distinct,酰胺衍生物与高合金不锈钢无概念等价关系；共同highly一词不能支持等价。
TG:P0090:d,TG:P0090:c,vector,Highly soluble amide derivative,Urea,related,原文把尿素作为酰胺衍生物实例；类别描述与具体物质、角色不同。
TG:P0090:d,TG:P0090:c,rrf,Highly soluble amide derivative,Urea,related,原文把尿素作为酰胺衍生物实例；类别描述与具体物质、角色不同。
TG:P0118:n5,TG:P0118:n9,bm25,Change from anodic to cathodic character,Cathodic behavior relative to stainless steel,related,热电极极性转变与碳钢相对不锈钢的阴极行为涉及不同对象、参照和温度区间。
TG:P0118:n5,TG:P0118:n9,rrf,Change from anodic to cathodic character,Cathodic behavior relative to stainless steel,related,热电极极性转变与碳钢相对不锈钢的阴极行为涉及不同对象、参照和温度区间。
TG:P0118:n5,TG:P0118:n4,vector,Change from anodic to cathodic character,Hot electrode side in reinforced concrete beam,related,电极实体与其阴阳极性质变化不同。
TG:P0196:zp,TG:P0333:zndep,bm25,Zn plating,Concentration dependences in Zn\Zn++ systems,related,锌沉积过程与Zn系统浓度依赖描述不同。
TG:P0196:zp,TG:P0196:conv,vector,Zn plating,Efficient heat-to-electricity conversion,related,锌沉积是机制过程，热电转换是器件功能。
TG:P0196:zp,TG:P0196:conv,rrf,Zn plating,Efficient heat-to-electricity conversion,related,锌沉积是机制过程，热电转换是器件功能。
iTE:P0867:n1,iTE:P0867:n10,bm25,"Bi1.5Pb0.5Ca2−xMxCo2O8−δ with M = Sc3+, Y3+, or La3+",Sc3+ and Y3+ ionic radii smaller than Ca2+,related,完整掺杂材料体系与掺杂离子半径描述不同。
iTE:P0867:n1,iTE:P0867:n10,rrf,"Bi1.5Pb0.5Ca2−xMxCo2O8−δ with M = Sc3+, Y3+, or La3+",Sc3+ and Y3+ ionic radii smaller than Ca2+,related,完整掺杂材料体系与掺杂离子半径描述不同。
iTE:P0867:n1,iTE:P0867:n3,vector,"Bi1.5Pb0.5Ca2−xMxCo2O8−δ with M = Sc3+, Y3+, or La3+",Co–O bond nature,related,材料与材料内的Co–O键特性不同。
iTE:P1187:n20,iTE:P1187:n22,bm25,Thermal conductivities of vacancy-containing BiCuOSe,zT of vacancy-containing BiCuOSe,related,同一材料的热导率与zT是不同物理量。
iTE:P1187:n20,iTE:P1187:n22,vector,Thermal conductivities of vacancy-containing BiCuOSe,zT of vacancy-containing BiCuOSe,related,同一材料的热导率与zT是不同物理量。
iTE:P1187:n20,iTE:P1187:n22,rrf,Thermal conductivities of vacancy-containing BiCuOSe,zT of vacancy-containing BiCuOSe,related,同一材料的热导率与zT是不同物理量。
iTE:P1199:gradient,iTE:P0474:p2,bm25,Maintenance of internal temperature gradients,Maintenance of temperature gradient,equivalent,均指保持器件内温度梯度这一功能概念；可作为同义候选，具体材料和证据仍须各自保留。
iTE:P1199:gradient,iTE:P0474:p2,rrf,Maintenance of internal temperature gradients,Maintenance of temperature gradient,equivalent,均指保持器件内温度梯度这一功能概念；可作为同义候选，具体材料和证据仍须各自保留。
iTE:P1199:gradient,iTE:P1199:eff,vector,Maintenance of internal temperature gradients,Enhanced overall energy conversion efficiency,related,维持温差与提高能量转换效率是不同作用/结果。
iTE:P1248:sense,iTE:P0830:grain,bm25,Decoupled recognition of heat-source size/shapes and temperatures,Mean grain size of 1 gm (source wording),distinct,热源尺寸形状与温度识别不等于陶瓷平均晶粒尺寸。
iTE:P1248:sense,iTE:P0830:grain,rrf,Decoupled recognition of heat-source size/shapes and temperatures,Mean grain size of 1 gm (source wording),distinct,热源尺寸形状与温度识别不等于陶瓷平均晶粒尺寸。
iTE:P1248:sense,iTE:P1248:adapt,vector,Decoupled recognition of heat-source size/shapes and temperatures,Four-dimensional dynamic adaptation to complex-geometry heat sources,related,适应热源几何形状与解耦识别热源形状/温度是不同功能。
iTE:P1414:dist,iTE:P1594:dist,bm25,Enhanced CoO6 octahedral distortion,CoO6 octahedron distortion,related,共享CoO6畸变这一基础概念，但增强状态的限定须保留，不能直接按完整节点名称无损合并。
iTE:P1414:dist,iTE:P1731:n14,vector,Enhanced CoO6 octahedral distortion,Decreased tolerance factor and enhanced CoO6 distortion,related,右侧是容忍因子下降与畸变增强的复合状态，左侧只有畸变增强。
iTE:P1414:dist,iTE:P1731:n14,rrf,Enhanced CoO6 octahedral distortion,Decreased tolerance factor and enhanced CoO6 distortion,related,右侧是容忍因子下降与畸变增强的复合状态，左侧只有畸变增强。
iTE:P1632:seebeck,iTE:P0334:sc,bm25,Seebeck coefficient,Seebeck coefficient,uncertain,两者同名，但原文分别为电子型氧化物和离子热电材料；可映射共同上位物理量，当前证据不足以无条件折叠机制与测量语境。
iTE:P1632:seebeck,iTE:P0334:sc,rrf,Seebeck coefficient,Seebeck coefficient,uncertain,两者同名，但原文分别为电子型氧化物和离子热电材料；可映射共同上位物理量，当前证据不足以无条件折叠机制与测量语境。
iTE:P1632:seebeck,iTE:P1632:rho,vector,Seebeck coefficient,Resistivity,related,Seebeck系数与电阻率不同，共同测量句不构成等价。
