group_id,member,mention_id,label,reason
g0026,m00604,TG:P0050:conductivity,High conductivity,"Conductivity type is unspecified; the electrode's electrical, photothermal and heat-storage context does not resolve it."
g0026,m02066,TG:P0165:conductivity,High conductivity,"Conductivity type is explicitly unspecified, preventing a defensible identification of the quantity or equivalence."
g0036,m00828,TG:P0067:te,Moderate thermoelectric performance,"“Moderate” thermoelectric performance has no specified metric or benchmark, so a well-defined performance concept cannot be established."
g0036,m02273,TG:P0178:n8,Moderate thermoelectric performance,The qualitative assessment covers both positive- and negative-Seebeck gels without defining a performance metric or benchmark.
g0039,m00883,TG:P0072:te,Enhanced thermoelectric performance,The evidence reports thermopower but does not define the broader performance enhancement or its comparison baseline sufficiently to identify a specific outcome concept.
g0039,m01790,TG:P0141:performance,Enhanced thermoelectric performance,A proposed general performance enhancement is given without a metric; it cannot be equated with an observed thermogalvanic outcome.
g0039,m02035,TG:P0162:performance,Enhanced thermoelectric performance,“Giant thermoelectric performance” and increased hybrid entropy do not specify which performance quantity is enhanced or by what comparison.
g0041,m01014,TG:P0082:sensitivity,High sensing sensitivity,"Sensitivity concerns deformation-dependent current through resistance gating, but its metric and stimulus basis are unspecified."
g0041,m01051,TG:P0084:sensitivity,High sensing sensitivity,Motion and pressure sensing are described without a sensitivity metric sufficient to establish equivalence with the other mention.
g0064,m02433,TG:P0191:se,High Seebeck coefficient,"The evidence reports a high Seebeck coefficient but does not identify its ionic, electronic, or thermogalvanic character sufficiently to establish equivalence."
g0065,m01810,TG:P0142:stability,Excellent thermoelectric stability,"Stability across a broad temperature range is asserted, but the thermoelectric property retained and stability criterion are unspecified."
g0065,m03413,TG:P0272:te,Excellent thermoelectric stability,"Thermoelectric stability is asserted without a tested property, operating condition, or retention criterion establishing its meaning or equivalence."
g0070,m01941,TG:P0154:performance,Enhanced thermoelectrochemical performance,"Improvement over platinum electrodes is stated, but the performance metrics are unspecified, preventing a well-defined equivalent concept."
g0070,m02178,TG:P0172:n6,Enhanced thermoelectrochemical performance,"Solvation structures explain an asserted performance enhancement, but the affected metrics and comparison baseline are not supplied."
g0075,m02102,TG:P0167:mechanical,Enhanced mechanical properties,"The network is said to enhance mechanical properties, but the particular properties and improvement criteria are unspecified."
g0075,m02515,TG:P0199:mech,Enhanced mechanical properties,"Mechanical enhancement and a comparison class are supplied, but no specific mechanical quantities establish equivalence with the other occurrence."
g0092,m03004,TG:P0244:ion,Nature of ions,“Nature of ions” does not specify which ionic characteristic is represented; the entropy context cannot resolve its meaning.
