hypothesis_variant_id,variant_status,program_id,program_rule_code,program_title_cn,source_insight_id,source_paper_id,source_year,source_title,source_doi,source_evidence_tier,source_evidence_level,source_hypothesis_lane,source_scope_route,source_lever_codes,source_levers_cn,source_claim,source_intervention_evidence,source_mechanism_evidence,source_outcome_evidence,target_paper_id,target_title,target_material,target_mechanism,edge_type,mapping_basis,rule_match_locations,match_location,rule_match_support_class,scope_caveat,direction_conflict,manual_review_reason,manual_review_recommended,evidence_edge_status,claim_direct_rule_match,rule_match_verified,priority_score,candidate_status,candidate_status_cn,positive_control,translation_mode,translation_mode_cn,target_redox_family,target_redox_system_cn,TG_bottleneck_cn,concrete_iTE_plus_TG_design_cn,causal_chain_cn,primary_readouts_cn,critical_controls_cn,failure_modes_cn,direct_TG_prior_art_count,source_coupled_precedent_count,related_TG_prior_art_count
HYP_1d81bcee4f88,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_2E04AF0B9E,P0347,2025,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels,10.1016/j.cej.2025.165667,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,fixed_charge_selectivity; oriented_or_confined_channels; moisture_or_evaporation_gradient,固定电荷/离子选择性; 取向/限域离子通道; 湿度/蒸发梯度,reconstructed lignocellulose ion channels enriched with negative charges and fixed anions promote rapid selective cation migration under a temperature gradient,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.","The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.","As a result, the optimized RW i-TE achieves a high thermopower (Si) of +39.1 mV K- 1 and an ionic figure of merit (zTi) of 1.68 at 50 % relative humidity, delivering an energy density of 68.75 J m- 2 over 2 h of discharging under a 5 K temperature gradient in generator mode.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,claim; intervention; mechanism,claim; intervention; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_11a24136ca5e,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_31705280C8,P0338,2025,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,10.1002/smll.202501960,B_direct_needs_evidence_repair,E2_mechanism_and_outcome_exact_needs_repair,H2_repair_then_test,core_iTE,oriented_or_confined_channels,取向/限域离子通道,"oxygen-containing functional groups and oriented ionic transport nanochannels maintain ionic transport, enable electrolyte replenishment after drying, and support long-term thermopower recovery","In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.","Notably, even after being air-dried for 135 days, its thermopower returns to 87% of the original value through replenishing electrolyte solution and its 3D shape fully recovers.","Notably, even after being air-dried for 135 days, its thermopower returns to 87% of the original value through replenishing electrolyte solution and its 3D shape fully recovers.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,claim; intervention,claim; intervention,claim_direct_support,,False,,False,accepted_claim_direct,True,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_953fe8be1476,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_8999AEDED8,P0345,2025,Ionic thermoelectric performance of cement and its modifications,10.1016/j.cscm.2024.e04186,B_direct_needs_evidence_repair,E1_partial_exact_evidence,H3_inspiration,core_iTE,oriented_or_confined_channels,取向/限域离子通道,pure cement thermopower is attributed to water diffusion inside CNT nanochannels and cement microcracks/capillaries,"Pure cement samples without any modifications produced significant values up to 28 mV/K for the Seebeck coefficient, which can be explained by the diffusion of water inside the CNT nanochannels and its flow in cement microcracks and capillaries.",Ionic thermoelectric materials integrated into the concrete members of buildings have potential to generate electric energy utilizing thermal gradients.,"Pure cement samples without any modifications produced significant values up to 28 mV/K for the Seebeck coefficient, which can be explained by the diffusion of water inside the CNT nanochannels and its flow in cement microcracks and capillaries.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,claim; intervention; outcome,claim; intervention; outcome,claim_direct_support,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,False,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,True,accepted_with_scope_caveat,True,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_ad24903c6c67,mapped_to_curated_complementarity_program,PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,INSIGHT_9CF975448A,P1057,2025,Moisture-gradient-enhanced ionic thermoelectrics,10.1038/s41467-025-66027-w,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,moisture_or_evaporation_gradient,湿度/蒸发梯度,"coupled heat and moisture gradients drive fast selective ion transport, increasing ionic thermopower and output energy",We attribute the enhanced performance to fast and selective ion transport driven by coupled heat and moisture transfer.,We attribute the enhanced performance to fast and selective ion transport driven by coupled heat and moisture transfer.,"The MGITG exhibits an ionic thermopower of 34.02 mV K-1, a high open-circuit voltage of 644.19 mV, and an ultrahigh 1 h output energy density of 917.54 J m-2.",P0010,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,water evaporation-enhanced thermogalvanic cell electrolyte,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",iTE_lever_complements_TG_system,curated_rule:moisture_gradient_tg_positive_control; no semantic-similarity inference,claim,claim,claim_direct_support,,False,,False,accepted_claim_direct,True,True,85,known_TG_precedent_positive_control,已知 TG 先例：用于证明互补规则能找回真实组合，不作为新颖性主张。,True,known_iTE_TG_combination,已知 iTE+TG 组合/迁移正对照,any_tg,通用 TG 红氧体系,外部温差和红氧浓度差都会随运行衰减。,在冷端设置受控蒸发界面，同时测量降温与局部浓缩对 TG 输出的独立贡献。,蒸发冷却扩大 ΔT + 冷端浓缩改变活度 → TG 电压/功率提高。,内部温度场、蒸发速率、浓度剖面、dE/dT 和净能量。,密封无蒸发、等温浓缩和仅冷却对照。,水损失造成不可逆漂移，泵水/补水能耗超过发电收益。,2,0,4
HYP_baf93b0c0973,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_7ADD248CA7,P0355,2024,Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting,10.1016/j.cej.2024.148797,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,coordination_or_ion_pairing; hydration_and_solvation; oriented_or_confined_channels; self_healing_or_tough_gel,配位/离子对; 水合与溶剂化; 取向/限域离子通道; 自修复/强韧凝胶,synergistic coordination and hydration plus subnanometer ion confinement in oriented chains facilitate selective ion migration under a temperature gradient,Selective migration of conducting ions down thermal gradients is facilitated by subnanometer-scale confinement of ions in oriented aligned cellulose and polymer molecular chains.,Selective migration of conducting ions down thermal gradients is facilitated by subnanometer-scale confinement of ions in oriented aligned cellulose and polymer molecular chains.,"In addition, the oriented and ordered arrangement of the internal structure endows the hydrogel with excellent mechanical properties, and the tensile strength of the thermoelectric hydrogel reaches up to 2.89 MPa with a toughness of 22.5 MJ/m3.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,claim; intervention; mechanism,claim; intervention; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_0fb79c9758b6,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_2E12EE9164,P0938,2024,Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,10.1007/s42765-023-00353-w,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,oriented_or_confined_channels; moisture_or_evaporation_gradient; thermodiffusion_or_soret,取向/限域离子通道; 湿度/蒸发梯度; 热扩散/Soret,water and thermal gradients drive streaming potential from ionic electrokinetics and ionic thermoelectric potential from Soret effect,The integration of ionic power generation with solar-driven water evaporation presents a promising solution to the critical global problems of freshwater scarcity and clean energy deficiency.,"The excellent ionic power generation is intimately related to the water and thermal gradients across the membrane, which not only induces fast water evaporation but also synergistically promotes the transport of counterions in charged nanochannels, and the corresponding mechanism is attributed to the streaming potential resulting from the ionic electrokinetic effect and the ionic thermoelectric potential originating from the Soret effect.","Under one sun illumination, the CC@PPy film can produce a sustained voltage output of similar to 0.7 V and a water evaporation rate up to 1.67 kg m(-2) h(-1) when an adequate water supply is available.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,mechanism,mechanism,role_sentence_support,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,False,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,True,accepted_with_scope_caveat,False,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_470b7be32c37,mapped_to_curated_complementarity_program,PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,INSIGHT_2E12EE9164,P0938,2024,Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,10.1007/s42765-023-00353-w,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,oriented_or_confined_channels; moisture_or_evaporation_gradient; thermodiffusion_or_soret,取向/限域离子通道; 湿度/蒸发梯度; 热扩散/Soret,water and thermal gradients drive streaming potential from ionic electrokinetics and ionic thermoelectric potential from Soret effect,The integration of ionic power generation with solar-driven water evaporation presents a promising solution to the critical global problems of freshwater scarcity and clean energy deficiency.,"The excellent ionic power generation is intimately related to the water and thermal gradients across the membrane, which not only induces fast water evaporation but also synergistically promotes the transport of counterions in charged nanochannels, and the corresponding mechanism is attributed to the streaming potential resulting from the ionic electrokinetic effect and the ionic thermoelectric potential originating from the Soret effect.","Under one sun illumination, the CC@PPy film can produce a sustained voltage output of similar to 0.7 V and a water evaporation rate up to 1.67 kg m(-2) h(-1) when an adequate water supply is available.",P0010,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,water evaporation-enhanced thermogalvanic cell electrolyte,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",iTE_lever_complements_TG_system,curated_rule:moisture_gradient_tg_positive_control; no semantic-similarity inference,intervention; mechanism; outcome,intervention; mechanism; outcome,role_sentence_support,,False,,False,accepted_role_sentence_support,False,True,85,known_TG_precedent_positive_control,已知 TG 先例：用于证明互补规则能找回真实组合，不作为新颖性主张。,True,known_iTE_TG_combination,已知 iTE+TG 组合/迁移正对照,any_tg,通用 TG 红氧体系,外部温差和红氧浓度差都会随运行衰减。,在冷端设置受控蒸发界面，同时测量降温与局部浓缩对 TG 输出的独立贡献。,蒸发冷却扩大 ΔT + 冷端浓缩改变活度 → TG 电压/功率提高。,内部温度场、蒸发速率、浓度剖面、dE/dT 和净能量。,密封无蒸发、等温浓缩和仅冷却对照。,水损失造成不可逆漂移，泵水/补水能耗超过发电收益。,2,0,4
HYP_7ff48876147f,mapped_to_curated_complementarity_program,PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,INSIGHT_E9E57401E2,P0371,2024,Solar Heating Modulated by Evaporative Cooling Provides Intermittent Temperature Gradients for Ionic Thermoelectric Supercapacitors,10.1002/adfm.202407948,B_direct_needs_evidence_repair,E1_partial_exact_evidence,H3_inspiration,core_iTE,moisture_or_evaporation_gradient; photothermal_or_heat_management,湿度/蒸发梯度; 光热/热管理,"solar heating plus water infiltration/evaporative cooling creates intermittent temperature gradients, enabling repeated ITESC charge-discharge operation",Precise control over charge and discharge durations can be achieved by adjusting the volume and interval of the added water.,"However, the heating process even at constant solar illumination can be converted to temperature oscillations through water infiltration and evaporation.",,P0010,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,water evaporation-enhanced thermogalvanic cell electrolyte,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",iTE_lever_complements_TG_system,curated_rule:moisture_gradient_tg_positive_control; no semantic-similarity inference,claim; mechanism,claim; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True,85,known_TG_precedent_positive_control,已知 TG 先例：用于证明互补规则能找回真实组合，不作为新颖性主张。,True,known_iTE_TG_combination,已知 iTE+TG 组合/迁移正对照,any_tg,通用 TG 红氧体系,外部温差和红氧浓度差都会随运行衰减。,在冷端设置受控蒸发界面，同时测量降温与局部浓缩对 TG 输出的独立贡献。,蒸发冷却扩大 ΔT + 冷端浓缩改变活度 → TG 电压/功率提高。,内部温度场、蒸发速率、浓度剖面、dE/dT 和净能量。,密封无蒸发、等温浓缩和仅冷却对照。,水损失造成不可逆漂移，泵水/补水能耗超过发电收益。,2,0,4
HYP_16a9004d4571,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_23F6CF3DAD,P0564,2023,Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels,10.1021/acs.nanolett.3c02469,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,oriented_or_confined_channels; thermodiffusion_or_soret,取向/限域离子通道; 热扩散/Soret,ion steric effect coupled with ion thermodiffusion in electric double layers enhances nanochannel Seebeck coefficient,"Here, we reveal a new thermoelectric mechanismarising from the coupling of the ion steric effect due to finite ionsizes and ion thermodiffusion in electric double layers, using boththeoretical and numerical methods.","Ionic thermoelectricity in nanochannelshas received increasingattention because of its advantages, such as high Seebeck coefficientand low cost.","We show that this mechanism cansignificantly enhance the thermoelectric response in nanoconfinedelectrolytes depending on the properties of electrolytes and nanochannels.Compared to the previously known mechanisms, the new mechanism canincrease the Seebeck coefficient by 100% or even 1 order of magnitudeenhancement under optimal conditions.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,claim; mechanism; outcome,claim; mechanism; outcome,claim_direct_support,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,False,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,True,accepted_with_scope_caveat,True,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
HYP_793c950fc0c9,mapped_to_curated_complementarity_program,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,INSIGHT_0FE8C218B8,P1053,2023,Effect of hydrodynamic slip on thermoelectric response in negatively-charged nanofluidic channels,10.1016/j.ijheatmasstransfer.2023.124454,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,thermoosmotic_slip; oriented_or_confined_channels; thermodiffusion_or_soret,热渗透与滑移增强; 取向/限域离子通道; 热扩散/Soret,"temperature-dependent mobility, Soret thermodiffusion, and slip-amplified thermoosmosis control ionic thermoelectric response",The results showed that TDIEM and thermoosmosis primarily dominate the thermoelectric response of elec-trolyte confined in slip nanochannels in the presence of the overlapping electrical double layer.,"However, slip-amplified thermoosmosis greatly enhances the thermoelectric current at short-circuit condition, in the absence of the access resistance effect, leading to a significant improvement in the performance of ionic thermoelectricity in nanochannels with hydrody-namic slippage.","At a moderate slip length ranging from 10 to 50 nm, it was found that the normalized maximum power density in a 2 nm nanochannel exceeded 10 mW K -2 m -2, even under a small temper-ature difference of 10 K, which is one order of magnitude higher than the typical thermionic capacitors and thermocells.",P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,iTE_lever_complements_TG_system,curated_rule:oriented_channel_ferricyanide; no semantic-similarity inference,intervention; mechanism; outcome,intervention; mechanism; outcome,role_sentence_support,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,False,CONFINEMENT_ONLY_NO_ORIENTATION_EVIDENCE: Generic nanochannel/confinement evidence; directional or oriented redox transport is not established.,True,accepted_with_scope_caveat,False,True,85,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,False,iTE_lever_adapted_into_TG,把 iTE 操作旋钮迁移到 TG 组件,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,各向异性骨架 → 纵向低曲折度扩散 + 横向承力 → 在不降低机械寿命的情况下减小传质阻抗 → 功率和耐久性同时提高。,纵/横向扩散与电导、EIS、拉伸/疲劳、dE/dT、稳态功率和失水循环。,同组成随机取向网络、同模量各向同性网络和液态电解质。,通道优先传输支持盐而非红氧物种；取向降低横向电极接触或加剧泄漏。,1,0,3
