class_id,group_index,pair_id,left_mention_id,right_mention_id,dsh_relation,dsh_reason,judge_equivalence_decision,judge_risk_disposition,judge_reason,judge_hierarchy_direction,source_locator
iTE:P1958:n2,0,pair:7632e7f09099c8c9bab3,iTE:P0334:n3,iTE:P0350:n5,broader_than,"left 为泛指的 Seebeck 系数，right 以""ionic""限定为离子 Seebeck 系数，right 是 left 的具体种类。",accept,hierarchy_warning_rejected_by_shared_definition,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:7632e7f09099c8c9bab3
iTE:P1958:n2,0,pair:3f9f983296507f4113c0,iTE:P0334:n3,iTE:P0399:n2,broader_than,左侧泛指 Seebeck 系数，右侧限定为 ionic（离子）Seebeck 系数，限定条件构成概念定义，属通用对具体的关系。,accept,hierarchy_warning_rejected_by_shared_definition,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:3f9f983296507f4113c0
iTE:P1958:n2,0,pair:d1a86db81dba52ae09ad,iTE:P0334:n3,iTE:P0941:n2,broader_than,左侧泛指 Seebeck 系数，右侧为带“high”限定词的受限概念，右侧可归入左侧，故 left 更宽泛。,reject,keep_separate_hierarchy_direction_not_asserted,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 高电子Seebeck系数,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:d1a86db81dba52ae09ad
iTE:P1958:n2,0,pair:2b83209cd88491d5aaa5,iTE:P0334:n3,iTE:P1544:n3,broader_than,left 泛指 Seebeck 系数（复数，一般性指标），right 限定为“large”的高值情形，属更受限概念，故 left 更宽。,reject,keep_separate_hierarchy_direction_not_asserted,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 高电子Seebeck系数,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:2b83209cd88491d5aaa5
iTE:P1958:n2,0,pair:6075dd81a25e38d1f131,iTE:P0336:n3,iTE:P0362:n4,narrower_than,左侧限定了离子来源（ionic），是右侧泛称“thermopower”中更具体的种类，left IS-A right。,accept,hierarchy_warning_rejected_by_shared_definition,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:6075dd81a25e38d1f131
iTE:P1958:n2,0,pair:0a2f8d8acc03413bd159,iTE:P0336:n3,iTE:P0436:n3,broader_than,左侧是泛指离子热电势，右侧用large限定为高值离子热电势，属受限定/更具体的子类，左侧更宽泛。,reject,keep_separate_hierarchy_direction_not_asserted,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 大离子热电势系数,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:0a2f8d8acc03413bd159
iTE:P1958:n2,0,pair:956d9f0676376bb2b3e9,iTE:P0336:n3,iTE:P0461:n2,narrower_than,与前一对照一致：right 泛指 thermopower，left 限定为 ionic thermopower，left 是 right 的受限更具体概念。,accept,hierarchy_warning_rejected_by_shared_definition,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:956d9f0676376bb2b3e9
iTE:P1958:n2,0,pair:216ce4d7a66b9a6e9dc7,iTE:P0336:n3,iTE:P0786:n2,narrower_than,left 明确为 ionic thermopower，right 为一般 thermo-power；前者是后者的一种具体类型。,accept,hierarchy_warning_rejected_by_shared_definition,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:216ce4d7a66b9a6e9dc7
iTE:P1958:n2,0,pair:38fd9fb02610b2c375c5,iTE:P0336:n3,iTE:P1487:n3,narrower_than,left 明确限定为 ionic thermopower，是 thermopower 的一种具体类型，right 为一般热电势概念。,reject,keep_separate_hierarchy_direction_not_asserted,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 电子Seebeck系数,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:38fd9fb02610b2c375c5
iTE:P1958:n2,0,pair:7cb9a9f3c1f4d3b0381a,iTE:P0336:n3,iTE:P1614:n3,narrower_than,左侧限定为“ionic thermopower”（离子热扩散贡献的热电势），是右侧泛指 thermopower 的受限子类。,reject,keep_separate_hierarchy_direction_not_asserted,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 红氧电化学Seebeck系数,not_adjudicated_as_formal_relation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/review_results.csv::pair_id=pair:7cb9a9f3c1f4d3b0381a
