program_id,program_rule_code,program_title_cn,candidate_status,positive_control,batch_id,batch_order,batch_name_cn,cost_level_cn,entry_stage,source_lever_code,source_lever_cn,target_redox_family,target_redox_system_cn,independent_source_paper_count,independent_source_claim_count,evidence_path_count,claim_direct_count,role_sentence_count,claim_direct_fraction,scope_caveat_count,scope_caveat_fraction,A_direct_ready_count,B_needs_repair_count,C_adjacent_count,P_coupled_benchmark_count,weighted_evidence_mass,mean_evidence_path_weight,paper_concentration_hhi,source_year_min,source_year_max,direct_TG_prior_art_count,related_TG_prior_art_count,source_coupled_precedent_count,same_lever_other_program_count,same_target_other_program_count,explicit_structural_peer_count,action_component_id,action_component_program_count,score_interpretation,evidence_reading_order
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,mechanism_extension_white_space,False,B2,1.0,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,fixed_charge_selectivity,固定电荷/离子选择性,iodide_triiodide,I−/I3−,10,11,11,8,3,0.7273,0,0.0,5,2,3,1,7.83,0.7118,0.1074,2020,2025,0,2,0,1,4,5,1,12,evidence coverage only; not experimental success probability,1
PRG_cf22ac785fee,antifreeze_cobalt_ionogel,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct_TG_precedent_upgrade_candidate,False,B3,3.0,Fe/Cu/Co 变温配位与溶剂平台,中到高,S1_solution_or_interface_gate,antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,cobalt_complex,Co 配合物氧化还原对,11,12,12,8,4,0.6667,3,0.25,3,3,5,1,6.7495,0.5625,0.0972,2016,2025,5,0,0,0,0,0,5,1,evidence coverage only; not experimental success probability,2
PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,False,B1,3.0,ferri/ferrocyanide 共用平台,低到中,S2_material_coupon,oriented_or_confined_channels,取向/限域离子通道,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,10,10,10,8,2,0.8,7,0.7,7,2,1,0,6.11,0.611,0.1,2018,2025,1,3,0,0,6,6,1,12,evidence coverage only; not experimental success probability,3
PRG_791da0044d52,osmotic_gradient_plus_tg,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct_TG_precedent_upgrade_candidate,False,B1,5.0,ferri/ferrocyanide 共用平台,低到中,S2_component_or_membrane_cell,osmotic_or_concentration_gradient,渗透/浓度梯度,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,9,10,10,8,2,0.8,2,0.2,2,2,5,1,5.625,0.5625,0.12,2014,2025,5,0,0,0,6,6,1,12,evidence coverage only; not experimental success probability,4
PRG_00699a1a9edc,reconfigurable_auxiliary_soret_tg,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,False,B2,5.0,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S3_hybrid_device_only_after_gate,polarity_switching,热电极性切换,iodide_triiodide,I−/I3−,5,6,6,5,1,0.8333,4,0.6667,6,0,0,0,4.19,0.6983,0.2222,2020,2025,2,0,0,0,4,4,1,12,evidence coverage only; not experimental success probability,5
PRG_e34db5baa25d,coordination_tuned_copper_tg,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,False,B3,2.0,Fe/Cu/Co 变温配位与溶剂平台,中到高,S1_solution_or_interface_gate,coordination_or_ion_pairing,配位/离子对,copper,Cu/Cu2+ 或 Cu 配合物,4,5,5,3,2,0.6,0,0.0,2,0,3,0,3.1075,0.6215,0.28,2022,2025,1,1,0,0,0,0,6,1,evidence coverage only; not experimental success probability,6
PRG_88a7efad7dbd,manning_condensation_ferricyanide,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,mechanism_extension_white_space,False,B1,1.0,ferri/ferrocyanide 共用平台,低到中,S1_solution_or_interface_gate,counterion_condensation,Manning 反离子凝聚,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,3,3,3,3,0,1.0,0,0.0,2,1,0,0,2.75,0.9167,0.3333,2023,2025,0,1,0,0,6,6,1,12,evidence coverage only; not experimental success probability,7
PRG_17b64f2815f3,ion_electron_conveyor_fe,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,direct_TG_precedent_upgrade_candidate,False,B3,4.0,Fe/Cu/Co 变温配位与溶剂平台,中到高,S2_material_coupon,ion_electron_coupling,离子–电子耦合,fe_ii_iii,Fe2+/Fe3+,3,3,3,2,1,0.6667,0,0.0,2,1,0,0,2.4875,0.8292,0.3333,2023,2025,1,0,0,0,1,1,2,2,evidence coverage only; not experimental success probability,8
PRG_08afbdcdbb17,water_proton_gradient_qhq,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,direct_TG_precedent_upgrade_candidate,False,B2,4.0,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S2_material_coupon,water_assisted_proton_transport,水辅助质子输运,quinone_hydroquinone,醌/氢醌（Q/HQ）,3,3,3,3,0,1.0,0,0.0,2,0,0,1,2.45,0.8167,0.3333,2021,2023,0,2,1,0,1,1,4,2,evidence coverage only; not experimental success probability,9
PRG_4e691dc1cea3,thermoosmotic_slip_ferricyanide,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,mechanism_extension_white_space,False,B1,6.0,ferri/ferrocyanide 共用平台,低到中,S2_component_or_flow_loop,thermoosmotic_slip,热渗透与滑移增强,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,3,3,3,3,0,1.0,0,0.0,1,1,1,0,2.3,0.7667,0.3333,2023,2025,0,10,0,0,6,6,1,12,evidence coverage only; not experimental success probability,10
PRG_0f7a0b8392d8,donnan_interphase_ferricyanide,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,direct_TG_precedent_upgrade_candidate,False,B1,2.0,ferri/ferrocyanide 共用平台,低到中,S1_solution_or_interface_gate,fixed_charge_selectivity,固定电荷/离子选择性,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,2,2,2,2,0,1.0,0,0.0,1,0,1,0,1.55,0.775,0.5,2016,2022,1,0,0,1,6,7,1,12,evidence coverage only; not experimental success probability,11
PRG_4cca4840d8f1,hydrophobic_domain_triiodide,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,direct_TG_precedent_upgrade_candidate,False,B2,2.0,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,hydrophobic_partitioning,疏水微区分配,iodide_triiodide,I−/I3−,2,2,2,2,0,1.0,1,0.5,1,0,1,0,1.33,0.665,0.5,2022,2025,2,3,0,0,4,4,1,12,evidence coverage only; not experimental success probability,12
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,mechanism_extension_white_space,False,B3,1.0,Fe/Cu/Co 变温配位与溶剂平台,中到高,S1_solution_or_interface_gate,anion_entanglement,阴离子缠结,fe_ii_iii,Fe2+/Fe3+,1,1,1,1,0,1.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2023,2023,0,1,0,0,1,1,2,2,evidence coverage only; not experimental success probability,13
PRG_3680dde71847,zwitterion_ph_switch_qhq,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,new_cross_mechanism_hypothesis,False,B2,3.0,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,ph_or_protonation_switch,pH/质子化开关,quinone_hydroquinone,醌/氢醌（Q/HQ）,1,1,1,1,0,1.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2024,2024,0,2,0,0,1,1,4,2,evidence coverage only; not experimental success probability,14
PRG_55d2dd45b552,ordered_ion_printing_ferricyanide,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,direct_TG_precedent_upgrade_candidate,False,B1,4.0,ferri/ferrocyanide 共用平台,低到中,S2_material_coupon,ordered_ion_printing,有序离子打印,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,1,1,1,1,0,1.0,0,0.0,0,1,0,0,0.75,0.75,1.0,2025,2025,1,0,0,0,6,6,1,12,evidence coverage only; not experimental success probability,15
PRG_086c824d735e,moisture_gradient_tg_positive_control,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,True,CONTROL,,正对照,,positive_control,moisture_or_evaporation_gradient,湿度/蒸发梯度,any_tg,通用 TG 红氧体系,5,6,6,4,2,0.6667,0,0.0,4,1,1,0,4.6,0.7667,0.2222,2021,2025,2,4,0,0,1,1,3,2,evidence coverage only; not experimental success probability,1
PRG_99097fe0f5e3,pyroelectric_tg_positive_control,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,known_TG_precedent_positive_control,True,CONTROL,,正对照,,positive_control,pyroelectric_hybrid,热释电混合,any_tg,通用 TG 红氧体系,1,1,1,1,0,1.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2019,2019,1,3,0,0,1,1,3,2,evidence coverage only; not experimental success probability,2
PRG_bee069aa7a26,alpha_cd_triiodide_positive_control,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,True,CONTROL,,正对照,,positive_control,host_guest_complexation,主–客体络合,iodide_triiodide,I−/I3−,1,1,1,1,0,1.0,0,0.0,1,0,0,0,1.0,1.0,1.0,2025,2025,1,2,0,1,4,5,1,12,evidence coverage only; not experimental success probability,3
PRG_a4dbfa46d1fd,micellization_triiodide_positive_control,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,known_TG_precedent_positive_control,True,CONTROL,,正对照,,positive_control,phase_or_species_transition,相变/物种转变,iodide_triiodide,I−/I3−,1,1,1,1,0,1.0,0,0.0,0,1,0,0,0.75,0.75,1.0,2023,2023,2,0,0,0,4,4,1,12,evidence coverage only; not experimental success probability,4
PRG_be2befc69363,crown_ether_soret_positive_control,正对照：冠醚增强 K+ 热扩散，可与 ferri/ferrocyanide TG 电压叠加,known_TG_precedent_positive_control,True,CONTROL,,正对照,,positive_control,host_guest_complexation,主–客体络合,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,1,1,1,1,0,1.0,0,0.0,0,0,0,1,0.45,0.45,1.0,2025,2025,1,0,0,1,6,7,1,12,evidence coverage only; not experimental success probability,5
