relation_id,domain,paper_id,title,year,subject,predicate,object,assertion_type,quote,full_abstract,stratum,stratum_population,stratum_sample,inclusion_probability,inverse_probability_weight,human_evidence_valid,human_direction_valid,human_assertion_valid,human_conditions_preserved,human_overall_label,human_error_type,human_reason,reviewer_id,reviewed_at,review_status
iTE:P1098:r001,iTE,P1098,Achieving an excellent thermoelectric performance in nanostructured copper sulfide bulk via a fast doping strategy,2019,low-frequency localized vibrations from the Cu ionic migration and Cu vacancies,accounts for,intrinsically low lattice thermal conductivity,author_claim,"Although the Cu1.8S compound consisting of cheap and earth-abundant elements has been reported to be a potential candidate of thermoelectric material, its thermoelectric performance is not very high. In this work, a fast doping strategy is offered to introduce both point defects and nanostructures into thermoelectric materials to improve the performance. Ball-milled Cu1.8S powders were mixed with different amounts of In2S3 powders and were then sintered into bulk samples by the spark plasma sintering (SPS) technique. During the SPS process, In2S3 was doped into the Cu1.8S matrix at 723 K for 10 min, and the fast doping process results in point defects and nanostructures of the Cu1.8S bulk sample including nanopores and those with an included second phase. On the one hand, In doping increased the effective mass of charge carriers in Cu1.8S and improved the Seebeck coefficient, whereas on the other hand, the nanostructures reduced thermal conductivity significantly. The phase structure and microstructure of Cu1.8S bulks are highly dependent on the In2S3 content. Density functional theory calculations revealed that Cu1.8S has an intrinsically low lattice thermal conductivity because of low-frequency localized vibrations from the Cu ionic migration and Cu vacancies. As a result, Cu1.8S+3 wt% In2S3 bulk sample achieved a ZT value of similar to 1.4 at 773 K compared with that of 0.45 at 773 K for the pristine Cu1.8S sample; this value is the highest ZT value in sulfide thermoelectric materials at this temperature. The fast doping strategy demonstrated in this work can also be applied for reducing thermal conductivity and improving ZT values of other thermoelectric systems. (C) 2019 Elsevier Ltd. All rights reserved.","Although the Cu1.8S compound consisting of cheap and earth-abundant elements has been reported to be a potential candidate of thermoelectric material, its thermoelectric performance is not very high. In this work, a fast doping strategy is offered to introduce both point defects and nanostructures into thermoelectric materials to improve the performance. Ball-milled Cu1.8S powders were mixed with different amounts of In2S3 powders and were then sintered into bulk samples by the spark plasma sintering (SPS) technique. During the SPS process, In2S3 was doped into the Cu1.8S matrix at 723 K for 10 min, and the fast doping process results in point defects and nanostructures of the Cu1.8S bulk sample including nanopores and those with an included second phase. On the one hand, In doping increased the effective mass of charge carriers in Cu1.8S and improved the Seebeck coefficient, whereas on the other hand, the nanostructures reduced thermal conductivity significantly. The phase structure and microstructure of Cu1.8S bulks are highly dependent on the In2S3 content. Density functional theory calculations revealed that Cu1.8S has an intrinsically low lattice thermal conductivity because of low-frequency localized vibrations from the Cu ionic migration and Cu vacancies. As a result, Cu1.8S+3 wt% In2S3 bulk sample achieved a ZT value of similar to 1.4 at 773 K compared with that of 0.45 at 773 K for the pristine Cu1.8S sample; this value is the highest ZT value in sulfide thermoelectric materials at this temperature. The fast doping strategy demonstrated in this work can also be applied for reducing thermal conductivity and improving ZT values of other thermoelectric systems. (C) 2019 Elsevier Ltd. All rights reserved.",author_claim|2016_2021|simple_1or2_nodes,257,12,0.04669260700389105,21.416666666666668,,,,,,,,,,pending_human
iTE:P0451:r001,iTE,P0451,Mixed Ionic-Electronic Conducting Hydrogels with Carboxylated Carbon Nanotubes for High Performance Wearable Thermoelectric Harvesters,2023,ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH,facilitates,ionic conductivity,author_claim,"Mixed ionic-electronic conducting (MIEC) thermoelectric (TE) materials offer higher ionic conductivity and ionic Seebeck coefficient compared to those of purely ionic-conducting TE materials. These characteristics make them suitable for direct use in thermoelectric generators (TEGs) as the charge carriers can be effectively transported from one electrode to the other via the external circuit. In the present study, MIEC hydrogels are fabricated via the chemical cross-linking of polyacrylamide (PAAM) and polydopamine (PDA) to form a double network. In addition, electrically conducting carboxylated carbon nanotubes (CNT-COOH) are dispersed evenly within the hydrogel via sonication and interaction with the PDA. Moreover, the electrical properties of the hydrogel are further improved via the in situ polymerization of polyaniline (PANI). The presence of CNT-COOH facilitates the ionic conductivity and enhances the ionic Seebeck coefficient via ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH, which can be observed in X-ray photoelectron spectroscopy results, thereby promoting the charge transport properties.","Mixed ionic-electronic conducting (MIEC) thermoelectric (TE) materials offer higher ionic conductivity and ionic Seebeck coefficient compared to those of purely ionic-conducting TE materials. These characteristics make them suitable for direct use in thermoelectric generators (TEGs) as the charge carriers can be effectively transported from one electrode to the other via the external circuit. In the present study, MIEC hydrogels are fabricated via the chemical cross-linking of polyacrylamide (PAAM) and polydopamine (PDA) to form a double network. In addition, electrically conducting carboxylated carbon nanotubes (CNT-COOH) are dispersed evenly within the hydrogel via sonication and interaction with the PDA. Moreover, the electrical properties of the hydrogel are further improved via the in situ polymerization of polyaniline (PANI). The presence of CNT-COOH facilitates the ionic conductivity and enhances the ionic Seebeck coefficient via ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH, which can be observed in X-ray photoelectron spectroscopy results, thereby promoting the charge transport properties. As a result, the optimum device exhibits a remarkable ionic conductivity of 175.3 mS cm(-1) and a high ionic Seebeck coefficient of 18.6 mV K-1, giving an ionic power factor (PF i ) of 6.06 mW m(-1) K-2 with a correspondingly impressive ionic figure of merit (ZT i ) of 2.65. These values represent significant achievements within the field of gel-state organic TE materials. Finally, a wearable module is fabricated by embedding the PAAM/PDA/CNT-COOH/PANI hydrogel into a poly-(dimethylsiloxane) mold. This configuration yields a high power density of 171.4 mW m(-2), thus highlighting the considerable potential for manufacturing TEGs for wearable devices capable of harnessing waste heat.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1815:r001,iTE,P1815,"Crystal Growth and Intrinsic Properties of ACrX2 (A = Cu, Ag; X = S, Se) without a Secondary Phase",2016,modified CVT technique with appropriate heat treatments,successfully produces,pure single crystals of CuCrX2,author_claim,"ACrX(2) (A = Cu, Ag; X = S, Se) compounds have a layered triangular structure similar to that of delafossites. In addition to a large variety of physical and chemical properties found in centrosymmetric delafossites, the broken inversion symmetry along the c-axis in this system leads to the emergence of additional functionalities such as piezoelectric, pyroelectric, and/or nonlinear optical properties. We found that the chemical vapor transport (CVT) technique using CrCl3 was the best growth method for ACrX(2). In the case of A = Cu, however, a standard CVT procedure always produced a certain amount of a secondary phase, identified as the CuCr2X4 spinet,which significantly affected magnetic and transport properties. By a modified CVT technique with appropriate heat treatments, pure single crystals of CuCrX2 were successfully grown. The resistivity of ACrX(2) was systematically changed by the combinations of A and X atoms. In contrast to metallic selenides, sulfides were confirmed to be insulators with giant anisotropy (10(2) approximate to 10(3)) between the out-of-plane (c-direction) and the in-plane (ab-plane) resistivity. In both X = S and Se, resistivity for A = Ag was higher than that for A = Cu. The drastic change in resistivity without carrier doping suggests that ionic conductivity and strong electron correlations play an important role in these materials.","ACrX(2) (A = Cu, Ag; X = S, Se) compounds have a layered triangular structure similar to that of delafossites. In addition to a large variety of physical and chemical properties found in centrosymmetric delafossites, the broken inversion symmetry along the c-axis in this system leads to the emergence of additional functionalities such as piezoelectric, pyroelectric, and/or nonlinear optical properties. We found that the chemical vapor transport (CVT) technique using CrCl3 was the best growth method for ACrX(2). In the case of A = Cu, however, a standard CVT procedure always produced a certain amount of a secondary phase, identified as the CuCr2X4 spinet,which significantly affected magnetic and transport properties. By a modified CVT technique with appropriate heat treatments, pure single crystals of CuCrX2 were successfully grown. The resistivity of ACrX(2) was systematically changed by the combinations of A and X atoms. In contrast to metallic selenides, sulfides were confirmed to be insulators with giant anisotropy (10(2) approximate to 10(3)) between the out-of-plane (c-direction) and the in-plane (ab-plane) resistivity. In both X = S and Se, resistivity for A = Ag was higher than that for A = Cu. The drastic change in resistivity without carrier doping suggests that ionic conductivity and strong electron correlations play an important role in these materials.",author_claim|2016_2021|simple_1or2_nodes,257,12,0.04669260700389105,21.416666666666668,,,,,,,,,,pending_human
iTE:P1430:r001,iTE,P1430,Enhancement of the thermoelectric properties of PEDOT:PSS thin films by post-treatment,2013,interconnected network of elongated PEDOT grains,increases after DMSO treatment,electrical conductivity,author_claim,"In this work, the thermoelectric (TE) properties of poly(3,4-ethylenedioxylthiophene):poly(styrene sulfonate) (PEDOT:PSS) thin films at room temperature are studied. Different methods have been applied for tuning the TE properties: 1st addition of polar solvent, dimethyl sulfoxide (DMSO), into the PEDOT: PSS solution; 2nd post-treatment of thin films with a mixture of DMSO and ionic liquid, 1-ethyl-3-methylimidazolium tetrafluoroborate (EMIMBF4). It is verified that DMSO post-treatment is more efficient than DMSO addition in improving the electrical conductivity with a trivial change in the Seebeck coefficient. The power factor is increased up to 30.1 mu W mK(-2) for the film with DMSO post-treatment, while the optimized power factor by DMSO addition is 18.2 mu W mK(-2). It is shown that both DMSO addition and post-treatment induce morphological changes: an interconnected network of elongated PEDOT grains is generated, leading to higher electrical conductivity. In contrast, for those films post-treated in the presence of EMIMBF4, an interconnected network of short and circular PEDOT grains with increased polaron density is created, resulting in the improvement in the Seebeck coefficient and a concomitant compromise in the electrical conductivity. An optimized power factor of 38.46 mu W mK(-2) is achieved at 50 vol% of EMIMBF4, which is the highest reported so far for PEDOT: PSS thin films to our knowledge. Assuming a thermal conductivity of 0.17 W mK(-1), the corresponding ZT is 0.068 at 300 K. These results demonstrate that post-treatment is a promising approach to enhance the TE properties of PEDOT: PSS thin films. Furthermore, ionic liquid, EMIMBF4, shows the potential for tuning the TE properties of PEDOT: PSS thin films via a more environmentally benign process.","In this work, the thermoelectric (TE) properties of poly(3,4-ethylenedioxylthiophene):poly(styrene sulfonate) (PEDOT:PSS) thin films at room temperature are studied. Different methods have been applied for tuning the TE properties: 1st addition of polar solvent, dimethyl sulfoxide (DMSO), into the PEDOT: PSS solution; 2nd post-treatment of thin films with a mixture of DMSO and ionic liquid, 1-ethyl-3-methylimidazolium tetrafluoroborate (EMIMBF4). It is verified that DMSO post-treatment is more efficient than DMSO addition in improving the electrical conductivity with a trivial change in the Seebeck coefficient. The power factor is increased up to 30.1 mu W mK(-2) for the film with DMSO post-treatment, while the optimized power factor by DMSO addition is 18.2 mu W mK(-2). It is shown that both DMSO addition and post-treatment induce morphological changes: an interconnected network of elongated PEDOT grains is generated, leading to higher electrical conductivity. In contrast, for those films post-treated in the presence of EMIMBF4, an interconnected network of short and circular PEDOT grains with increased polaron density is created, resulting in the improvement in the Seebeck coefficient and a concomitant compromise in the electrical conductivity. An optimized power factor of 38.46 mu W mK(-2) is achieved at 50 vol% of EMIMBF4, which is the highest reported so far for PEDOT: PSS thin films to our knowledge. Assuming a thermal conductivity of 0.17 W mK(-1), the corresponding ZT is 0.068 at 300 K. These results demonstrate that post-treatment is a promising approach to enhance the TE properties of PEDOT: PSS thin films. Furthermore, ionic liquid, EMIMBF4, shows the potential for tuning the TE properties of PEDOT: PSS thin films via a more environmentally benign process.",author_claim|through_2015|simple_1or2_nodes,180,9,0.05,20.0,,,,,,,,,,pending_human
iTE:P1613:r002,iTE,P1613,Enhanced thermoelectric performance of PEDOT:PSS film by two-step post-treatment with mixed solvent based ionic liquid,2025,removing the insulating PSS,enhances,electrical conductivity,author_claim,H2SO4 and EMIM-DCA can enhance electrical conductivity by removing the insulating PSS and induce benzenoid-to-quinoid conformational transformation of the PEDOT chains.,"Thermoelectric (TE) materials and generators can convert thermal energy into electrical energy directly through temperature gradients to solve the pollution of waste heat and the energy crisis. Here, we adopted a two-step post-treatment of PEDOT:PSS films by sulfuric acid (H2SO4) and the new mixed solvent consisting of sodium borohydride (NaBH4) and 1-ethyl-3-methylimidazolyl dicyandiamide (EMIM-DCA). H2SO4 and EMIM-DCA can enhance electrical conductivity by removing the insulating PSS and induce benzenoid-to-quinoid conformational transformation of the PEDOT chains. NaBH4 as a reducing agent can reduce the dipolaritons of PEDOT to polaritons or neutral monomers, which can achieve an increase of the Seebeck coefficient. The second step post-treatment using mixed solvent of NaBH4+EMIM-DCA increased the Seebeck coefficient while maintaining a high level of electrical conductivity, generating the highest power factor of 95.1 mu W/m center dot K2 (electrical conductivity of 1214.3 S/cm and Seebeck coefficient of 28.0 mu V/K) at room temperature, which was one of the best results with mixed solvent posttreatment up to now. Besides, a 6-legs TE generator was prepared and achieved with the highest output voltage of 5.77 mV and highest output power of 23.43 nW under the Delta T of 30 K, which represented great prospects for the application in self-powered wearable electronics.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1087:r001,iTE,P1087,First-principles investigation of triaxial strain effects on the physical properties of Rb2TiBr6 double perovskite for photocatalytic and thermoelectric applications,2025,application of strain,enhances in calculation,figure of merit (ZT),author_claim,"In this study, we conduct a comprehensive computational investigation of the compound Rb2TiBr6, focusing on the influence of triaxial strain on its mechanical, electronic, optical, photocatalytic and thermoelectric properties. All calculations were performed within the framework of density functional theory (DFT) using the Wien2k computational package. Structural optimization was carried out with the Perdew-Burke-Ernzerhof generalized gradient approximation (PBE-GGA), while the modified Becke-Johnson (mBJ) potential was employed to evaluate the electronic and optical properties. In addition, the thermoelectric performance was assessed by combining DFT results with semi-classical Boltzmann transport theory (SBT). The optimized structure of Rb2TiBr6 adopts a cubic phase with a lattice parameter of 10.594 angstrom. The calculated elastic constants confirm its mechanical stability under different strain conditions. Further analysis indicates that the compound exhibits ductile and anisotropic characteristics, with bonding predominantly of ionic nature. The electronic band structure and density of states (DOS) confirm that Rb2TiBr6 is a semiconductor with an indirect band gap (Gamma-X), which increases from 1.952 eV to 2.115 eV as the applied strain varies from 0 % to 6 %. Optical analysis reveals strong absorption above 10(4) cm(-1) and low reflectivity in the visible region, highlighting its potential for photovoltaic applications. Furthermore, the material exhibits excellent photocatalytic activity, underscoring its suitability for water-splitting processes. Thermoelectric analysis reveals that the application of strain enhances the figure of merit (ZT), reaching similar to 3.5 at low temperature, which underscores the strong potential of Rb2TiBr6 for efficient thermoelectric energy conversion.","In this study, we conduct a comprehensive computational investigation of the compound Rb2TiBr6, focusing on the influence of triaxial strain on its mechanical, electronic, optical, photocatalytic and thermoelectric properties. All calculations were performed within the framework of density functional theory (DFT) using the Wien2k computational package. Structural optimization was carried out with the Perdew-Burke-Ernzerhof generalized gradient approximation (PBE-GGA), while the modified Becke-Johnson (mBJ) potential was employed to evaluate the electronic and optical properties. In addition, the thermoelectric performance was assessed by combining DFT results with semi-classical Boltzmann transport theory (SBT). The optimized structure of Rb2TiBr6 adopts a cubic phase with a lattice parameter of 10.594 angstrom. The calculated elastic constants confirm its mechanical stability under different strain conditions. Further analysis indicates that the compound exhibits ductile and anisotropic characteristics, with bonding predominantly of ionic nature. The electronic band structure and density of states (DOS) confirm that Rb2TiBr6 is a semiconductor with an indirect band gap (Gamma-X), which increases from 1.952 eV to 2.115 eV as the applied strain varies from 0 % to 6 %. Optical analysis reveals strong absorption above 10(4) cm(-1) and low reflectivity in the visible region, highlighting its potential for photovoltaic applications. Furthermore, the material exhibits excellent photocatalytic activity, underscoring its suitability for water-splitting processes. Thermoelectric analysis reveals that the application of strain enhances the figure of merit (ZT), reaching similar to 3.5 at low temperature, which underscores the strong potential of Rb2TiBr6 for efficient thermoelectric energy conversion.",author_claim|2022_onward|simple_1or2_nodes,428,21,0.04906542056074766,20.380952380952383,,,,,,,,,,pending_human
iTE:P1970:r001,iTE,P1970,"Hydrogen storage capacity, strain-improved formation enthalpy, desorption temperature, and high energy harvesting performance of SrGaH5",2026,increase in phonon scattering,causes via reduced phonon mean free path with rising temperature,decrease in lattice thermal conductivity,author_claim,"The study of hydrogen storage (HS) characteristics in complex hydrides has become a compelling goal in recent times. Therefore, we explore the SrGaH5 hydride by focusing on its potential for HS utilization and various physical aspects via first-principles calculations under hydrostatic strain. The results indicate that strain has a positive impact on the system's thermodynamics, which enhances its potential for practical applications as a HS material. The formation enthalpy and desorption temperature decrease to -42.93/-45.18 kJ per mol H2 and 306.67/322.74 K under -5%/+5% strain from the unstrained values of -48.03 kJ per mol H2 and 343.13 K, respectively. These values are nearly ideal, approaching the theoretical values of -40 kJ per mol H2 and 233-333 K, making it a promising candidate for HS uses. Furthermore, the volumetric hydrogen capacity is enhanced to 17% at -5% and the system exhibits a high gravimetric hydrogen capacity of 3.10%, which is good enough for practical purposes. Along with this, the system is found to be mechanically stable, where the calculated ratio and Poisson's ratio further imply the existence of ionic bonding character in the material. Further, the non-negative phonon frequency curves validate the dynamical stability of the structure. The electronic structure calculations predicted an insulating behavior with an indirect energy gap of 3.58-2.43 eV for the considered strain range. Surprisingly, the thermoelectric performance of the system has been significantly improved under tensile strain as the figure of merit reaches a high value of 0.61 at 550 K under +5% strain. This is because the mean free path of phonons is reduced as the temperature rises due to an increase in phonon scattering driven by greater lattice vibrations, which causes a decrease in lattice thermal conductivity. Hence, the hydrogen storage capabilities and other aspects of the material indicate that it is an appropriate candidate for HS and might be crucial in various energy-generating applications.","The study of hydrogen storage (HS) characteristics in complex hydrides has become a compelling goal in recent times. Therefore, we explore the SrGaH5 hydride by focusing on its potential for HS utilization and various physical aspects via first-principles calculations under hydrostatic strain. The results indicate that strain has a positive impact on the system's thermodynamics, which enhances its potential for practical applications as a HS material. The formation enthalpy and desorption temperature decrease to -42.93/-45.18 kJ per mol H2 and 306.67/322.74 K under -5%/+5% strain from the unstrained values of -48.03 kJ per mol H2 and 343.13 K, respectively. These values are nearly ideal, approaching the theoretical values of -40 kJ per mol H2 and 233-333 K, making it a promising candidate for HS uses. Furthermore, the volumetric hydrogen capacity is enhanced to 17% at -5% and the system exhibits a high gravimetric hydrogen capacity of 3.10%, which is good enough for practical purposes. Along with this, the system is found to be mechanically stable, where the calculated ratio and Poisson's ratio further imply the existence of ionic bonding character in the material. Further, the non-negative phonon frequency curves validate the dynamical stability of the structure. The electronic structure calculations predicted an insulating behavior with an indirect energy gap of 3.58-2.43 eV for the considered strain range. Surprisingly, the thermoelectric performance of the system has been significantly improved under tensile strain as the figure of merit reaches a high value of 0.61 at 550 K under +5% strain. This is because the mean free path of phonons is reduced as the temperature rises due to an increase in phonon scattering driven by greater lattice vibrations, which causes a decrease in lattice thermal conductivity. Hence, the hydrogen storage capabilities and other aspects of the material indicate that it is an appropriate candidate for HS and might be crucial in various energy-generating applications.",author_claim|2022_onward|simple_1or2_nodes,428,21,0.04906542056074766,20.380952380952383,,,,,,,,,,pending_human
iTE:P1056:r001,iTE,P1056,Experimental study of high power LEDs heat dissipation based on corona discharge,2016,ionic wind generator,provides,cooling performance,author_claim,"High power light-emitting diodes (LEDs) consume most of the applied power as heat, which leads to a high junction temperature; thus, an efficient cooling device is needed. Most of the developed cooling systems face constraints such as cost, consumption, and noise, leading to low work efficiency. In this study, a needle-to-net type ionic wind generator based on corona discharge is suggested for high power LED cooling. The LEDs' junction temperature was calculated by measuring the case temperature, which is called the pin-temperature measurement method. The characteristics of ionic wind in various electrode arrangements or electrical parameters were analyzed, and the case temperature changes induced by ionic wind were measured under various conditions for analysis. The experimental results indicate that the designed ionic wind generator had good cooling performance close to cooling fan, coupled with lower energy consumption and less mechanically induced noise. The maximum ionic wind velocity was measured to be 2.97 m/s at a 15 mm discharge distance and 17 kV applied voltage. (C) 2015 Elsevier Ltd. All rights reserved.","High power light-emitting diodes (LEDs) consume most of the applied power as heat, which leads to a high junction temperature; thus, an efficient cooling device is needed. Most of the developed cooling systems face constraints such as cost, consumption, and noise, leading to low work efficiency. In this study, a needle-to-net type ionic wind generator based on corona discharge is suggested for high power LED cooling. The LEDs' junction temperature was calculated by measuring the case temperature, which is called the pin-temperature measurement method. The characteristics of ionic wind in various electrode arrangements or electrical parameters were analyzed, and the case temperature changes induced by ionic wind were measured under various conditions for analysis. The experimental results indicate that the designed ionic wind generator had good cooling performance close to cooling fan, coupled with lower energy consumption and less mechanically induced noise. The maximum ionic wind velocity was measured to be 2.97 m/s at a 15 mm discharge distance and 17 kV applied voltage. (C) 2015 Elsevier Ltd. All rights reserved.",author_claim|2016_2021|simple_1or2_nodes,257,12,0.04669260700389105,21.416666666666668,,,,,,,,,,pending_human
iTE:P1508:r002,iTE,P1508,"Synthesis and properties of LnBaFeCoO5+δ (Ln = Nd, Sm, Gd)",2013,Ln(3+) ionic radius,decrease accompanies increase,thermoelectric power,association,"With decreasing Ln(3+) ionic radius, their electrical conductivity and linear thermal expansion coefficient decrease and their thermoelectric power and antiferromagnetic ordering temperature increase.","LnBaFeCoO(5 + delta) (Ln = Nd, Sm, Gd) layered oxides have been synthesized and their crystal structure, thermal stability, thermal expansion, electrical conductivity, thermoelectric power, and magnetic susceptibility have been studied. The oxides have a tetragonal structure (sp. gr. P4/mmm) with unit-cell parameters a = 0.3909(2) nm and c = 0.7695(6) nm for Ln = Nd (delta = 0.65), a = 0.3908(3) nm and c = 0.7662(6) nm for Ln = Sm (delta = 0.37), and a = 0.3908(2) nm and c = 0.7613(6) nm for Ln = Gd (delta = 0.37). The LnBaFeCoO(5 + delta) compounds are antiferromagnetic p-type semiconductors. With decreasing Ln(3+) ionic radius, their electrical conductivity and linear thermal expansion coefficient decrease and their thermoelectric power and antiferromagnetic ordering temperature increase. Near 518-653 K, the linear thermal expansion coefficient of the LnBaFeCoO(5 + delta) oxides increases from (12.9-16.6) x 10(-6) to (19.3-26.5) x 10(-6) K-1, which is due to the release of weakly bound oxygen from the oxides. We have determined parameters of charge transport in the [Fe(Co)O-2] layers in the crystal structure of the LnBaFeCoO(5 + delta) phases.",association|through_2015|complex_3plus_nodes,20,1,0.05,20.0,,,,,,,,,,pending_human
iTE:P1521:r002,iTE,P1521,"Fabrication, phase, microstructure and electrical properties of BNT-doped (Sr,La)TiO3 ceramics",2014,defect dipoles,causes,limited polarization,author_claim,The dielectric constant also showed limited polarization due to defect dipoles formed by aliovalent ionic substitution of BNT.,"This research studied the effects of Bi0.5Na0.5TiO3 (BNT) doping on the phase, density, microstructure and electrical properties of (Sr,La)TiO3 (SLTO) ceramics. Separately calcined SLTO and BNT powders were mixed together to form (1-x)SLTO-xBNT (where x = 0, 0.01, 0.03, 0.05 and 0.07 mol fraction) compounds that were pressed into pellets and then sintered at 1500 A degrees C for 3 h under ambient atmosphere. The relative bulk densities of all the ceramics were greater than 95% their theoretical values which were confirmed by their nearly zero-porosity microstructure. X-ray diffraction patterns indicated complete solid solutions with a cubic structure and a slight lattice contraction when BNT was added. The electrical conductivity was found to decrease with BNT addition, suggesting a reduced number of mobile charges. The dielectric constant also showed limited polarization due to defect dipoles formed by aliovalent ionic substitution of BNT. Further optimization in terms of composition and defect chemistry could lead to a compound suitable for thermoelectric applications.",author_claim|through_2015|complex_3plus_nodes,80,3,0.0375,26.666666666666668,,,,,,,,,,pending_human
