sample_index,relation_id,domain,paper_id,baseline_status,strict_correct,reason,evidence_modality,analysis_scope,joint_factor_requirement,repair_instruction,judge_model,judge_reasoning_effort,final_analysis_scope,post_repair_status,inclusion_probability,inverse_probability_weight,stratum,judge_evidence_valid,judge_direction_valid,judge_assertion_valid_before,judge_conditions_and_representation_valid_before,human_label,human_review_required,final_subject,final_predicate,final_object
0,iTE:P1098:r001,iTE,P1098,qualify,False,因果与联合振动来源正确，但原关系未标识DFT证据。,computational_prediction,intrinsic_material_mechanism,,保留原三元组，增加DFT计算来源限定。,gpt-6-astra,high,intrinsic_material_mechanism,applied_and_rechecked,0.04669260700389105,21.416666666666668,author_claim|2016_2021|simple_1or2_nodes,True,True,False,False,,False,low-frequency localized vibrations from the Cu ionic migration and Cu vacancies,accounts for,低值状态阈值待核实:6
1,iTE:P0451:r001,iTE,P0451,supported,True,Na离子与CNT羧基相互作用促进离子电导，与作者原话一致。,as_reported,intrinsic_material_mechanism,,,gpt-6-astra,high,intrinsic_material_mechanism,unchanged_supported,0.04945054945054945,20.22222222222222,author_claim|2022_onward|complex_3plus_nodes,True,True,True,True,,False,ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH,facilitates,离子电导率
2,iTE:P1815:r001,iTE,P1815,supported,True,改进CVT须配适当热处理，条件与单晶产物完整。,as_reported,synthesis_processing,,,gpt-6-astra,high,other_adjacent_domain,unchanged_supported,0.04669260700389105,21.416666666666668,author_claim|2016_2021|simple_1or2_nodes,True,True,True,True,,False,modified CVT technique with appropriate heat treatments,successfully produces,pure single crystals of CuCrX2
3,iTE:P1430:r001,iTE,P1430,supported,True,DMSO诱导的长PEDOT互联网络提高电导，处理条件明确。,as_reported,intrinsic_material_mechanism,,,gpt-6-astra,high,intrinsic_material_mechanism,unchanged_supported,0.05,20.0,author_claim|through_2015|simple_1or2_nodes,True,True,True,True,,False,interconnected network of elongated PEDOT grains,increases after DMSO treatment,电子电导率
4,iTE:P1613:r002,iTE,P1613,supported,True,移除绝缘PSS促进电导的作者机制表达得到直接支持。,as_reported,intrinsic_material_mechanism,,,gpt-6-astra,high,electrode_interface_kinetics,unchanged_supported,0.04945054945054945,20.22222222222222,author_claim|2022_onward|complex_3plus_nodes,True,True,True,True,,False,移除PSS,enhances,电子电导率
5,iTE:P1087:r001,iTE,P1087,supported,True,应变改善ZT方向正确，谓词已标in calculation。,computational_prediction,intrinsic_material_mechanism,,,gpt-6-astra,high,intrinsic_material_mechanism,unchanged_supported,0.04906542056074766,20.380952380952383,author_claim|2022_onward|simple_1or2_nodes,True,True,True,True,,False,application of strain,enhances in calculation,电子热电无量纲ZT
6,iTE:P1970:r001,iTE,P1970,qualify,False,散射增多—平均自由程缩短—晶格热导下降方向正确，缺计算来源标记。,computational_prediction,intrinsic_material_mechanism,,增加第一性原理计算限定。,gpt-6-astra,high,intrinsic_material_mechanism,applied_and_rechecked,0.04906542056074766,20.380952380952383,author_claim|2022_onward|simple_1or2_nodes,True,True,False,False,,False,声子散射增强过程,causes via reduced phonon mean free path with rising temperature,晶格热导率下降过程
7,iTE:P1056:r001,iTE,P1056,supported,True,实验比较离子风的冷却性能成立，属于热管理设备。,as_reported,thermal_management,,,gpt-6-astra,high,device_thermal_management,unchanged_supported,0.04669260700389105,21.416666666666668,author_claim|2016_2021|simple_1or2_nodes,True,True,True,True,,False,ionic wind generator,provides,冷却性能
8,iTE:P1508:r002,iTE,P1508,supported,True,半径减小与热电势增大共变，association准确。,as_reported,intrinsic_material_mechanism,,,gpt-6-astra,high,intrinsic_material_mechanism,unchanged_supported,0.05,20.0,association|through_2015|complex_3plus_nodes,True,True,True,True,,False,三价稀土阳离子半径,decrease accompanies increase,电子Seebeck系数
9,iTE:P1521:r002,iTE,P1521,supported,True,缺陷偶极限制极化的陈述明确。,as_reported,other_adjacent_domain,,,gpt-6-astra,high,other_adjacent_domain,unchanged_supported,0.0375,26.666666666666668,author_claim|through_2015|complex_3plus_nodes,True,True,True,True,,False,defect dipoles,causes,limited polarization
