paper_id,concept_id,canonical_concept,concept_type,concept_subtype,evidence_field,evidence_text,extraction_method,confidence
P0001,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97
P0001,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule+prediction_family_collapse,0.97
P0002,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,C41BE9B5F0E,solvation-shell remodeling,solvation_entropy,solvation,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0003,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0004,C23B9BED21A,ionic conduction,transport_mechanism,ionic transport,mechanism_raw,ion conduction,controlled_rule,0.94
P0004,C720E904BA7,hydration-shell regulation,solvation_entropy,hydration,mechanism_raw,hydration structure,controlled_rule,0.94
P0004,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,Li+(H2O)n thermogalvanic hydrogel | Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,domain_curated_rule,0.97
P0005,C5E47CC0A62,Hofmeister/chaotropic effect,gel_microstructure,specific-ion effect,material_raw,chaotropic ion,controlled_rule,0.94
P0005,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97
P0006,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,C967653EA5F,thermosensitive crystallization,phase_or_species_transition,phase/species transition,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,mechanism_raw,salting-out,controlled_rule,0.94
P0007,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,abstract,heat transfer,controlled_rule,0.94
P0008,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97
P0009,C182567E63B,ion concentration-gradient formation,transport_mechanism,concentration gradient,mechanism_raw,redox-ion concentration gradient,controlled_rule,0.94
P0010,C5BFFEEB7C0,evaporation-assisted concentration gradient,transport_mechanism,transport mechanism,material+mechanism+abstract,"water evaporation-enhanced thermogalvanic cell electrolyte | ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",domain_curated_rule,0.97
P0011,C845F498233,ion-dipole interaction,solvation_entropy,intermolecular interaction,material+mechanism+abstract,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97
P0011,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97
P0011,CBFAB31D6E6,electrostatic interaction,solvation_entropy,intermolecular interaction,title,Electrostatic Interaction,controlled_rule,0.94
P0012,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface | body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,domain_curated_rule,0.97
P0013,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,abstract,hydrogen bonds,controlled_rule,0.94
P0013,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,mechanism_raw,double network,controlled_rule,0.94
P0013,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water | through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals",domain_curated_rule,0.97
P0014,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,CBFAB31D6E6,electrostatic interaction,solvation_entropy,intermolecular interaction,abstract/material/mechanism,electrostatic interactions,cleaned_open_concept,0.78
P0014,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0015,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,"stretchable PVA thermogalvanic thermocell | stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",domain_curated_rule,0.97
P0015,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"stretchable PVA thermogalvanic thermocell | stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",domain_curated_rule,0.97
P0016,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr | porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals",domain_curated_rule,0.97
P0016,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,mechanism_raw,heat transfer,controlled_rule,0.94
P0017,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0017,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,mechanism_raw,hydrogen bonding,controlled_rule,0.94
P0017,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0017,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0019,CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,dynamic crystalline ion-injected thermoelectric gel DCI-TEG | solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing,domain_curated_rule,0.97
P0019,CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,mechanism_raw,salting-out,controlled_rule,0.94
P0020,C555F4672C1,configurational-entropy modulation,phase_or_species_transition,entropy mechanism,material+mechanism+abstract,aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent | different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower,domain_curated_rule,0.97
P0020,C720E904BA7,hydration-shell regulation,solvation_entropy,hydration,abstract,hydration shell,controlled_rule,0.94
P0021,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell | spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,domain_curated_rule,0.97
P0022,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte | Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient",domain_curated_rule,0.97
P0023,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate | redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics",domain_curated_rule,0.97
P0025,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"formamide/water thermogalvanic hydrogels | formamide increases redox reaction entropy, promotes ion desolvation, lowers activation energy, and accelerates reaction kinetics",domain_curated_rule,0.97
P0025,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"formamide/water thermogalvanic hydrogels | formamide increases redox reaction entropy, promotes ion desolvation, lowers activation energy, and accelerates reaction kinetics",domain_curated_rule,0.97
P0026,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,abstract,hydrogen bonds,controlled_rule,0.94
P0026,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"all-inorganic hydrogel TGC with Fe2+/Fe3+ redox couple and Fe(OH)3 transformation | hydrogen-bonded inorganic gel framework and temperature/pH-controlled Fe3+/Fe(OH)3 equilibrium enable recurrent gelation, thermopower, and thermochromism",domain_curated_rule,0.97
P0027,C4AF8816DD4,ion-induced crystallization,phase_or_species_transition,phase/species transition,mechanism_raw,guanidinium-induced ferricyanide/ferrocyanide crystallization,controlled_rule,0.94
P0027,C539540C36B,nanochannel-confined ion transport,transport_mechanism,ionic transport,abstract,"ioninduced crystallization in the p-type FeCN 6 3 - /FeCN 6 4 - redox system. Small angle X-ray scattering reveals controlled GelMA hydrogel mesh size adjusting the amount of GdmCl, leading to improved intermolecular interactions between the guanidium cations and GelMA polymer. The optimized p-type Seebeck coefficient reaches an unprecedented 21.6 mV K - 1 , which is the highest thus far reported in the context of the TGC system. Furthermore, a prototype wearable thermoelectric generator (TEG) with an output voltage of 1.6 V under a temperature difference ( D T ) of 9 degrees C is able to power an LED directly without requiring an additional voltage booster. In brief, the dual effect of ion-induced crystallization and nanochannel",controlled_rule,0.94
P0027,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4- | guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,domain_curated_rule,0.97
