article_role,assertion,claim_id,claim_scope,conditions,context_quotes,decision_source,doi,domain,evidence_spans,id,joint_factor_local_resolution,joint_factor_raw_values,joint_factors,modality,modality_evidence,modality_spans,note,object,object_id,object_role,paper_id,paper_input_hash,paper_title,predicate,quote,relation_id,review_reason,review_status,scope,source,status,subject,subject_id,subject_role,target,year
research,author_claim,TG:P0001:r001,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":579,""end"":716}]",r001,,,[],unspecified,[],[],,Fe2+/Fe3+ cross-linking,P0001:fe,interaction,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,is cross-linked by,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres. ,P0001:r001,,complete_abstract_revision_v1_not_independent_acceptance,intrinsic_material_mechanism,TG:C625e37d2f16b0d,accepted,Alginate hydrogel in TGC dressing,P0001:h,material_entity,TG:C6effedd9830c1a,2026
research,author_claim,TG:P0001:r002,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":579,""end"":716}]",r002,,,[],unspecified,[],[],,Nanofibre reinforcement,P0001:nf,design_strategy,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,is reinforced by,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres. ,P0001:r002,,complete_abstract_revision_v1_not_independent_acceptance,mechanical_environmental_stability,TG:C625e37d2f16b0d,accepted,Alginate hydrogel in TGC dressing,P0001:h,material_entity,TG:C2a1b6e27fd9107,2026
research,author_claim,TG:P0001:r003,own_work,Temperature gradient between wound and dressing.,"[""This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres. "",""Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing. ""]","{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""patch""}",10.1038/s41551-025-01440-6,TG,"[{""start"":402,""end"":579},{""start"":579,""end"":716},{""start"":830,""end"":953}]",r003,"[{""raw_id"":""dt"",""label"":""Temperature gradient between wound and dressing""}]","[""dt""]",[],unspecified,[],[],,Exogenous electric stimulus/field,P0001:ef,quantity,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,uses temperature gradient to generate,Here we report a solution that harnesses the temperature gradient between the wound and dressing to generate an electric stimulus that provides active wound healing management. ,P0001:r003,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:C9b9e389d1466b5,2026
research,author_claim,TG:P0001:r004,own_work,Electric field generated by the TGC dressing.,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":830,""end"":953}]",r004,,,[],unspecified,[],[],,Accelerated wound healing,P0001:heal,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,promotes,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing. ",P0001:r004,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C9b9e389d1466b5,accepted,Exogenous electric stimulus/field,P0001:ef,quantity,TG:Cdf0edf32607ebe,2026
research,author_claim,TG:P0001:r005,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":716,""end"":830}]",r005,,,[],unspecified,[],[],,Biocompatibility,P0001:bio,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,exhibits,"The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. ",P0001:r005,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:Ca33ee8b3c0c7d9,2026
research,author_claim,TG:P0001:r006,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":716,""end"":830}]",r006,,,[],unspecified,[],[],,Antibacterial performance,P0001:ab,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,exhibits,"The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. ",P0001:r006,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:Cf7e86eeeed16a2,2026
research,author_claim,TG:P0001:r007,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":716,""end"":830}]",r007,,,[],unspecified,[],[],,Easy re-shaping,P0001:shape,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,allows,"The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. ",P0001:r007,,complete_abstract_revision_v1_not_independent_acceptance,mechanical_environmental_stability,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:C6cae5b868a070a,2026
research,author_claim,TG:P0001:r008,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":716,""end"":830}]",r008,,,[],unspecified,[],[],,Moisture permeability,P0001:moist,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,exhibits,"The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. ",P0001:r008,,complete_abstract_revision_v1_not_independent_acceptance,ion_mass_transport,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:C011b94772ff90f,2026
research,author_claim,TG:P0001:r009,own_work,,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":953,""end"":1031}]",r009,,,[],unspecified,[],[],,Respiration-rate monitoring,P0001:resp,application,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,enables,We additionally integrate a sensing system that can monitor respiration rate. ,P0001:r009,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C49eef0af64f66e,accepted,Integrated sensing system,P0001:sense,material_entity,TG:C2e5e15d0c515fb,2026
research,author_claim,TG:P0001:r010,own_work,Large porcine wound model; TGC-bandaged group versus untreated group on day 14.,[],"{""run"":""complete_revision_full_v1"",""job"":""revision_001"",""action"":""keep""}",10.1038/s41551-025-01440-6,TG,"[{""start"":1031,""end"":1183}]",r010,,,[],experimental,"[""In the large porcine wound model, the wound healing rate of a TGC-bandaged group is improved by about 20.6% on day 14 compared with an untreated group. ""]","[{""start"":1031,""end"":1183}]",,Wound healing rate improved by about 20.6%,P0001:rate,performance_function,P0001,e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,improves,"In the large porcine wound model, the wound healing rate of a TGC-bandaged group is improved by about 20.6% on day 14 compared with an untreated group. ",P0001:r010,,complete_abstract_revision_v1_not_independent_acceptance,application_sensing,TG:C9de2f35eae8d14,accepted,Thermogalvanic cell (TGC) dressing,P0001:d,material_entity,TG:Ceebc4e9bf16997,2026
