lever_code,lever_label_cn,claim_count,independent_paper_count,community_w_ge_2,community_size,community_interpretation
anion_entanglement,阴离子缠结,1,1,4,1,"co-annotation community, not a natural mechanism family"
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,41,39,3,4,"co-annotation community, not a natural mechanism family"
coordination_or_ion_pairing,配位/离子对,51,46,3,4,"co-annotation community, not a natural mechanism family"
counterion_condensation,Manning 反离子凝聚,3,3,5,1,"co-annotation community, not a natural mechanism family"
electrode_interface,电极界面,115,101,1,7,"co-annotation community, not a natural mechanism family"
fixed_charge_selectivity,固定电荷/离子选择性,20,18,2,7,"co-annotation community, not a natural mechanism family"
host_guest_complexation,主–客体络合,5,4,2,7,"co-annotation community, not a natural mechanism family"
hydration_and_solvation,水合与溶剂化,54,52,3,4,"co-annotation community, not a natural mechanism family"
hydrophobic_partitioning,疏水微区分配,7,7,6,1,"co-annotation community, not a natural mechanism family"
ion_electron_coupling,离子–电子耦合,63,61,1,7,"co-annotation community, not a natural mechanism family"
moisture_or_evaporation_gradient,湿度/蒸发梯度,57,53,2,7,"co-annotation community, not a natural mechanism family"
multi_ion_entropy,多离子/高熵调控,5,5,7,1,"co-annotation community, not a natural mechanism family"
ordered_ion_printing,有序离子打印,1,1,8,1,"co-annotation community, not a natural mechanism family"
oriented_or_confined_channels,取向/限域离子通道,21,19,2,7,"co-annotation community, not a natural mechanism family"
osmotic_or_concentration_gradient,渗透/浓度梯度,14,13,2,7,"co-annotation community, not a natural mechanism family"
ph_or_protonation_switch,pH/质子化开关,13,12,2,7,"co-annotation community, not a natural mechanism family"
phase_or_species_transition,相变/物种转变,62,57,1,7,"co-annotation community, not a natural mechanism family"
photothermal_or_heat_management,光热/热管理,24,23,2,7,"co-annotation community, not a natural mechanism family"
polarity_switching,热电极性切换,16,13,1,7,"co-annotation community, not a natural mechanism family"
pyroelectric_hybrid,热释电混合,3,3,9,1,"co-annotation community, not a natural mechanism family"
self_healing_or_tough_gel,自修复/强韧凝胶,78,69,3,4,"co-annotation community, not a natural mechanism family"
thermodiffusion_or_soret,热扩散/Soret,75,72,1,7,"co-annotation community, not a natural mechanism family"
thermoosmotic_slip,热渗透与滑移增强,3,3,1,7,"co-annotation community, not a natural mechanism family"
water_assisted_proton_transport,水辅助质子输运,3,3,1,7,"co-annotation community, not a natural mechanism family"
