group_index,class_id,original_members,original_equivalent_edges,priority_incomplete_or_inconsistent,judge_decision,draft_partitions,accepted_edges,rejected_edges,uncertain_edges,judge_reason,secondary_review_note,status,merge_applied
0,iTE:P1958:n2,130,661,True,split,21,264,285,112,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,P1472为器件整合后的系数；摘要写130 V/K，不能擅自纠正单位或视作材料本征系数。,reviewed,False
1,iTE:P1964:n2,67,314,True,split,13,197,101,16,67成员逐一读取。完整摘要确认P0377/P0399/P0518/P1639/P1903离子导电，P0959/P1050/P1599混合导电，P1359电子极化子DC，P1964明确离子DC。电子电导、离子电导、两者总和及DC条件不互为严格同义；higher/high/enhanced状态分离。未明载流机制与分量回指保留待定。,,reviewed,False
2,iTE:P1163:n2,38,137,True,uncertain,14,43,5,89,38成员中properties为性质集合、performance为综合评价，不能默认互换；载流机制和指标范围又不一致。对明确定义同一层级的子组接受；跨层级缺少评价函数，保留uncertain，高/最高等明确限定另拒绝。P0687摘要表明14实际以Seebeck为预测目标，P1454为CuI电子热电纺织品。,,reviewed,False
3,TG:P0265:n1,32,140,True,split,9,94,46,0,普通电化学系数、混合Soret/红氧系数、腐蚀复合响应、有限温差表观响应、初始条件和非对称电极响应分别保留。P0104的化学平衡温差依赖与P0119的腐蚀贡献不同；不能合并两个apparent节点。P0215保留initial限定，但摘要不支持进一步断言瞬态。,补读TG:P0104/P0119/P0215完整摘要：apparent的来源不同；initial不足以确证瞬态。,reviewed,False
4,iTE:P1296:n2,32,132,True,split,4,119,13,0,除6/16/28外29个节点均材料总体热导率κ，total/overall为同量展开；30说明声子主导但仍总κ。16明确phonon thermal conductivity是分量；6明确large高值；28为晶界局部热导属性，不能直接当均匀体相热导率。,,reviewed,False
5,iTE:P1135:n2,27,116,True,split,7,74,42,0,一般电子材料ZT=热电优值同义缩写；0为离子电解质ZT，12为液体红氧转换ZT；2限定高温，10限定接近1，16/22限定高ZT，23原文为自旋分辨ZT。不能把性能同类当同定义。,,reviewed,False
6,iTE:P1648:n2,26,147,True,accept,1,147,0,0,二十六节点均晶格热导率κL；9与20虽写lattice heat transport，但均给W m-1 K-1并以κL/极限值定量，明确为传导系数而非过程。所有成员定义一致，不是借连通性传递。,,reviewed,False
7,iTE:P1876:n2,26,120,True,split,6,51,68,1,2明确PF=alpha²sigma支持电子PF共同定义；0/3/13为离子PF，4混合地聚物、10混合凝胶PF未分离载流贡献；1最大值，15/24/25为增强事件，不并入普通PF。,,reviewed,False
8,iTE:P1557:n2,25,128,True,split,3,125,3,0,除12/23外各成员均一般离子电导率，包括被否定存在的21/24仍是该物理量；12明确ionogel、23明确SPE材料限定，不删除这些范围。,,reviewed,False
9,TG:P0218:n3,22,46,True,split,6,23,13,10,5/11/15/16/18/21单位明确面积功率密度；0/14密度分母尚未给出先单列；2/4/6/7/9/10/12/17/19是输出功率量；1/3/8/20是发电过程；13限定盐水驱动。不能把过程、功率和密度闭包合并。,,reviewed,False
10,iTE:P1952:n1,21,48,True,split,8,34,14,0,0/1/2/3/4/7/8/9/10/11/12/14/19/20均三价稀土阳离子半径；5为碱金属占位半径，6摘要确认为碱土A位半径；13填充原子半径含Li，15一般半径描述符，16含Sc/Cr的M3+；17/18明确稀土半径减小事件。；P1332明确R含Bi，单独保留该对象集合。,P1332的R集合含Bi，不能归入稀土离子半径。,reviewed,False
11,iTE:P1970:n2,21,39,True,uncertain,19,2,2,35,11/14/15/20明确相对降低，可接受同一变化过程；其余低、超低、本征低和异常低各有不同材料温区阈值，缺少统一适用范围，不强制裁定同义。；reduced状态与reduction/decrease过程不可等价。,将下降过程与已降低的结果状态拆开。,reviewed,False
12,iTE:P1169:n2,18,51,True,accept,1,51,0,0,十八个成员逐一均在离子导体/电解质中指温度梯度驱动的离子扩散；3和13直接定义，10直接展开同义。11虽否定其主导作用但概念仍同一机制，不能以否定句误判不同概念。,,reviewed,False
13,iTE:P1354:n2,17,53,True,split,6,32,21,0,0/1/2/3/4/6/12/13/15/16为通常电子载流子迁移率；5/10/11为高值；7相对较高；8明确增强的Hall迁移率；9为电子比空穴更好；14为OECT提取的器件有效迁移率，不能用同词跨定义闭包。,,reviewed,False
14,TG:P0227:n2,16,79,True,split,2,52,27,0,0/1/2/3/4/5/6/10/11/12/13/14/15均热电化学电池热电势系数；7完整摘要及8/9明确叠加Soret和热电化学效应，总热响应不等同单独电化学系数。,,reviewed,False
