paper_id,analysis_layer,source_membership,year,title,paper_concept_id,concept_occurrence_id,doi,sentence_id,sentence_text,sentence_char_start,sentence_char_end,surface_text,normalized_label,normalization_operations,lexical_category,head_token,char_start,char_end,extractor_pattern,document_frequency,paper_occurrence_count,token_count,selection_score,global_concept_id,layer_node_id,span_exact_match,semantic_addition_allowed,selection_scope,cross_paper_frequency_used_for_selection,verifier_status,occurrence_count
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_1708ff4dafec,CO_c58ae2c70a5d,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,579,715,cross-linked,cross linked,hyphen_to_space,untyped_extractive_keyword,linked,659,671,generic_hyphenated_keyword,11,1,2,2.9279,GC_e89d14e00520,LN_be6b7f3fc957,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_6956c3c3ca31,CO_18cd8e3374f1,10.1038/s41551-025-01440-6,1,Current smart dressings with wound monitoring and electrical stimulation capabilities rely on flexible electronics comprising various sensors and external power sources.,0,169,electronics comprising various sensors,electronics comprising various sensor,simple_plural_to_singular,device_or_context,sensor,103,141,head_noun_phrase,1,1,4,1.9479,GC_44d3ce0e17ea,LN_5863c88869c7,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_d38ad9491235,CO_934cbdc6e8c8,10.1038/s41551-025-01440-6,1,Current smart dressings with wound monitoring and electrical stimulation capabilities rely on flexible electronics comprising various sensors and external power sources.,0,169,external power,external power,identity,outcome_or_property,power,146,160,head_noun_phrase,17,1,2,3.3279,GC_2087c0b71e9e,LN_cdd5a19e1655,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_7f9e71a4b3c6,CO_de837cfb98aa,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,579,715,Fe2+/Fe3+,fe2+/fe3+,lowercase,literal_formula,fe2+/fe3+,649,658,literal_formula,15,1,1,3.0679,GC_9b75b319b0a5,LN_b8d0351492f2,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_48088614efec,CO_30f695c36331,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,579,715,Fe2+/Fe3+ cross-linked alginate hydrogel,fe2+/fe3+ cross linked alginate hydrogel,lowercase; hyphen_to_space,material_or_structure,hydrogel,649,689,head_noun_phrase,1,1,5,4.2479,GC_6eb439c118a7,LN_3c5402cfba32,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_5ee8e944057d,CO_d78d7df6e94f,10.1038/s41551-025-01440-6,7,We additionally integrate a sensing system that can monitor respiration rate.,953,1030,monitor respiration rate,monitor respiration rate,identity,outcome_or_property,rate,1005,1029,head_noun_phrase,1,1,3,3.3879,GC_41c0adcb3542,LN_f6164ab4747b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_5def01f4c339,CO_41d84205446e,10.1038/s41551-025-01440-6,9,Our wireless wound monitoring system may facilitate real-time monitoring of common wound models at different wound development stages.,1183,1317,real-time,real time,hyphen_to_space,untyped_extractive_keyword,time,1235,1244,generic_hyphenated_keyword,23,1,2,2.9279,GC_6f3be58a8f19,LN_7c98efbbb204,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_4d949aaff821,CO_dc251f3288c2,10.1038/s41551-025-01440-6,3,Here we report a solution that harnesses the temperature gradient between the wound and dressing to generate an electric stimulus that provides active wound healing management.,402,578,temperature gradient,temperature gradient,identity,mechanism_or_process,gradient,447,467,head_noun_phrase,124,1,2,4.3279,GC_f50bbe3cdc5d,LN_4e04cb640a89,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_cf8f1e6ee83a,CO_de809b3c7b63,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,579,715,thermogalvanic cell,thermogalvanic cell,identity,device_or_context,cell,602,621,head_noun_phrase,92,1,2,1.8279,GC_3ea8786de366,LN_e5b6c67a0e2e,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_a75e4e95ca69,CO_38a07b4098d1,10.1038/s41551-025-01440-6,8,"In the large porcine wound model, the wound healing rate of a TGC-bandaged group is improved by about 20.6% on day 14 compared with an untreated group.",1031,1182,wound healing rate,wound healing rate,identity,outcome_or_property,rate,1069,1087,head_noun_phrase,1,1,3,3.3879,GC_d157de4bc9b6,LN_b914457cbb71,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,PC_564e4cfb32bf,CO_874ce5b9f3e1,10.1038/s41551-025-01440-6,2,"Despite increasing efforts to integrate all these components onto flexible, breathable and biocompatible substrates, realizing a zero-power electrical stimulation without compromising the clinical applicability remains challenging.",170,401,zero-power,zero power,hyphen_to_space,outcome_or_property,power,299,309,head_noun_phrase,1,1,2,3.3279,GC_5a0eda74f71a,LN_9699021110ed,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_0b65fe3e936b,CO_bad866dde885,10.1016/j.joule.2025.101822,2,"However, their fundamental electrolytes meet challenges toward high cooling performance due to the absence of rational design principles.",122,259,cooling,cooling,identity,mechanism_or_process,cooling,190,197,head_noun_phrase,27,2,1,4.3896,GC_37ed05d8d43e,LN_a71320e3bce0,True,False,single_abstract_only,False,span_valid_pending_semantic_review,2
