method,source,source_label,source_role,target,target_label,target_role,rank,score,source_context,target_context
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0027:led,Direct LED powering without an additional voltage booster,application,1,14.15034352676646,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","Furthermore, a prototype wearable thermoelectric generator (TEG) with an output voltage of 1.6 V under a temperature difference ( D T ) of 9 degrees C is able to power an LED directly without requiring an additional voltage booster."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0014:devices,Powering commercial electronic devices,application,2,13.011788149417738,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","A 16-paired TG module generates 360 mu W, sufficient to power commercial electronic devices."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0021:display,Direct powering of electronic displays,application,3,12.97925062151018,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0255:use,Direct powering of various electronic devices,application,4,12.03205882255488,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.",A thermocell module comprised of 20 cells directly power various electronic devices at a temperature difference of 40 K.
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0269:power,Powering LED lamp and calculator,application,5,11.840620310875913,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","In addition, the thermocell can power the LED lamp and calculator, and can also be connected in series to form large arrays, thus rendering it an ideal power source for wearable devices."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0279:led,LED illumination,application,6,8.458235209197435,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","The compact 1.5 cm(3) (1 cm x 1 cm x 1.5 cm) device effectively powered the AP4473 converter, illuminating a light-emitting diode."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0149:commercial,Commercial thermocell applications,application,7,7.842248842909153,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","However, the commercial applications of thermocells are still hindered by their low power density and conversion efficiency."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0052:led,Green LED operation,application,8,7.667958262436407,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","Moreover, we demonstrate a wearable thermoelectric shoe based on antifreezing thermogalvanic hydrogels for harvesting human thermal energy in a simulated winter environment of -30 degrees C, and the electricity can drive a green LED."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0173:n16,LED escape indicator,application,9,7.667958262436407,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","A prototype of five series-connected ATC units successfully generated a stable 3.15 V output under simulated fire conditions, powering both an LED escape indicator and a wireless smoke alarm."
bm25,TG:P0021:led,Direct powering of commercial LED lights,application,TG:P0221:i,Direct voltage,quantity,10,7.398957211565646,"Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays.","The deformation of the droplet and the temperature difference across the droplet can induce an alternating pulse voltage and a direct voltage, respectively, which is easy to separate/analyze and can be utilized to sense the external force and temperature simultaneously."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0180:n4,High thermal-electrical conversion performance,performance_function,1,11.867478844589321,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","Here, we report an ionic thermoelectric (i-TE) material based on polyacrylamide (PAM) carboxymethyl cellulose (CMC) double network gel substrate with flexible and high thermal-electrical conversion properties."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0146:overall,Overall high ionic thermoelectric performance,performance_function,2,11.507716161144556,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0008:conversion,Thermoelectric conversion,mechanism_process,3,9.753734645011612,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","By leveraging the thermoelectric conversion in conjunction with the inherent piezoresistive effect of a gel electrolyte, self-powered sensing is achieved by utilizing the temperature difference between the human body and the external environment."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0164:conversion,Thermoelectric conversion,performance_function,4,9.753734645011612,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.",This study introduces an innovative integrated device that achieves both the function of thermoelectric conversion and energy storage within a single unit through a precipitation-driven Thermogalvanic effect.
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0225:c,Thermoelectric conversion,performance_function,5,9.753734645011612,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","Herein, the efficient near-IR (NIR)-photothermal, thermoelectric, and thus photo-thermo-electric conversion of polyoxovanadate compound {[Ni(1,10-phenanthroline)(3)][V14O34Cl]Cl, NiV14} in ionic liquid was achieved."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0042:photothermal,High photothermal performance,performance_function,6,9.450400632204953,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","The whole structure takes advantage of the low thermal conductivity and high output power of poly(vinyl alcohol)/polydimethylsiloxane (PVA-PDMS) gels with Fe2+/3+ as a redox pair, together with the local surface plasmon resonance (LSPR) of Au nanoparticles (AuNPs)@SiO2-PDMS composite film."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0042:thermogalvanic,High thermogalvanic performance,performance_function,7,9.450400632204953,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","The whole structure takes advantage of the low thermal conductivity and high output power of poly(vinyl alcohol)/polydimethylsiloxane (PVA-PDMS) gels with Fe2+/3+ as a redox pair, together with the local surface plasmon resonance (LSPR) of Au nanoparticles (AuNPs)@SiO2-PDMS composite film."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0282:high,High-performance TECs,application,8,9.450400632204953,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","Subsequently, this paper analyzes the thermodynamics, kinetics, and bottlenecks of TECs and identifies several potential p-type and n-type redox pairs with high absolute value of temperature coefficient (dE(0)/dT) and low absolute value of electrode potential (E-0) for high-performance TECs."
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0018:perf,TGC thermoelectric performance,performance_function,9,9.063130137032978,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","To expedite the deployment of TGCs, this study delves into the mechanistic interplay of three crucial determinants: intrinsic temperature coefficient, concentration gradient, and activity coefficient of redox couples, elucidating their impact on TGCs' thermoelectric performance."
