batch_id,batch_order,batch_name_cn,cost_level_cn,entry_stage,program_id,program_rule_code,program_title_cn,target_redox_system_cn,candidate_status,candidate_status_cn,shared_platform_cn,batch_logic_cn,batch_go_no_policy_cn,first_decisive_test_cn,program_go_no_go_cn,default_shared_screening_policy_cn,top_iTE_paper_id,top_iTE_claim,TG_baseline_paper_id,TG_baseline_title,direct_TG_prior_art_count
B1,1,ferri/ferrocyanide 共用平台,低到中,S1_solution_or_interface_gate,PRG_88a7efad7dbd,manning_condensation_ferricyanide,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,[Fe(CN)6]3−/[Fe(CN)6]4−,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先测 [Fe(CN)6]3− 与 [Fe(CN)6]4− 在多阳离子网络中的 K3(T)、K4(T) 和扩散，不先做完整器件。,只有 K3/K4 的温度导数显著不同、过程可逆且两物种仍可扩散，才继续。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0344,"electronegative CMC-Na induces Manning counterion condensation, improving selective ion migration and Seebeck coefficient",P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,0
B1,2,ferri/ferrocyanide 共用平台,低到中,S1_solution_or_interface_gate,PRG_0f7a0b8392d8,donnan_interphase_ferricyanide,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,[Fe(CN)6]3−/[Fe(CN)6]4−,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先测 3−/4− 在界面层中的分配比随温度是否变化，并同时测交换电流/EIS。,若分配差无温度导数，则只作为电极动力学改进，不宣称放大 dE/dT。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0400,PEDOT:PSS polyanions cause Donnan exclusion and negative thermopower,P0041,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,1
B1,3,ferri/ferrocyanide 共用平台,低到中,S2_material_coupon,PRG_9e58569c757c,oriented_channel_ferricyanide,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,[Fe(CN)6]3−/[Fe(CN)6]4−,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先同时测 3−/4− 纵横向扩散、传质阻抗与纵横向模量，确认各向异性不是只对支持盐有效。,只有红氧扩散和疲劳寿命同时优于同模量各向同性对照，才算有效升级。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0355,synergistic coordination and hydration plus subnanometer ion confinement in oriented chains facilitate selective ion migration under a temperature gradient,P0016,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,1
B1,4,ferri/ferrocyanide 共用平台,低到中,S2_material_coupon,PRG_55d2dd45b552,ordered_ion_printing_ferricyanide,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,[Fe(CN)6]3−/[Fe(CN)6]4−,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先验证 multi-ink EHD 形成的电荷/孔隙分区在灌液和平衡后仍然存在。,若分区在灌液后快速松弛，则不把短时电压当持续 TG 改进。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0344,EHD printing produces ordered ion distribution,P0021,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,1
B1,5,ferri/ferrocyanide 共用平台,低到中,S2_component_or_membrane_cell,PRG_791da0044d52,osmotic_gradient_plus_tg,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,[Fe(CN)6]3−/[Fe(CN)6]4−,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先比较有无再生回路的开路衰减与负载持续时间，区分一次性热充电和连续发电。,无再生回路只能标为瞬态热充电；闭路稳定输出后才标为 TG 升级。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0360,ion-selective nanopore transport under a temperature gradient converts heat to osmotic power,P0021,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,5
B1,6,ferri/ferrocyanide 共用平台,低到中,S2_component_or_flow_loop,PRG_4e691dc1cea3,thermoosmotic_slip_ferricyanide,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,[Fe(CN)6]3−/[Fe(CN)6]4−,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,同一批 K3/K4[Fe(CN)6]、同电极面积/间距与恒温夹具；先共用温变 UV–vis/CV/EIS/扩散，再按需加入流场或再生回路。,先做 Manning 与 Donnan 小样，再做取向/EHD coupon；只有前述传质与界面门控成立，才做 osmotic-regeneration H-cell 和被动 thermoosmotic loop。,"差异分配/界面效应超过 max(3σ, 基线20%)；红氧扩散/电导保留≥50%，Rct≤2倍；EHD 分区经浸泡与热循环仍存在；loop 压力平衡后仍有被动净流；无再生路径的膜体系只能标为热充电–放电；净功率增益不足20%即停止。",先在不对称双支路透明回路中直接测持续环流、压差和 3−/4− 通量，并交换两支路表面化学以排除自然对流。,只有不对称支路产生可逆稳态环流且能降低红氧传质阻抗，才装入 TG。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P1053,"temperature-dependent mobility, Soret thermodiffusion, and slip-amplified thermoosmosis control ionic thermoelectric response",P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,0
B2,1,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,I−/I3−,mechanism_extension_white_space,TG 有相邻策略，但当前语料未见这一具体组合；属于机制扩展候选。,共用恒温 UV–vis/Raman、原位 pH、扩散池、CV/EIS 与同尺寸 TG 夹具；I3− 和 Q/HQ 分开配液但共用测量流程。,I3− 先做 fixed-charge × hydrophobic-recognition 2×2；Q/HQ 先做zwitterion-pH × aligned proton-channel 2×2；最后才外串联 P0373 式 Soret 子单元。,I3− 需有可逆且有益的 dlnKpartition/dT，同时保留自由物种、扩散和交换电流；Q/HQ 必须在无外加pH差时形成可逆ΔpH，且缓冲后新增效应消失；串联总压须在±10%内等于两个独立单元的电压代数和；计入内阻/切换代价后净功率不增即停止。,先用扩散池比较固定电荷-only、分子识别-only 和组合膜的 I3−/I− 分配与跨膜通量。,组合膜必须比两个单机制对照更能抑制 I3− 穿梭，同时不显著恶化极限电流。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0528,"surface charge engineering increases fixed charge density and ion selectivity, enhancing thermodiffusion-driven ion transport",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,0
B2,2,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,PRG_4cca4840d8f1,hydrophobic_domain_triiodide,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,I−/I3−,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,共用恒温 UV–vis/Raman、原位 pH、扩散池、CV/EIS 与同尺寸 TG 夹具；I3− 和 Q/HQ 分开配液但共用测量流程。,I3− 先做 fixed-charge × hydrophobic-recognition 2×2；Q/HQ 先做zwitterion-pH × aligned proton-channel 2×2；最后才外串联 P0373 式 Soret 子单元。,I3− 需有可逆且有益的 dlnKpartition/dT，同时保留自由物种、扩散和交换电流；Q/HQ 必须在无外加pH差时形成可逆ΔpH，且缓冲后新增效应消失；串联总压须在±10%内等于两个独立单元的电压代数和；计入内阻/切换代价后净功率不增即停止。,先测 I3− 在亲水相/疏水微区之间的 Kpartition(T) 和热循环可逆性。,若 Kpartition 对温度不敏感或热循环滞后明显，则否决分配机制。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0336,"PVA hydroxyl groups coordinate with Cu2+; PVA and PMNT form hydrophobic associations and pi-pi stacking, enhancing thermophoretic difference between chloride anions and cations",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,2
B2,3,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S1_solution_or_interface_gate,PRG_3680dde71847,zwitterion_ph_switch_qhq,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,醌/氢醌（Q/HQ）,new_cross_mechanism_hypothesis,Q/HQ TG 有 pH 调控先例，但源 iTE 只证明外加 pH 可切换极性，尚未证明温度依赖质子化会自行建立 ΔpH；必须先验证 dpKa/dT。,共用恒温 UV–vis/Raman、原位 pH、扩散池、CV/EIS 与同尺寸 TG 夹具；I3− 和 Q/HQ 分开配液但共用测量流程。,I3− 先做 fixed-charge × hydrophobic-recognition 2×2；Q/HQ 先做zwitterion-pH × aligned proton-channel 2×2；最后才外串联 P0373 式 Soret 子单元。,I3− 需有可逆且有益的 dlnKpartition/dT，同时保留自由物种、扩散和交换电流；Q/HQ 必须在无外加pH差时形成可逆ΔpH，且缓冲后新增效应消失；串联总压须在±10%内等于两个独立单元的电压代数和；计入内阻/切换代价后净功率不增即停止。,先测两性离子侧链的 pKa(T) 与冷热端原位 pH；没有自发 ΔpH 就停止。,若 dpKa/dT 太小或强缓冲后效应不消失，则否决该因果链。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0677,"pH modulates zwitterionic state and ionic Seebeck coefficient from n-type to p-type, enabling bipolar thermoelectricity",P0034,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,0
B2,4,I−/I3− 与 Q/HQ 恒温光谱–电化学平台,中,S2_material_coupon,PRG_08afbdcdbb17,water_proton_gradient_qhq,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,醌/氢醌（Q/HQ）,direct_TG_precedent_upgrade_candidate,TG 语料或 iTE/TG 交叉来源已有同类组合：适合做机制升级、复现或换体系，不应声称首次迁移。,共用恒温 UV–vis/Raman、原位 pH、扩散池、CV/EIS 与同尺寸 TG 夹具；I3− 和 Q/HQ 分开配液但共用测量流程。,I3− 先做 fixed-charge × hydrophobic-recognition 2×2；Q/HQ 先做zwitterion-pH × aligned proton-channel 2×2；最后才外串联 P0373 式 Soret 子单元。,I3− 需有可逆且有益的 dlnKpartition/dT，同时保留自由物种、扩散和交换电流；Q/HQ 必须在无外加pH差时形成可逆ΔpH，且缓冲后新增效应消失；串联总压须在±10%内等于两个独立单元的电压代数和；计入内阻/切换代价后净功率不增即停止。,先在无 Q/HQ 与强缓冲两种条件下测水含量/pH 空间剖面，分离质子梯度与本征红氧热电势。,反转温差时 pH 梯度须可逆，且缓冲后新增电压应同步消失。,"默认内部筛选线（可按实验噪声调整，并非文献声称）：机制信号超过max(3σ, 基线20%)；关键扩散/电导保留至少50%，Rct不超过基线2倍；反转ΔT须可逆且ΔT=0无伪电势；器件阶段计入泵送/主动切换后净功率至少提高20%。",P0392,water thermodiffusion boosts proton transport,P0034,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,0
