kind,left_claim,left_concept_id,left_support,reason,relation_match,review_id,right_claim,right_concept_id,right_support,scope
equivalent_in_context,iTE:P0938:r007,iTE:C112222670af416,supported,两侧均指温度梯度驱动的组分热扩散与再分布。,1,M001,TG:P0222:complete_v1_cr001,TG:Cd96ec2c3b2bfa2,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0938:r007,iTE:C9b4f4a86250c5b,supported,电势与浓度梯度可能关联，但属于不同物理量，摘要未建立二者的通用等价关系。,1,M001,TG:P0222:complete_v1_cr001,TG:C205730f578df52,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0438:complete_v1_cr001,iTE:Ce61772edc0e404,supported,分别是离子热电材料类别与热电化学器件类别，承担热电转换功能，但不是同一概念。,1,M002,TG:P0046:complete_v1_cr001,TG:C832eb9332dd0bc,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0438:complete_v1_cr001,iTE:C112222670af416,supported,均承担热电转换机制的功能角色，但物理实现分别为热扩散与氧化还原反应。,1,M002,TG:P0046:complete_v1_cr001,TG:C616013f7eec8d5,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1480:r015,iTE:C2415c40256615e,supported,固体熵与NaOH溶解度是不同科学量，未给出可对应的功能关系。,0,M003,TG:P0116:complete_v1_cr001,TG:Cbc5658e2fdeade,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1480:r015,iTE:C75bc7dc50e07a8,supported,均指作为热状态变量的温度，但不意味着温区或边界条件相同。,0,M003,TG:P0116:complete_v1_cr001,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0392:complete_v1_cr002,iTE:C4fb8e78dda0ada,supported,水热扩散是体相输运过程，右侧是作者特定定义的电极温度响应。,0,M004,TG:P0129:r007,TG:C6048a66f92e20a,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0392:complete_v1_cr002,iTE:C526b276ee1aa14,supported,大离子热电势是具体性能响应，热电化学电池运行是整体功能，粒度和机制均不同。,0,M004,TG:P0129:r007,TG:Cb0d8996a22fd9f,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0417:r002,iTE:C01a70eee8403bc,supported,均承担引入温度响应的设计作用，但分别是器件架构与电解液添加操作。,1,M005,TG:P0213:r001,TG:C889163b6461856,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0417:r002,iTE:C51cf5acab5bdee,supported,均涉及温度响应的离子环境，但界面调制不等于电解液相变。,1,M005,TG:P0213:r001,TG:C6999a52fd245be,supported,selected_claim_context_only_not_global_sameAs
