flag_id,flag_type,relation_ids,detail,resolution_status,automatic_action,judge_disposition,judge_reason,contextual_review_status,human_review_status,evidence_locator,source_records_modified
flag:eba223b06f6d0f1f82c4,projected_parallel_evidence,"[""TG:P0031:r003"", ""TG:P0039:r002""]",2条证据投影为同一有向谓词/断言键；原始端点键2个。不同论文或条件不证明重复事实。,pending_context_review,none,parallel_support_keep_both,两篇记录均描述Gdm+诱导亚铁氰根结晶增强热电化学效应；GO成核模板是P0031额外条件。保留两条来源，不合并证据实例。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""TG:P0031:r003"", ""TG:P0039:r002""]",False
flag:3c8bf0646f7a7b5461bb,projected_parallel_evidence,"[""iTE:P0636:r002"", ""iTE:P1362:r001""]",2条证据投影为同一有向谓词/断言键；原始端点键2个。不同论文或条件不证明重复事实。,pending_context_review,none,parallel_association_keep_both,均为离子半径增大伴随Seebeck系数降低，但材料配方、离子集合及温度条件不同，保留两条association，不提升为普适因果。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0636:r002"", ""iTE:P1362:r001""]",False
flag:cd92f548e49308bead68,projected_parallel_evidence,"[""iTE:P1371:r001"", ""iTE:P1440:r001""]",2条证据投影为同一有向谓词/断言键；原始端点键2个。不同论文或条件不证明重复事实。,pending_context_review,none,source_dependence_unresolved,P1371/P1440摘要极相近，均涉及Ba/Ce/Y填充及Fe/Ni取代，DOI分别为10.7498/aps.53.1463和10.1016/j.jallcom.2004.08.105。两个DOI不能证明独立实验；来源独立性待核，不删除任一条，也不据此计为两份独立验证。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1371:r001"", ""iTE:P1440:r001""]",False
flag:33f40a785f18674e0371,multiple_predicates_same_endpoints,"[""TG:P0055:r003"", ""TG:P0055:r004""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,condition_specific_opposite_effects,同一原文明确water-water宽度增大使功率降低，air-air则使功率升高。这是条件依赖效应；必须保留设置条件，不能合成单条无条件关系。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""TG:P0055:r003"", ""TG:P0055:r004""]",False
flag:5c957b34740522a558e1,reciprocal_direction_candidate,"[""TG:P0060:r001"", ""TG:P0060:r002""]",双向断言可能是反馈或不同过程，不能自动撤销任一方向。,pending_context_review,none,negation_and_influence_are_compatible,Seebeck不是Soret发生的必要条件，与Soret影响Seebeck同时成立。保留negated的not required，不能把它当成反向正因果边。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""TG:P0060:r001"", ""TG:P0060:r002""]",False
flag:c532b21c31351a9d7adf,multiple_predicates_same_endpoints,"[""TG:P0118:r001"", ""TG:P0233:r003""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,context_specific_parallel_support,混凝土/电极体系与铜管腐蚀体系均报告温度梯度诱导电流；后者明确持续梯度，前者有30°C极性转折。保留各自材料和温度语境。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""TG:P0118:r001"", ""TG:P0233:r003""]",False
flag:3bb8b5cdb439b1c21e5e,reciprocal_direction_candidate,"[""TG:P0049:r003"", ""TG:P0049:r004""]",双向断言可能是反馈或不同过程，不能自动撤销任一方向。,pending_context_review,none,explicit_reciprocal_feedback,原文明确Q/HQ氧化还原动力学与铜电极腐蚀相互加强；双向边有原文依据，保留为作者主张。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""TG:P0049:r003"", ""TG:P0049:r004""]",False
flag:f784d3abda723a4d844d,multiple_predicates_same_endpoints,"[""iTE:P1051:r001"", ""iTE:P1495:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,model_scope_difference,两条均为缺陷图中的氧活度影响，分别涉及未掺杂TiO2和含施主/受主的固溶体，不冲突，不去除理论模型范围。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1051:r001"", ""iTE:P1495:r001""]",False
flag:258de5464794e32b8bed,multiple_predicates_same_endpoints,"[""iTE:P0717:r001"", ""iTE:P0842:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,epistemic_qualifiers_required,P0717为inferred to approach假设，P0842为测量中近似相等。P0842完整摘要为0.19eV与0.20eV；不能把近似相等改为严格等价，也不能丢弃假设标签。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0717:r001"", ""iTE:P0842:r001""]",False
flag:33881478aad13a60953d,multiple_predicates_same_endpoints,"[""iTE:P0344:r003"", ""iTE:P0379:r002""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,两篇均将选择性离子迁移与较大Seebeck系数联系，数值14.39与11.53mV/K是不同实验记录；保留原谓词和各自条件。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0344:r003"", ""iTE:P0379:r002""]",False
